event_id,ticker,event_date,gdelt_query_success,gdelt_article_count,gdelt_major_news_flag,gdelt_news_clean_flag,gdelt_news_confounded_flag,gdelt_news_unknown_flag,query_status
887,TSLA,2024-04-22,False,0,False,False,False,True,http_429
28,NVDA,2023-05-24,True,10,True,False,True,False,ok
2038,TSLA,2024-04-23,True,10,True,False,True,False,ok
2041,TSLA,2024-04-23,False,0,False,False,False,True,http_429
2040,TSLA,2024-04-23,False,0,False,False,False,True,http_429
2037,TSLA,2024-04-23,False,0,False,False,False,True,http_429
2042,TSLA,2024-04-23,True,10,True,False,True,False,ok
2039,TSLA,2024-04-23,False,0,False,False,False,True,http_429
993,TSLA,2024-11-05,False,0,False,False,False,True,http_429
994,TSLA,2024-11-05,True,10,True,False,True,False,ok
2043,AMC,2023-08-22,False,0,False,False,False,True,http_429
240,AMC,2023-03-28,False,0,False,False,False,True,http_429
2029,AMC,2023-08-11,False,0,False,False,False,True,http_429
2035,AMC,2023-08-11,False,0,False,False,False,True,http_429
2030,AMC,2023-08-11,False,0,False,False,False,True,http_429
2031,AMC,2023-08-11,False,0,False,False,False,True,http_429
2032,AMC,2023-08-11,False,0,False,False,False,True,http_429
2036,AMC,2023-08-11,False,0,False,False,False,True,http_429
2033,AMC,2023-08-11,False,0,False,False,False,True,http_429
2034,AMC,2023-08-11,False,0,False,False,False,True,json_parse_failed
2,GOOGL,2023-10-13,True,10,True,False,True,False,ok
3,AMZN,2023-06-23,True,10,True,False,True,False,ok
5,TSLA,2023-06-23,True,10,True,False,True,False,ok
6,PYPL,2026-03-07,True,10,True,False,True,False,ok
7,MSFT,2026-02-06,False,0,False,False,False,True,http_429
9,NVDA,2026-02-06,False,0,False,False,False,True,http_429
10,NFLX,2026-02-06,False,0,False,False,False,True,http_429
11,NFLX,2023-02-10,False,0,False,False,False,True,http_429
12,AMZN,2023-06-16,False,0,False,False,False,True,http_429
13,NFLX,2023-06-16,True,10,True,False,True,False,ok
1395,GOOGL,2024-05-17,False,0,False,False,False,True,http_429
1968,TSLA,2024-07-27,False,0,False,False,False,True,http_429
2229,TSLA,2025-03-26,False,0,False,False,False,True,http_429
1584,GOOGL,2025-07-23,False,0,False,False,False,True,http_429
751,AMD,2026-01-07,False,0,False,False,False,True,http_429
1046,MSFT,2024-10-31,True,10,True,False,True,False,ok
1463,MSFT,2024-07-30,True,10,True,False,True,False,ok
1605,AMZN,2026-01-29,False,0,False,False,False,True,http_429
1110,AMZN,2026-01-30,True,10,True,False,True,False,ok
1269,PYPL,2025-09-12,False,0,False,False,False,True,http_429
77,MSFT,2026-03-06,False,0,False,False,False,True,http_429
1982,TSLA,2024-01-29,True,10,True,False,True,False,ok
859,META,2026-04-24,False,0,False,False,False,True,json_parse_failed
1546,AMZN,2025-04-04,False,0,False,False,False,True,http_429
2327,MSFT,2024-01-17,False,0,False,False,False,True,http_429
650,NFLX,2024-01-23,True,10,True,False,True,False,ok
1782,AMD,2025-12-31,False,0,False,False,False,True,http_429
592,NVDA,2024-04-26,False,0,False,False,False,True,http_429
1121,PYPL,2026-05-05,False,0,False,False,False,True,http_429
575,PYPL,2025-10-29,False,0,False,False,False,True,http_429
