slice,news_label,horizon,n,mean,median,t_stat,p_value,winsorized_mean,warning_flag
full_sample,official_confounded,5D,1097,-0.005304,-0.005518,-2.494,0.012635,-0.005154,
full_sample,official_confounded,21D,1097,-0.005865,-0.012842,-1.385,0.166048,-0.004154,
full_sample,official_confounded,63D,1097,0.049399,0.011179,6.323,0.000000,0.050510,
full_sample,media_confounded,5D,419,-0.001087,-0.000049,-0.396,0.692463,-0.001601,
full_sample,media_confounded,21D,419,0.016608,0.008711,2.852,0.004339,0.016135,
full_sample,media_confounded,63D,419,0.068924,0.041921,5.871,0.000000,0.068225,
full_sample,unknown_news_coverage,5D,696,0.003289,-0.001179,2.107,0.035085,0.003449,
full_sample,unknown_news_coverage,21D,696,-0.003271,0.000789,-0.905,0.365247,-0.004013,
full_sample,unknown_news_coverage,63D,696,0.001973,-0.020833,0.306,0.759810,-0.000304,
full_sample,market_implied_confounded,5D,110,0.049625,0.048170,7.185,0.000000,0.049250,
full_sample,market_implied_confounded,21D,110,0.082909,0.009991,4.282,0.000019,0.082888,
full_sample,market_implied_confounded,63D,110,0.137977,0.120165,6.391,0.000000,0.138865,
exclude_official,official_confounded,5D,1097,-0.005304,-0.005518,-2.494,0.012635,-0.005154,
exclude_official,official_confounded,21D,1097,-0.005865,-0.012842,-1.385,0.166048,-0.004154,
exclude_official,official_confounded,63D,1097,0.049399,0.011179,6.323,0.000000,0.050510,
exclude_media,media_confounded,5D,419,-0.001087,-0.000049,-0.396,0.692463,-0.001601,
exclude_media,media_confounded,21D,419,0.016608,0.008711,2.852,0.004339,0.016135,
exclude_media,media_confounded,63D,419,0.068924,0.041921,5.871,0.000000,0.068225,
exclude_market_implied,market_implied_confounded,5D,110,0.049625,0.048170,7.185,0.000000,0.049250,
exclude_market_implied,market_implied_confounded,21D,110,0.082909,0.009991,4.282,0.000019,0.082888,
exclude_market_implied,market_implied_confounded,63D,110,0.137977,0.120165,6.391,0.000000,0.138865,
unknown_only,unknown_news_coverage,5D,696,0.003289,-0.001179,2.107,0.035085,0.003449,
unknown_only,unknown_news_coverage,21D,696,-0.003271,0.000789,-0.905,0.365247,-0.004013,
unknown_only,unknown_news_coverage,63D,696,0.001973,-0.020833,0.306,0.759810,-0.000304,
exclude_official_and_media,unknown_news_coverage,5D,696,0.003289,-0.001179,2.107,0.035085,0.003449,
exclude_official_and_media,unknown_news_coverage,21D,696,-0.003271,0.000789,-0.905,0.365247,-0.004013,
exclude_official_and_media,unknown_news_coverage,63D,696,0.001973,-0.020833,0.306,0.759810,-0.000304,
exclude_official_and_media,market_implied_confounded,5D,110,0.049625,0.048170,7.185,0.000000,0.049250,
exclude_official_and_media,market_implied_confounded,21D,110,0.082909,0.009991,4.282,0.000019,0.082888,
exclude_official_and_media,market_implied_confounded,63D,110,0.137977,0.120165,6.391,0.000000,0.138865,
external_success_ge_2,media_confounded,5D,28,0.004632,-0.006066,0.565,0.571840,0.004918,n_lt_50
external_success_ge_2,media_confounded,21D,28,0.027354,0.017503,1.465,0.143029,0.027353,n_lt_50
external_success_ge_2,media_confounded,63D,28,0.090003,0.059185,2.363,0.018134,0.089833,n_lt_50
external_success_ge_2,official_confounded,5D,18,0.011653,-0.008259,0.490,0.623908,0.011977,n_lt_50
external_success_ge_2,official_confounded,21D,18,0.025948,0.029286,0.827,0.408079,0.025333,n_lt_50
external_success_ge_2,official_confounded,63D,18,0.043967,-0.026051,1.002,0.316166,0.042726,n_lt_50
coverage_quality_ge_3,media_confounded,5D,28,0.004632,-0.006066,0.565,0.571840,0.004918,n_lt_50
coverage_quality_ge_3,media_confounded,21D,28,0.027354,0.017503,1.465,0.143029,0.027353,n_lt_50
coverage_quality_ge_3,media_confounded,63D,28,0.090003,0.059185,2.363,0.018134,0.089833,n_lt_50
coverage_quality_ge_3,official_confounded,5D,18,0.011653,-0.008259,0.490,0.623908,0.011977,n_lt_50
coverage_quality_ge_3,official_confounded,21D,18,0.025948,0.029286,0.827,0.408079,0.025333,n_lt_50
coverage_quality_ge_3,official_confounded,63D,18,0.043967,-0.026051,1.002,0.316166,0.042726,n_lt_50
fnspid_years_1999_2023,official_confounded,5D,210,-0.016796,-0.004339,-2.925,0.003443,-0.015155,
fnspid_years_1999_2023,official_confounded,21D,210,-0.025612,0.002574,-1.650,0.099007,-0.026711,
fnspid_years_1999_2023,official_confounded,63D,210,0.014491,0.016081,0.701,0.483176,0.011667,
fnspid_years_1999_2023,media_confounded,5D,186,-0.014755,-0.001732,-3.446,0.000569,-0.014834,
fnspid_years_1999_2023,media_confounded,21D,186,0.001283,0.008711,0.153,0.878533,0.001003,
fnspid_years_1999_2023,media_confounded,63D,186,0.082810,0.059582,4.118,0.000038,0.081819,
fnspid_years_1999_2023,unknown_news_coverage,5D,66,0.006552,0.003950,1.430,0.152792,0.006176,
fnspid_years_1999_2023,unknown_news_coverage,21D,66,0.025805,0.022092,2.219,0.026495,0.022771,
fnspid_years_1999_2023,unknown_news_coverage,63D,66,0.074425,0.020915,2.732,0.006287,0.070105,
fnspid_years_1999_2023,market_implied_confounded,5D,17,0.007477,0.011757,0.662,0.507950,0.008267,n_lt_50
fnspid_years_1999_2023,market_implied_confounded,21D,17,-0.014158,-0.001731,-0.689,0.490550,-0.014789,n_lt_50
fnspid_years_1999_2023,market_implied_confounded,63D,17,0.136669,0.104462,4.393,0.000011,0.136129,n_lt_50
exclude_2024_2026,official_confounded,5D,210,-0.016796,-0.004339,-2.925,0.003443,-0.015155,
exclude_2024_2026,official_confounded,21D,210,-0.025612,0.002574,-1.650,0.099007,-0.026711,
exclude_2024_2026,official_confounded,63D,210,0.014491,0.016081,0.701,0.483176,0.011667,
exclude_2024_2026,media_confounded,5D,186,-0.014755,-0.001732,-3.446,0.000569,-0.014834,
exclude_2024_2026,media_confounded,21D,186,0.001283,0.008711,0.153,0.878533,0.001003,
exclude_2024_2026,media_confounded,63D,186,0.082810,0.059582,4.118,0.000038,0.081819,
exclude_2024_2026,unknown_news_coverage,5D,66,0.006552,0.003950,1.430,0.152792,0.006176,
exclude_2024_2026,unknown_news_coverage,21D,66,0.025805,0.022092,2.219,0.026495,0.022771,
exclude_2024_2026,unknown_news_coverage,63D,66,0.074425,0.020915,2.732,0.006287,0.070105,
exclude_2024_2026,market_implied_confounded,5D,17,0.007477,0.011757,0.662,0.507950,0.008267,n_lt_50
exclude_2024_2026,market_implied_confounded,21D,17,-0.014158,-0.001731,-0.689,0.490550,-0.014789,n_lt_50
exclude_2024_2026,market_implied_confounded,63D,17,0.136669,0.104462,4.393,0.000011,0.136129,n_lt_50
years_2024_2026_only,media_confounded,5D,233,0.009824,0.003741,2.881,0.003967,0.009053,
years_2024_2026_only,media_confounded,21D,233,0.028842,0.007768,3.619,0.000295,0.028613,
years_2024_2026_only,media_confounded,63D,233,0.057839,0.031350,4.219,0.000024,0.057135,
years_2024_2026_only,unknown_news_coverage,5D,630,0.002947,-0.001341,1.779,0.075216,0.003109,
years_2024_2026_only,unknown_news_coverage,21D,630,-0.006318,-0.003406,-1.670,0.094984,-0.006709,
years_2024_2026_only,unknown_news_coverage,63D,630,-0.005617,-0.025697,-0.869,0.385119,-0.007274,
years_2024_2026_only,official_confounded,5D,887,-0.002583,-0.005518,-1.151,0.249672,-0.002554,
years_2024_2026_only,official_confounded,21D,887,-0.001190,-0.016131,-0.320,0.749038,-0.002591,
years_2024_2026_only,official_confounded,63D,887,0.057663,0.010916,6.935,0.000000,0.057186,
years_2024_2026_only,market_implied_confounded,5D,93,0.057329,0.075961,7.488,0.000000,0.056807,
years_2024_2026_only,market_implied_confounded,21D,93,0.100652,0.021943,4.548,0.000005,0.100652,
years_2024_2026_only,market_implied_confounded,63D,93,0.138216,0.132771,5.540,0.000000,0.139179,
bullish_top5_vs_nontop_mean_diff,all_labels_mixed,5D,1385,0.002708582582068981,,,,,
bullish_top5_vs_nontop_mean_diff,all_labels_mixed,21D,1385,0.030773138989215874,,,,,overlap_window
bullish_top5_vs_nontop_mean_diff,all_labels_mixed,63D,1385,0.11539250687028987,,,,,overlap_window
