calendar_month,horizon,n_events,equal_weight_mean_spy_bhar,capped_weight_mean_spy_bhar
2020-02,126D,2,1.196938,1.196938
2020-02,21D,2,-0.190478,-0.190478
2020-02,63D,2,0.029084,0.029084
2020-04,126D,1,0.386768,0.386768
2020-04,21D,1,0.046559,0.046559
2020-04,63D,1,0.192978,0.192978
2020-05,126D,2,1.560493,1.560493
2020-05,21D,2,0.163987,0.163987
2020-05,63D,2,1.230507,1.230507
2020-06,126D,5,2.112185,2.112185
2020-06,21D,5,0.47928,0.47928
2020-06,63D,5,1.125252,1.125252
2020-07,126D,7,0.816002,0.816002
2020-07,21D,7,-0.068195,-0.068195
2020-07,63D,7,0.19021,0.19021
2020-11,126D,1,-0.097588,-0.097588
2020-11,21D,1,0.111193,0.111193
2020-11,63D,1,0.104462,0.104462
2021-03,126D,1,0.135205,0.135205
2021-03,21D,1,0.030352,0.030352
2021-03,63D,1,0.009123,0.009123
2021-04,126D,6,0.086634,0.086634
2021-04,21D,6,0.014931,0.014931
2021-04,63D,6,0.058634,0.058634
2021-05,126D,2,0.368821,0.368821
2021-05,21D,2,-0.02115,-0.02115
2021-05,63D,2,0.115903,0.115903
2021-06,126D,1,0.721166,0.721166
2021-06,21D,1,0.073248,0.073248
2021-06,63D,1,0.146692,0.146692
2021-07,126D,3,0.286446,0.286446
2021-07,21D,3,-0.053656,-0.053656
2021-07,63D,3,0.137295,0.137295
2021-08,126D,1,0.284866,0.284866
2021-08,21D,1,0.004782,0.004782
2021-08,63D,1,0.516883,0.516883
2021-09,126D,4,-0.330112,-0.330112
2021-09,21D,4,0.005965,0.005965
2021-09,63D,4,-0.07048,-0.07048
2021-12,126D,10,-0.179858,-0.179858
2021-12,21D,10,0.041001,0.041001
2021-12,63D,10,-0.061648,-0.061648
2022-01,126D,1,-0.071156,-0.071156
2022-01,21D,1,-0.111787,-0.111787
2022-01,63D,1,0.028962,0.028962
2022-02,126D,5,-0.164421,-0.164421
2022-02,21D,5,-0.001731,-0.001731
2022-02,63D,5,0.027089,0.027089
2022-04,126D,1,-0.145789,-0.145789
2022-04,21D,1,-0.080988,-0.080988
2022-04,63D,1,-0.202303,-0.202303
2022-05,126D,3,-0.096886,-0.096886
2022-05,21D,3,0.095888,0.095888
2022-05,63D,3,0.019314,0.019314
2022-06,126D,9,-0.200515,-0.200515
2022-06,21D,9,0.001812,0.001812
2022-06,63D,9,-0.026154,-0.026154
2022-07,126D,1,-0.265375,-0.265375
2022-07,21D,1,0.166326,0.166326
2022-07,63D,1,0.068853,0.068853
2022-08,126D,5,-0.217244,-0.217244
2022-08,21D,5,-0.040353,-0.040353
2022-08,63D,5,-0.173252,-0.173252
2022-09,126D,12,-0.044956,-0.044956
2022-09,21D,12,-0.088595,-0.088595
2022-09,63D,12,-0.203878,-0.203878
2022-10,126D,14,0.010004,0.010004
2022-10,21D,14,-0.045922,-0.045922
2022-10,63D,14,-0.067487,-0.067487
2022-11,126D,22,0.151574,0.151574
2022-11,21D,22,-0.038433,-0.038433
2022-11,63D,22,0.075243,0.075243
2022-12,126D,18,0.509138,0.509138
2022-12,21D,18,-0.12431,-0.12431
2022-12,63D,18,0.131522,0.131522
2023-01,126D,13,0.2711,0.2711
2023-01,21D,13,0.089116,0.089116
2023-01,63D,13,0.106512,0.106512
2023-02,126D,20,0.332809,0.332809
2023-02,21D,20,0.062287,0.062287
2023-02,63D,20,0.205335,0.205335
2023-03,126D,23,0.142985,0.142985
2023-03,21D,23,0.036934,0.036934
2023-03,63D,23,0.152594,0.152594
2023-04,126D,28,0.170597,0.170597
2023-04,21D,28,0.085769,0.085769
2023-04,63D,28,0.22991,0.22991
2023-05,126D,21,0.100765,0.100765
2023-05,21D,21,0.084484,0.084484
2023-05,63D,21,0.057192,0.057192
2023-06,126D,16,0.043238,0.043238
2023-06,21D,16,0.009361,0.009361
2023-06,63D,16,0.011974,0.011974
2023-07,126D,24,0.056427,0.056427
2023-07,21D,24,-0.017449,-0.017449
2023-07,63D,24,0.012602,0.012602
2023-08,126D,55,-0.199153,-0.199153
2023-08,21D,55,-0.194301,-0.194301
2023-08,63D,55,-0.184773,-0.184773
2023-09,126D,36,-0.058799,-0.058799
2023-09,21D,36,0.024253,0.024253
2023-09,63D,36,0.040314,0.040314
2023-10,126D,38,-0.031945,-0.031945
2023-10,21D,38,0.028481,0.028481
2023-10,63D,38,-0.013914,-0.013914
2023-11,126D,36,0.17824,0.17824
2023-11,21D,36,-0.011521,-0.011521
2023-11,63D,36,0.072203,0.072203
2023-12,126D,32,0.360463,0.360463
2023-12,21D,32,0.018058,0.018058
2023-12,63D,32,0.157048,0.157048
2024-01,126D,68,0.115148,0.115148
2024-01,21D,68,-0.006966,-0.006966
2024-01,63D,68,-0.029693,-0.029693
2024-02,126D,74,0.106559,0.106559
2024-02,21D,74,-0.007931,-0.007931
2024-02,63D,74,0.042032,0.042032
2024-03,126D,33,0.088144,0.088144
2024-03,21D,33,-0.021004,-0.021004
2024-03,63D,33,0.123052,0.123052
2024-04,126D,44,0.084607,0.084607
2024-04,21D,44,0.058784,0.058784
2024-04,63D,44,0.134154,0.134154
2024-05,126D,57,0.151224,0.151224
2024-05,21D,57,0.073564,0.073564
2024-05,63D,57,0.094795,0.094795
2024-06,126D,25,0.249438,0.249438
2024-06,21D,25,0.063729,0.063729
2024-06,63D,25,-0.007345,-0.007345
2024-07,126D,57,0.133089,0.133089
2024-07,21D,57,-0.075391,-0.075391
2024-07,63D,57,-0.063872,-0.063872
2024-08,126D,77,0.03313,0.03313
2024-08,21D,77,-0.002679,-0.002679
2024-08,63D,77,0.051955,0.051955
2024-09,126D,23,0.025027,0.025027
2024-09,21D,23,0.027715,0.027715
2024-09,63D,23,0.120602,0.120602
2024-10,126D,47,0.065165,0.065165
2024-10,21D,47,0.130642,0.130642
2024-10,63D,47,0.219656,0.219656
2024-11,126D,35,0.006371,0.006371
2024-11,21D,35,0.071691,0.071691
2024-11,63D,35,0.00528,0.00528
2024-12,126D,42,-0.011926,-0.011926
2024-12,21D,42,-0.011581,-0.011581
2024-12,63D,42,-0.094762,-0.094762
2025-01,126D,32,0.034008,0.034008
2025-01,21D,32,-0.04635,-0.04635
2025-01,63D,32,-0.062602,-0.062602
2025-02,126D,53,0.079435,0.079435
2025-02,21D,53,-0.061083,-0.061083
2025-02,63D,53,0.001287,0.001287
2025-03,126D,59,0.154784,0.154784
2025-03,21D,59,0.002499,0.002499
2025-03,63D,59,0.077062,0.077062
2025-04,126D,26,0.193869,0.193869
2025-04,21D,26,0.076098,0.076098
2025-04,63D,26,0.12903,0.12903
2025-05,126D,19,0.208339,0.208339
2025-05,21D,19,0.03461,0.03461
2025-05,63D,19,0.079213,0.079213
2025-06,126D,17,0.351854,0.351854
2025-06,21D,17,0.120919,0.120919
2025-06,63D,17,0.214204,0.214204
2025-07,126D,51,0.129078,0.129078
2025-07,21D,51,0.028009,0.028009
2025-07,63D,51,0.132258,0.132258
2025-08,126D,91,-0.00756,-0.00756
2025-08,21D,91,0.002454,0.002454
2025-08,63D,91,0.10566,0.10566
2025-09,126D,58,-0.045557,-0.045557
2025-09,21D,58,0.073879,0.073879
2025-09,63D,58,0.034645,0.034645
2025-10,126D,90,-0.072041,-0.072041
2025-10,21D,90,-0.00154,-0.00154
2025-10,63D,90,-0.048307,-0.048307
2025-11,126D,132,0.088543,0.088543
2025-11,21D,132,-0.03059,-0.03059
2025-11,63D,132,-0.097894,-0.097894
2025-12,126D,79,0.041644,0.041644
2025-12,21D,79,-0.034555,-0.034555
2025-12,63D,79,-0.078546,-0.078546
2026-01,126D,111,0.041978,0.041978
2026-01,21D,111,-0.076332,-0.076332
2026-01,63D,111,0.003997,0.003997
2026-02,126D,157,0.188451,0.188451
2026-02,21D,157,0.016671,0.016671
2026-02,63D,157,0.173322,0.173322
2026-03,126D,96,0.072944,0.072944
2026-03,21D,96,0.010349,0.010349
2026-03,63D,96,0.072944,0.072944
2026-04,126D,126,0.056312,0.056312
2026-04,21D,126,0.044448,0.044448
2026-04,63D,126,0.056312,0.056312
2026-05,126D,64,0.003769,0.003769
2026-05,21D,64,0.003769,0.003769
2026-05,63D,64,0.003769,0.003769
