strategy,holding_days,cost_bps,trade_count,average_trade_return,cumulative_return,annualized_return,volatility,sharpe,max_drawdown,hit_rate,turnover,trades_per_year,breakeven_transaction_cost_bps,status
long_all_buy,5,0,1787,0.004517,54.944364,0.913004,1.148330,0.795,-0.998957,0.512031,3574,288.04,22.58,diagnostic_event_trade_sequence
long_all_buy,5,5,1787,0.003517,8.359994,0.434026,1.148330,0.378,-0.999276,0.499161,3574,288.04,22.58,diagnostic_event_trade_sequence
long_all_buy,5,10,1787,0.002517,0.563197,0.074663,1.148330,0.065,-0.999545,0.486849,3574,288.04,22.58,diagnostic_event_trade_sequence
long_all_buy,5,25,1787,-0.000483,-0.992797,-0.548497,1.148330,-0.478,-0.999896,0.470062,3574,288.04,22.58,diagnostic_event_trade_sequence
long_all_buy,5,50,1787,-0.005483,-0.999999,-0.894213,1.148330,-0.779,-1.000000,0.433688,3574,288.04,22.58,diagnostic_event_trade_sequence
long_all_buy,5,100,1787,-0.015483,-1.000000,-0.994323,1.148330,-0.866,-1.000000,0.367096,3574,288.04,22.58,diagnostic_event_trade_sequence
long_top5_buys_only,5,0,1001,0.006836,51.906118,0.895863,0.968483,0.925,-0.992274,0.517483,2002,161.35,34.18,diagnostic_event_trade_sequence
long_top5_buys_only,5,5,1001,0.005836,18.455394,0.613529,0.968483,0.633,-0.992928,0.507493,2002,161.35,34.18,diagnostic_event_trade_sequence
long_top5_buys_only,5,10,1001,0.004836,6.147218,0.373017,0.968483,0.385,-0.993528,0.496503,2002,161.35,34.18,diagnostic_event_trade_sequence
long_top5_buys_only,5,25,1001,0.001836,-0.647794,-0.154820,0.968483,-0.160,-0.995942,0.481518,2002,161.35,34.18,diagnostic_event_trade_sequence
long_top5_buys_only,5,50,1001,-0.003164,-0.997714,-0.624754,0.968483,-0.645,-0.999916,0.445554,2002,161.35,34.18,diagnostic_event_trade_sequence
long_top5_buys_only,5,100,1001,-0.013164,-1.000000,-0.926945,0.968483,-0.957,-1.000000,0.394605,2002,161.35,34.18,diagnostic_event_trade_sequence
short_non_top_buys_diagnostic,5,0,786,-0.001563,-0.911808,-0.375317,0.675349,-0.556,-0.983078,0.494911,1572,152.30,0.00,diagnostic_event_trade_sequence
short_non_top_buys_diagnostic,5,5,786,-0.002563,-0.959977,-0.463988,0.675349,-0.687,-0.991588,0.488550,1572,152.30,0.00,diagnostic_event_trade_sequence
short_non_top_buys_diagnostic,5,10,786,-0.003563,-0.981851,-0.540143,0.675349,-0.800,-0.995911,0.484733,1572,152.30,0.00,diagnostic_event_trade_sequence
short_non_top_buys_diagnostic,5,25,786,-0.006563,-0.998316,-0.709890,0.675349,-1.051,-0.999532,0.455471,1572,152.30,0.00,diagnostic_event_trade_sequence
short_non_top_buys_diagnostic,5,50,786,-0.011563,-0.999968,-0.865793,0.675349,-1.282,-0.999988,0.407125,1572,152.30,0.00,diagnostic_event_trade_sequence
short_non_top_buys_diagnostic,5,100,786,-0.021563,-1.000000,-0.971617,0.675349,-1.439,-1.000000,0.320611,1572,152.30,0.00,diagnostic_event_trade_sequence
