strategy,holding_days,cost_bps,trade_count,turnover,trades_per_year,breakeven_transaction_cost_bps
long_all_buy,1,0,1808,3616,290.66,10.60
long_all_buy,1,5,1808,3616,290.66,10.60
long_all_buy,1,10,1808,3616,290.66,10.60
long_all_buy,1,25,1808,3616,290.66,10.60
long_all_buy,1,50,1808,3616,290.66,10.60
long_all_buy,1,100,1808,3616,290.66,10.60
long_all_buy,2,0,1803,3606,289.98,19.00
long_all_buy,2,5,1803,3606,289.98,19.00
long_all_buy,2,10,1803,3606,289.98,19.00
long_all_buy,2,25,1803,3606,289.98,19.00
long_all_buy,2,50,1803,3606,289.98,19.00
long_all_buy,2,100,1803,3606,289.98,19.00
long_all_buy,5,0,1787,3574,288.04,22.58
long_all_buy,5,5,1787,3574,288.04,22.58
long_all_buy,5,10,1787,3574,288.04,22.58
long_all_buy,5,25,1787,3574,288.04,22.58
long_all_buy,5,50,1787,3574,288.04,22.58
long_all_buy,5,100,1787,3574,288.04,22.58
long_all_buy,10,0,1748,3496,282.63,59.29
long_all_buy,10,5,1748,3496,282.63,59.29
long_all_buy,10,10,1748,3496,282.63,59.29
long_all_buy,10,25,1748,3496,282.63,59.29
long_all_buy,10,50,1748,3496,282.63,59.29
long_all_buy,10,100,1748,3496,282.63,59.29
long_all_buy,20,0,1696,3392,275.93,87.60
long_all_buy,20,5,1696,3392,275.93,87.60
long_all_buy,20,10,1696,3392,275.93,87.60
long_all_buy,20,25,1696,3392,275.93,87.60
long_all_buy,20,50,1696,3392,275.93,87.60
long_all_buy,20,100,1696,3392,275.93,87.60
short_all_sell,1,0,514,1028,86.92,12.62
short_all_sell,1,5,514,1028,86.92,12.62
short_all_sell,1,10,514,1028,86.92,12.62
short_all_sell,1,25,514,1028,86.92,12.62
short_all_sell,1,50,514,1028,86.92,12.62
short_all_sell,1,100,514,1028,86.92,12.62
short_all_sell,2,0,513,1026,86.83,10.03
short_all_sell,2,5,513,1026,86.83,10.03
short_all_sell,2,10,513,1026,86.83,10.03
short_all_sell,2,25,513,1026,86.83,10.03
short_all_sell,2,50,513,1026,86.83,10.03
short_all_sell,2,100,513,1026,86.83,10.03
short_all_sell,5,0,512,1024,86.82,0.00
short_all_sell,5,5,512,1024,86.82,0.00
short_all_sell,5,10,512,1024,86.82,0.00
short_all_sell,5,25,512,1024,86.82,0.00
short_all_sell,5,50,512,1024,86.82,0.00
short_all_sell,5,100,512,1024,86.82,0.00
short_all_sell,10,0,503,1006,85.57,34.89
short_all_sell,10,5,503,1006,85.57,34.89
short_all_sell,10,10,503,1006,85.57,34.89
short_all_sell,10,25,503,1006,85.57,34.89
short_all_sell,10,50,503,1006,85.57,34.89
short_all_sell,10,100,503,1006,85.57,34.89
short_all_sell,20,0,485,970,83.09,0.00
short_all_sell,20,5,485,970,83.09,0.00
short_all_sell,20,10,485,970,83.09,0.00
short_all_sell,20,25,485,970,83.09,0.00
short_all_sell,20,50,485,970,83.09,0.00
short_all_sell,20,100,485,970,83.09,0.00
long_buy_short_sell,1,0,2322,4644,373.29,11.05
long_buy_short_sell,1,5,2322,4644,373.29,11.05
long_buy_short_sell,1,10,2322,4644,373.29,11.05
long_buy_short_sell,1,25,2322,4644,373.29,11.05
long_buy_short_sell,1,50,2322,4644,373.29,11.05
long_buy_short_sell,1,100,2322,4644,373.29,11.05
long_buy_short_sell,2,0,2316,4632,372.49,17.02
long_buy_short_sell,2,5,2316,4632,372.49,17.02
long_buy_short_sell,2,10,2316,4632,372.49,17.02
long_buy_short_sell,2,25,2316,4632,372.49,17.02
long_buy_short_sell,2,50,2316,4632,372.49,17.02
long_buy_short_sell,2,100,2316,4632,372.49,17.02
long_buy_short_sell,5,0,2299,4598,370.57,15.19
long_buy_short_sell,5,5,2299,4598,370.57,15.19
long_buy_short_sell,5,10,2299,4598,370.57,15.19
long_buy_short_sell,5,25,2299,4598,370.57,15.19
long_buy_short_sell,5,50,2299,4598,370.57,15.19
long_buy_short_sell,5,100,2299,4598,370.57,15.19
long_buy_short_sell,10,0,2251,4502,363.96,53.84
