horizon,ticker,event_share
5D,AAPL,0.098676
5D,AMC,0.008543
5D,AMD,0.079880
5D,AMZN,0.105083
5D,COIN,0.000427
5D,CRM,0.002136
5D,DIS,0.013669
5D,GME,0.000427
5D,GOOGL,0.102520
5D,HOOD,0.003845
5D,META,0.047843
5D,MSFT,0.096540
5D,NFLX,0.039299
5D,NVDA,0.167023
5D,PLTR,0.005126
5D,PYPL,0.042290
5D,ROKU,0.000427
5D,SHOP,0.004272
5D,SMCI,0.001282
5D,SOFI,0.026057
5D,SQ,0.001709
5D,TGT,0.000427
5D,TSLA,0.131141
5D,UBER,0.021358
21D,AAPL,0.098676
21D,AMC,0.008543
21D,AMD,0.079880
21D,AMZN,0.105083
21D,COIN,0.000427
21D,CRM,0.002136
21D,DIS,0.013669
21D,GME,0.000427
21D,GOOGL,0.102520
21D,HOOD,0.003845
21D,META,0.047843
21D,MSFT,0.096540
21D,NFLX,0.039299
21D,NVDA,0.167023
21D,PLTR,0.005126
21D,PYPL,0.042290
21D,ROKU,0.000427
21D,SHOP,0.004272
21D,SMCI,0.001282
21D,SOFI,0.026057
21D,SQ,0.001709
21D,TGT,0.000427
21D,TSLA,0.131141
21D,UBER,0.021358
63D,AAPL,0.098676
63D,AMC,0.008543
63D,AMD,0.079880
63D,AMZN,0.105083
63D,COIN,0.000427
63D,CRM,0.002136
63D,DIS,0.013669
63D,GME,0.000427
63D,GOOGL,0.102520
63D,HOOD,0.003845
63D,META,0.047843
63D,MSFT,0.096540
63D,NFLX,0.039299
63D,NVDA,0.167023
63D,PLTR,0.005126
63D,PYPL,0.042290
63D,ROKU,0.000427
63D,SHOP,0.004272
63D,SMCI,0.001282
63D,SOFI,0.026057
63D,SQ,0.001709
63D,TGT,0.000427
63D,TSLA,0.131141
63D,UBER,0.021358
126D,AAPL,0.098676
126D,AMC,0.008543
126D,AMD,0.079880
126D,AMZN,0.105083
126D,COIN,0.000427
126D,CRM,0.002136
126D,DIS,0.013669
126D,GME,0.000427
126D,GOOGL,0.102520
126D,HOOD,0.003845
126D,META,0.047843
126D,MSFT,0.096540
126D,NFLX,0.039299
126D,NVDA,0.167023
126D,PLTR,0.005126
126D,PYPL,0.042290
126D,ROKU,0.000427
126D,SHOP,0.004272
126D,SMCI,0.001282
126D,SOFI,0.026057
126D,SQ,0.001709
126D,TGT,0.000427
126D,TSLA,0.131141
126D,UBER,0.021358
252D,AAPL,0.098676
252D,AMC,0.008543
252D,AMD,0.079880
252D,AMZN,0.105083
252D,COIN,0.000427
252D,CRM,0.002136
252D,DIS,0.013669
252D,GME,0.000427
252D,GOOGL,0.102520
252D,HOOD,0.003845
252D,META,0.047843
252D,MSFT,0.096540
252D,NFLX,0.039299
252D,NVDA,0.167023
252D,PLTR,0.005126
252D,PYPL,0.042290
252D,ROKU,0.000427
252D,SHOP,0.004272
252D,SMCI,0.001282
252D,SOFI,0.026057
252D,SQ,0.001709
252D,TGT,0.000427
252D,TSLA,0.131141
252D,UBER,0.021358
