strategy,holding_days,cost_bps,trade_count,average_trade_return,median_trade_return,cumulative_return,cagr_proxy,annualized_volatility,sharpe,sortino,max_drawdown,hit_rate,skew,breakeven_transaction_cost_bps,turnover_trades,top5_event_share,status
long_all_buys,5,0,1808,0.004635,0.001103,73.622776,0.127738,0.478659,0.488,0.887,-0.998960,0.5138,0.400349,23.17,3616,0.5564,diagnostic_event_trade_sequence
long_all_buys,5,5,1808,0.003635,0.000103,11.228772,0.072289,0.478659,0.383,0.690,-0.999269,0.5006,0.400349,23.17,3616,0.5564,diagnostic_event_trade_sequence
long_all_buys,5,10,1808,0.002635,-0.000897,1.000342,0.019515,0.478659,0.277,0.496,-0.999540,0.4884,0.400349,23.17,3616,0.5564,diagnostic_event_trade_sequence
long_all_buys,5,25,1808,-0.000365,-0.003897,-0.991340,-0.123996,0.478659,-0.038,-0.067,-0.999896,0.4718,0.400349,23.17,3616,0.5564,diagnostic_event_trade_sequence
long_all_buys,5,50,1808,-0.005365,-0.008897,-0.999999,-0.320408,0.478659,-0.565,-0.950,-1.000000,0.4358,0.400349,23.17,3616,0.5564,diagnostic_event_trade_sequence
long_all_buys,5,100,1808,-0.015365,-0.018897,-1.000000,-0.592578,0.478659,-1.618,-2.539,-1.000000,0.3678,0.400349,23.17,3616,0.5564,diagnostic_event_trade_sequence
short_all_sells,5,0,514,-0.002194,-0.005567,-0.920221,-0.219585,0.529234,-0.209,-0.371,-0.996442,0.4455,0.959293,0.00,1028,0.6926,diagnostic_event_trade_sequence
short_all_sells,5,5,514,-0.003194,-0.006567,-0.952484,-0.258249,0.529234,-0.304,-0.536,-0.997299,0.4222,0.959293,0.00,1028,0.6926,diagnostic_event_trade_sequence
short_all_sells,5,10,514,-0.004194,-0.007567,-0.971715,-0.295033,0.529234,-0.399,-0.700,-0.997950,0.4086,0.959293,0.00,1028,0.6926,diagnostic_event_trade_sequence
short_all_sells,5,25,514,-0.007194,-0.010567,-0.994052,-0.394986,0.529234,-0.685,-1.178,-0.999189,0.3949,0.959293,0.00,1028,0.6926,diagnostic_event_trade_sequence
