horizon,ticker,event_count,abs_return_contribution_share,mean_raw_return,mean_spy_bhar
5D,AAPL,231,0.0552,0.005580,0.000753
5D,AMC,20,0.0334,-0.163579,-0.169987
5D,AMD,187,0.1112,0.018822,0.014920
5D,AMZN,246,0.0923,0.002075,0.000885
5D,COIN,1,0.0004,-0.047917,-0.056477
5D,CRM,5,0.0019,-0.026847,-0.003752
5D,DIS,32,0.0083,0.015698,0.006137
5D,GOOGL,240,0.0782,0.015331,0.010971
5D,HOOD,9,0.0063,-0.080431,-0.080028
5D,META,112,0.0362,-0.004979,-0.005153
5D,MSFT,226,0.0644,-0.001372,-0.005827
5D,NFLX,92,0.0379,0.006146,0.004267
5D,NVDA,391,0.1774,0.008882,0.006399
5D,PLTR,12,0.0041,-0.014052,-0.027065
5D,PYPL,99,0.0308,-0.001536,-0.005000
5D,ROKU,1,0.0007,0.082582,0.047184
5D,SOFI,61,0.0339,0.005883,-0.002774
5D,TSLA,307,0.2082,0.005219,0.001034
5D,UBER,50,0.0191,-0.014189,-0.014350
10D,AAPL,231,0.0537,0.015471,0.004884
10D,AMC,20,0.0671,-0.507277,-0.512813
10D,AMD,187,0.1229,0.044999,0.037579
10D,AMZN,246,0.0805,0.004184,0.000340
10D,COIN,1,0.0012,-0.194206,-0.172142
10D,CRM,5,0.0013,-0.003714,0.003930
10D,DIS,32,0.0109,0.033600,0.021893
10D,GOOGL,240,0.0812,0.024036,0.015923
10D,HOOD,9,0.0041,-0.069696,-0.089489
10D,META,112,0.0427,-0.011129,-0.013610
10D,MSFT,226,0.0581,-0.002498,-0.010100
10D,NFLX,92,0.0374,0.010277,0.005072
10D,NVDA,391,0.1560,0.023996,0.016860
10D,PLTR,12,0.0064,-0.066731,-0.077340
10D,PYPL,99,0.0270,-0.003087,-0.012379
10D,ROKU,1,0.0011,0.171799,0.119729
10D,SOFI,61,0.0301,-0.006693,-0.018447
10D,TSLA,307,0.2039,0.011134,0.003988
10D,UBER,50,0.0144,-0.011600,-0.018534
21D,AAPL,231,0.0580,0.024893,0.004649
21D,AMC,20,0.0499,-0.509960,-0.511787
21D,AMD,187,0.1321,0.056735,0.046256
