strategy,holding_days,trade_count,p05,p25,median,p75,p95
long_all_buys,5,1808,-0.094413,-0.033709,0.001103,0.038052,0.115530
short_all_sells,5,514,-0.105949,-0.039094,-0.005567,0.032116,0.126653
long_buy_short_sell,5,2322,-0.097595,-0.034881,-0.000174,0.037187,0.121802
long_top5_buys,5,1006,-0.107375,-0.036350,0.001958,0.048537,0.132941
long_non_top_buys,5,802,-0.084562,-0.029338,0.000389,0.030568,0.087974
short_non_top_buys_diagnostic,5,802,-0.087974,-0.030568,-0.000389,0.029338,0.084562
low_lookahead_top5,5,315,-0.077482,-0.020666,0.007309,0.040323,0.111542
high_quality_top5,5,949,-0.110848,-0.036706,0.002043,0.047652,0.134529
duplicate_collapsed_only,5,1693,-0.091503,-0.032469,-0.000107,0.034995,0.111510
creator_adjusted_top_quartile,5,198,-0.118293,-0.025081,0.007612,0.056797,0.175655
momentum_conditioned_top5,5,1006,-0.107375,-0.036350,0.001958,0.048537,0.132941
long_all_buys,10,1808,-0.129068,-0.036793,0.003278,0.052835,0.179981
short_all_sells,10,514,-0.148481,-0.050485,-0.000227,0.039001,0.160414
long_buy_short_sell,10,2322,-0.131107,-0.040469,0.002321,0.050612,0.179703
long_top5_buys,10,1006,-0.140357,-0.031802,0.009079,0.072953,0.228409
long_non_top_buys,10,802,-0.106995,-0.041640,-0.001787,0.040107,0.138247
short_non_top_buys_diagnostic,10,802,-0.138247,-0.040107,0.001787,0.041640,0.106995
low_lookahead_top5,10,315,-0.110852,-0.027996,0.006963,0.063984,0.199843
high_quality_top5,10,949,-0.144262,-0.033114,0.008522,0.073723,0.228792
duplicate_collapsed_only,10,1693,-0.124001,-0.039422,0.003633,0.049654,0.165991
momentum_conditioned_top5,10,1006,-0.140357,-0.031802,0.009079,0.072953,0.228409
long_all_buys,21,1808,-0.155114,-0.058468,0.009382,0.079131,0.244020
short_all_sells,21,514,-0.239476,-0.078404,-0.004329,0.061193,0.183231
long_buy_short_sell,21,2322,-0.166073,-0.062120,0.005049,0.074348,0.239264
long_top5_buys,21,1006,-0.177066,-0.063263,0.018809,0.086747,0.294007
long_non_top_buys,21,802,-0.132075,-0.052794,-0.005221,0.062697,0.176022
short_non_top_buys_diagnostic,21,802,-0.176022,-0.062697,0.005221,0.052794,0.132075
low_lookahead_top5,21,315,-0.157072,-0.047276,0.028039,0.098978,0.308974
high_quality_top5,21,949,-0.177487,-0.064339,0.016941,0.084314,0.299090
duplicate_collapsed_only,21,1693,-0.162576,-0.058426,0.008581,0.076663,0.227365
momentum_conditioned_top5,21,1006,-0.177066,-0.063263,0.018809,0.086747,0.294007
long_all_buys,42,1808,-0.193691,-0.062839,0.033007,0.134444,0.366007
short_all_sells,42,514,-0.412205,-0.145149,-0.037204,0.058100,0.245245
long_buy_short_sell,42,2322,-0.250781,-0.080319,0.017973,0.114572,0.344982
long_top5_buys,42,1006,-0.193406,-0.055304,0.049634,0.177007,0.478826
long_non_top_buys,42,802,-0.197226,-0.070007,0.011986,0.097779,0.257327
short_non_top_buys_diagnostic,42,802,-0.257327,-0.097779,-0.011986,0.070007,0.197226
low_lookahead_top5,42,315,-0.177745,-0.032672,0.048176,0.207275,0.523209
high_quality_top5,42,949,-0.193691,-0.055304,0.049516,0.175966,0.481275
duplicate_collapsed_only,42,1693,-0.243598,-0.077104,0.016462,0.115842,0.328103
momentum_conditioned_top5,42,1006,-0.193406,-0.055304,0.049634,0.177007,0.478826
long_all_buys,63,1808,-0.217537,-0.046903,0.050611,0.187921,0.478619
short_all_sells,63,514,-0.493425,-0.180262,-0.056878,0.051024,0.263272
long_buy_short_sell,63,2322,-0.278822,-0.081465,0.023633,0.159781,0.467153
long_top5_buys,63,1006,-0.206337,-0.015304,0.090562,0.257477,0.639854
long_non_top_buys,63,802,-0.238407,-0.078227,0.010496,0.124434,0.324838
short_non_top_buys_diagnostic,63,802,-0.324838,-0.124434,-0.010496,0.078227,0.238407
low_lookahead_top5,63,315,-0.171331,-0.008448,0.091738,0.278400,0.949285
high_quality_top5,63,949,-0.208717,-0.017238,0.088658,0.262032,0.637863
duplicate_collapsed_only,63,1693,-0.284925,-0.081743,0.022596,0.159719,0.437848
momentum_conditioned_top5,63,1006,-0.206337,-0.015304,0.090562,0.257477,0.639854
long_all_buys,126,1808,-0.264111,-0.024175,0.119629,0.287373,0.829037
short_all_sells,126,514,-0.814904,-0.261203,-0.134710,0.000865,0.281483
long_buy_short_sell,126,2322,-0.352469,-0.087130,0.060234,0.247188,0.783356
long_top5_buys,126,1006,-0.142766,0.041158,0.187673,0.361218,1.108637
long_non_top_buys,126,802,-0.309446,-0.082463,0.016700,0.214294,0.462514
short_non_top_buys_diagnostic,126,802,-0.462514,-0.214294,-0.016700,0.082463,0.309446
low_lookahead_top5,126,315,-0.135421,0.023444,0.190142,0.327382,1.206305
