horizon,bucket_variable,bucket,n,mean_spy_bhar,t_stat,p_value,win_rate
126D,spy_200d_trend,bear_or_unformed_proxy,219,0.130728,6.064,0.000000,0.6164
126D,spy_200d_trend,bull_proxy,2103,0.079752,10.622,0.000000,0.5568
21D,spy_200d_trend,bear_or_unformed_proxy,219,0.008560,1.061,0.288650,0.5525
21D,spy_200d_trend,bull_proxy,2103,0.002612,0.914,0.360663,0.4893
252D,spy_200d_trend,bear_or_unformed_proxy,219,0.149698,5.987,0.000000,0.5982
252D,spy_200d_trend,bull_proxy,2103,0.158267,15.032,0.000000,0.6020
5D,spy_200d_trend,bear_or_unformed_proxy,219,-0.004977,-1.094,0.273986,0.5479
5D,spy_200d_trend,bull_proxy,2103,0.001219,0.917,0.359328,0.4774
63D,spy_200d_trend,bear_or_unformed_proxy,219,0.059226,4.197,0.000027,0.6804
63D,spy_200d_trend,bull_proxy,2103,0.041203,8.037,0.000000,0.5045
126D,spy_vol_bucket,q1_low,583,0.053936,3.803,0.000143,0.5455
126D,spy_vol_bucket,q2,579,0.086399,6.005,0.000000,0.5389
126D,spy_vol_bucket,q3,586,0.063307,5.261,0.000000,0.5751
126D,spy_vol_bucket,q4_high,574,0.135506,8.560,0.000000,0.5906
21D,spy_vol_bucket,q1_low,583,0.002488,0.363,0.716317,0.5214
21D,spy_vol_bucket,q2,579,-0.004325,-0.894,0.371182,0.4387
21D,spy_vol_bucket,q3,586,0.003539,0.914,0.360586,0.5017
21D,spy_vol_bucket,q4_high,574,0.011058,1.979,0.047844,0.5192
252D,spy_vol_bucket,q1_low,583,0.198015,8.927,0.000000,0.6398
252D,spy_vol_bucket,q2,579,0.164067,8.703,0.000000,0.6149
252D,spy_vol_bucket,q3,586,0.095010,5.431,0.000000,0.5495
252D,spy_vol_bucket,q4_high,574,0.173355,8.869,0.000000,0.6028
5D,spy_vol_bucket,q1_low,583,-0.000570,-0.215,0.829570,0.4563
5D,spy_vol_bucket,q2,579,0.002228,0.797,0.425584,0.4940
5D,spy_vol_bucket,q3,586,0.002122,0.996,0.319417,0.4881
5D,spy_vol_bucket,q4_high,574,-0.001265,-0.483,0.629259,0.4983
63D,spy_vol_bucket,q1_low,583,0.028847,2.913,0.003582,0.4803
63D,spy_vol_bucket,q2,579,0.074558,6.968,0.000000,0.5458
63D,spy_vol_bucket,q3,586,0.016896,1.956,0.050478,0.4812
63D,spy_vol_bucket,q4_high,574,0.051798,5.672,0.000000,0.5784
