horizon,bucket_variable,bucket,n,mean_spy_bhar,t_stat,p_value,win_rate
126D,pre_momentum_bucket,q1_low,581,0.069483,4.541,0.000006,0.4940
126D,pre_momentum_bucket,q2,581,0.068701,5.470,0.000000,0.5611
126D,pre_momentum_bucket,q3,580,0.031814,2.966,0.003014,0.5379
126D,pre_momentum_bucket,q4_high,580,0.168296,9.993,0.000000,0.6569
21D,pre_momentum_bucket,q1_low,581,-0.004861,-0.846,0.397309,0.4802
21D,pre_momentum_bucket,q2,581,0.008139,2.078,0.037677,0.5336
21D,pre_momentum_bucket,q3,580,-0.004396,-1.145,0.252094,0.4259
21D,pre_momentum_bucket,q4_high,580,0.013815,1.896,0.057938,0.5414
252D,pre_momentum_bucket,q1_low,581,0.155114,8.226,0.000000,0.5525
252D,pre_momentum_bucket,q2,581,0.127495,7.165,0.000000,0.6162
252D,pre_momentum_bucket,q3,580,0.080950,5.138,0.000000,0.5638
252D,pre_momentum_bucket,q4_high,580,0.266332,10.934,0.000000,0.6741
5D,pre_momentum_bucket,q1_low,581,0.003116,0.983,0.325686,0.5146
5D,pre_momentum_bucket,q2,581,-0.000386,-0.204,0.838202,0.4647
5D,pre_momentum_bucket,q3,580,-0.003703,-1.967,0.049132,0.4431
5D,pre_momentum_bucket,q4_high,580,0.003511,1.171,0.241524,0.5138
63D,pre_momentum_bucket,q1_low,581,0.039844,3.270,0.001074,0.4802
63D,pre_momentum_bucket,q2,581,0.029319,3.748,0.000178,0.4991
63D,pre_momentum_bucket,q3,580,0.029005,3.811,0.000138,0.4966
63D,pre_momentum_bucket,q4_high,580,0.073473,7.209,0.000000,0.6086
126D,pre_volatility_bucket,q1_low,581,-0.007635,-1.007,0.313993,0.4475
126D,pre_volatility_bucket,q2,580,0.092969,7.570,0.000000,0.6190
126D,pre_volatility_bucket,q3,581,0.075512,6.260,0.000000,0.5869
126D,pre_volatility_bucket,q4_high,580,0.177569,8.612,0.000000,0.5966
21D,pre_volatility_bucket,q1_low,581,-0.001424,-0.457,0.647837,0.4940
21D,pre_volatility_bucket,q2,580,0.014694,3.664,0.000248,0.5638
21D,pre_volatility_bucket,q3,581,0.011785,2.047,0.040621,0.4785
21D,pre_volatility_bucket,q4_high,580,-0.012371,-1.641,0.100879,0.4448
252D,pre_volatility_bucket,q1_low,581,0.007861,0.702,0.482964,0.4596
252D,pre_volatility_bucket,q2,580,0.181553,9.859,0.000000,0.6724
252D,pre_volatility_bucket,q3,581,0.172738,8.806,0.000000,0.6265
252D,pre_volatility_bucket,q4_high,580,0.267914,10.626,0.000000,0.6483
5D,pre_volatility_bucket,q1_low,581,-0.002283,-1.541,0.123355,0.4441
5D,pre_volatility_bucket,q2,580,0.005420,2.773,0.005560,0.5500
5D,pre_volatility_bucket,q3,581,0.004004,1.410,0.158612,0.4578
5D,pre_volatility_bucket,q4_high,580,-0.004602,-1.327,0.184377,0.4845
63D,pre_volatility_bucket,q1_low,581,0.009467,1.823,0.068246,0.4475
63D,pre_volatility_bucket,q2,580,0.040115,5.298,0.000000,0.5897
63D,pre_volatility_bucket,q3,581,0.043089,4.999,0.000001,0.5336
63D,pre_volatility_bucket,q4_high,580,0.078997,5.434,0.000000,0.5138
