creator,n_events,n_high_confidence,buy_share,top5_share,non_top_share,mean_bhar_5d,mean_bhar_21d,mean_bhar_63d,hit_rate_21d,downside_hit_21d,mean_prior_return_21d,master_clean_share,taxonomy
The Investor Channel,494,465,0.8178137651821862,0.6194331983805668,0.3805668016194332,0.006697622982513615,0.023096139092999582,0.06084063751618991,0.5890688259109311,0.4109311740890688,0.011309481196151095,0.0,momentum_rider
Couch Investor,290,270,0.8620689655172413,0.38275862068965516,0.6172413793103448,-0.00695360102202426,-0.02149987271639842,-0.029882094201963787,0.33793103448275863,0.6620689655172414,-0.006193024068182355,0.013793103448275862,noisy_neutral
Jose Najarro Stocks,270,258,0.7703703703703704,0.6851851851851852,0.3148148148148148,-0.0012888267442626845,0.0023223931711340707,0.11526803738747288,0.4925925925925926,0.5074074074074074,0.01934892629265649,0.022222222222222223,noisy_neutral
"Mark Roussin, CPA",213,194,0.8028169014084507,0.6338028169014085,0.36619718309859156,0.005511000407898545,0.010593325971167994,0.04768001740177959,0.5164319248826291,0.4835680751173709,-0.00031115807670770927,0.0,momentum_rider
Daniel Pronk,200,177,0.685,0.485,0.515,0.0012141076249894322,0.007719815031851942,0.04055837333791081,0.52,0.48,0.009828100198373794,0.005,noisy_neutral
"Parkev Tatevosian, CFA",127,84,0.8110236220472441,0.33070866141732286,0.6692913385826772,-0.010291835762732687,0.0017395964288031728,0.037602196649350356,0.4251968503937008,0.5748031496062992,0.007425696803060113,0.06299212598425197,noisy_neutral
HyperChange,76,73,0.8552631578947368,0.9473684210526315,0.05263157894736842,-0.008080008485318108,-0.06636093493038539,-0.034837613715907455,0.2894736842105263,0.7105263157894737,-0.10663100074471961,0.0,noisy_neutral
Ticker Symbol: YOU,66,65,0.8636363636363636,0.7424242424242424,0.25757575757575757,-0.0017365017694154579,0.016057429963250776,0.08363243034113199,0.5303030303030303,0.4696969696969697,0.015707938577238,0.0,momentum_rider
Financial Education,63,61,0.8253968253968254,0.7142857142857143,0.2857142857142857,0.03519337181571204,0.099466850062172,0.10570860884786024,0.6031746031746031,0.3968253968253968,0.011112995752883967,0.06349206349206349,momentum_rider
Dividendology,55,51,0.6545454545454545,0.2727272727272727,0.7272727272727273,0.003356224532773548,0.0012084196863880923,-0.005708797095360047,0.5272727272727272,0.4727272727272727,0.0025285201584813147,0.01818181818181818,noisy_neutral
Sasha Yanshin,49,45,0.7142857142857143,0.7755102040816326,0.22448979591836735,-0.006946089679685686,-0.02095585048867064,0.04047204868613641,0.4489795918367347,0.5510204081632653,-0.027513202282508455,0.0,noisy_neutral
Joseph Carlson,44,43,0.7954545454545454,0.5681818181818182,0.4318181818181818,-0.004432266246115617,0.013958899519145938,0.042872847938030784,0.5454545454545454,0.45454545454545453,-0.0015577639169367435,0.0,momentum_rider
"Value Investing with Sven Carlin, Ph.D.",43,38,0.6046511627906976,0.7441860465116279,0.2558139534883721,0.003969512890344959,0.02531789714222683,0.06826615383170395,0.6046511627906976,0.3953488372093023,0.006342577274625365,0.046511627906976744,momentum_rider
Learn to Invest - Investors Grow,38,34,0.8157894736842105,0.3157894736842105,0.6842105263157895,0.03625379201660452,0.03988142566350827,0.09534287881890802,0.5789473684210527,0.42105263157894735,0.011646214708526743,0.0,momentum_rider
Everything Money,34,34,0.7352941176470589,0.47058823529411764,0.5294117647058824,0.012580803644090015,-0.010414832916297268,-0.03375038833890661,0.4411764705882353,0.5588235294117647,-0.025136185238335156,0.0,antiskilled_like
ZipTrader,33,32,0.48484848484848486,0.45454545454545453,0.5454545454545454,-0.09023863028049495,-0.3186002156165379,-0.3304834051857095,0.15151515151515152,0.8484848484848485,-0.059756847442196226,0.0,antiskilled_like
New Money,28,27,0.6785714285714286,0.6428571428571429,0.35714285714285715,0.006649827666219432,0.0028428196146592817,0.03611930422091529,0.5714285714285714,0.42857142857142855,0.005780255387517316,0.0,noisy_neutral
Chicken Genius Singapore,21,20,0.8095238095238095,1.0,0.0,0.016819099553350793,0.12218505801263249,0.5221398830244185,0.6666666666666666,0.3333333333333333,0.1234016784801953,0.0,momentum_rider
Ale's World of Stocks,19,18,0.5263157894736842,0.8947368421052632,0.10526315789473684,-0.009088423364820648,-0.02406305243890295,0.02667635685278812,0.3684210526315789,0.631578947368421,0.060830149375029605,0.10526315789473684,noisy_neutral
STOCK UP! with LARRY JONES,19,19,0.7894736842105263,0.631578947368421,0.3684210526315789,-0.007343868821918773,-0.024218908745764576,-0.02268338444677678,0.2631578947368421,0.7368421052631579,-0.040723733855466175,0.05263157894736842,noisy_neutral
Tom Nash,18,15,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.02458181707253354,0.08778864807780364,0.08874675797295893,0.5555555555555556,0.4444444444444444,0.059130017528380506,0.0,momentum_rider
Investing with Tom,15,14,0.6666666666666666,0.6666666666666666,0.3333333333333333,-0.005006501863629087,0.007827865109025141,-0.017155489219592184,0.6666666666666666,0.3333333333333333,-0.012947271767483108,0.0,noisy_neutral
Dumb Money Live,14,14,0.5714285714285714,0.7142857142857143,0.2857142857142857,-0.024716469307452433,0.011083845664733735,0.0532688204075842,0.5714285714285714,0.42857142857142855,0.0016944689664858323,0.0,momentum_rider
Meet Kevin,12,11,0.5833333333333334,0.8333333333333334,0.16666666666666666,0.005517138982670106,-0.01128512920059479,-0.04837452498053133,0.4166666666666667,0.5833333333333334,-0.053089688247018256,0.16666666666666666,noisy_neutral
Best of Us Investors,12,12,0.5,0.8333333333333334,0.16666666666666666,-0.011910769879030926,0.019655241821321508,0.05585105728254503,0.75,0.25,0.0224146951599631,0.0,momentum_rider
The Swedish Investor,11,10,0.8181818181818182,0.6363636363636364,0.36363636363636365,-0.0006465950750528088,0.0007296973746498706,0.03654064978924866,0.6363636363636364,0.36363636363636365,-0.0032462969219026823,0.0,noisy_neutral
Stock Moe,10,10,0.8,0.4,0.6,0.00452036500807112,-0.0240536801663295,-0.054191322850593956,0.3,0.7,-0.037560094105667574,0.0,antiskilled_like
The Plain Bagel,10,10,0.7,0.6,0.4,0.013113889656542328,-0.05104899654207895,-0.01486760352631456,0.3,0.7,0.15827205564682229,0.0,noisy_neutral
Dividend Bull,9,8,0.2222222222222222,0.7777777777777778,0.2222222222222222,-0.008211310284216945,0.04261663022993153,0.19335224980907476,0.7777777777777778,0.2222222222222222,-0.10597328525370125,0.0,momentum_rider
Chris Sain,8,7,1.0,0.375,0.625,-0.012889424362167189,0.0029352391553733636,0.0416888827444363,0.625,0.375,0.11558822572522173,0.0,noisy_neutral
Kenan Grace,8,8,0.875,0.625,0.375,0.019147488900129662,0.025383441907606143,0.01365697149290333,0.625,0.375,0.043160079299749285,0.25,momentum_rider
Graham Stephan,6,6,1.0,1.0,0.0,-0.025619349397099433,0.019079126244492102,-0.0058316749882115215,0.5,0.5,0.026225091853050553,0.0,momentum_rider
Bloomberg Television,3,3,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.04266812576460393,0.04433177794454204,0.04433177794454204,0.6666666666666666,0.3333333333333333,0.019545641545354615,0.0,insufficient_sample
CNBC Television,3,3,1.0,1.0,0.0,0.04406989662160917,0.05619572936465924,0.05619572936465924,1.0,0.0,0.00917912230521134,0.0,insufficient_sample
Minority Mindset,1,1,1.0,1.0,0.0,-0.1388291288738472,-0.0928070568100151,0.084412955153396,0.0,1.0,0.032812729898536785,0.0,insufficient_sample
