control_type,horizon,n_pairs,mean_diff_treated_minus_control,t_stat,p_value
shift_-90,5D,1955,-0.006819154111365706,-3.972591354418169,7.109495630674978e-05
shift_-90,21D,1858,-0.022974922050954187,-5.857259670449309,4.705670519911109e-09
shift_-60,5D,1851,-0.00131209893193203,-0.7807093695406288,0.43497344865232446
shift_-60,21D,1789,-0.00954754607979677,-2.5244283697102485,0.011588661923029653
shift_-30,5D,1751,-0.003447407760833266,-1.7935801760786672,0.0728802030106519
shift_-30,21D,1751,-0.008947228835700947,-2.071990092877167,0.038266365125222634
shift_+30,5D,1436,-0.002153633313082846,-0.9741985288204013,0.3299579750114754
shift_+30,21D,1436,-0.01957849329319337,-4.050696931709074,5.1065311920339695e-05
shift_+60,5D,1279,0.0036480222457153464,1.4999028020941303,0.13363958205132298
shift_+60,21D,1279,0.0004139633808945428,0.0890430339999335,0.9290477097419292
random_placebo_0,5D,2299,-0.005519589496951535,-2.564318148062882,0.010337873647863205
random_placebo_0,21D,2173,-0.01727624565443316,-4.4714420833849555,7.76939020497025e-06
random_placebo_1,5D,2299,-0.003915545988953476,-2.3345604401094047,0.01956639520089487
random_placebo_1,21D,2173,-0.021101279463800936,-5.02941666997495,4.919742506714897e-07
random_placebo_2,5D,2299,-0.004755753541029159,-2.819843327137827,0.004804710192527484
random_placebo_2,21D,2173,-0.01710229938499642,-4.586784315957874,4.501252728328353e-06
shift_+90,5D,1240,-0.005601732384861936,-2.4841751334157904,0.012985192865802464
shift_+90,21D,1240,-0.01231326660330539,-2.597124511473681,0.009400784018329222
