target,feature,importance
positive_5d,top5_flag,0.012499722826395032
positive_5d,prior_return_21d,0.23631021537080724
positive_5d,prior_return_63d,0.2708311109424362
positive_5d,prior_abnormal_volume,0.24004336845793509
positive_5d,prior_volatility_21d,0.19146114234946693
positive_5d,high_confidence,0.010017528159523984
positive_5d,hype_score,0.02621568356673297
positive_5d,risk_warning_score,0.007046441430295409
positive_5d,disclosure_score,0.005574786896407277
positive_21d,top5_flag,0.021062637458464196
positive_21d,prior_return_21d,0.24341943584661005
positive_21d,prior_return_63d,0.27291670805112106
positive_21d,prior_abnormal_volume,0.2154981491471485
positive_21d,prior_volatility_21d,0.21050670503771196
positive_21d,high_confidence,0.01493106836819602
positive_21d,hype_score,0.0073638871017682375
positive_21d,risk_warning_score,0.010163982193637807
positive_21d,disclosure_score,0.004137426795342128
bottom_quartile_21d,top5_flag,0.014155548205275337
bottom_quartile_21d,prior_return_21d,0.16796399991128474
bottom_quartile_21d,prior_return_63d,0.28045116256686775
bottom_quartile_21d,prior_abnormal_volume,0.148031201084038
bottom_quartile_21d,prior_volatility_21d,0.3632493675344061
bottom_quartile_21d,high_confidence,0.003043161589064762
bottom_quartile_21d,hype_score,0.0074727636711223394
bottom_quartile_21d,risk_warning_score,0.010972627926862447
bottom_quartile_21d,disclosure_score,0.004660167511078393
non_top_underperform,top5_flag,0.6914762436327987
non_top_underperform,prior_return_21d,0.06791687825026672
non_top_underperform,prior_return_63d,0.07453459024416649
non_top_underperform,prior_abnormal_volume,0.06384510507205278
non_top_underperform,prior_volatility_21d,0.09343406314647686
non_top_underperform,high_confidence,0.0026514829107179678
non_top_underperform,hype_score,0.001375430407788879
non_top_underperform,risk_warning_score,0.003158500111907298
non_top_underperform,disclosure_score,0.001607706223824412
