target,feature,importance,split
positive_5d,top5_flag,0.03134855085115923,full_sample_rf
positive_5d,prior_return_21d,0.1925065635815307,full_sample_rf
positive_5d,prior_return_63d,0.2492605788814019,full_sample_rf
positive_5d,prior_abnormal_volume,0.26839471536922865,full_sample_rf
positive_5d,prior_volatility_21d,0.21146978685757817,full_sample_rf
positive_5d,high_confidence,0.009242780102766666,full_sample_rf
positive_5d,hype_score,0.027274654752053686,full_sample_rf
positive_5d,risk_warning_score,0.0063031664145861985,full_sample_rf
positive_5d,disclosure_score,0.004199203189694681,full_sample_rf
positive_21d,top5_flag,0.09109981329295673,full_sample_rf
positive_21d,prior_return_21d,0.2231796511405615,full_sample_rf
positive_21d,prior_return_63d,0.2108533242315762,full_sample_rf
positive_21d,prior_abnormal_volume,0.18665708808464365,full_sample_rf
positive_21d,prior_volatility_21d,0.254350051868186,full_sample_rf
positive_21d,high_confidence,0.00989260115699967,full_sample_rf
positive_21d,hype_score,0.006102501547332904,full_sample_rf
positive_21d,risk_warning_score,0.011206218243121974,full_sample_rf
positive_21d,disclosure_score,0.006658750434621264,full_sample_rf
bottom_quartile_21d,top5_flag,0.01874517673414295,full_sample_rf
bottom_quartile_21d,prior_return_21d,0.15948354088271066,full_sample_rf
bottom_quartile_21d,prior_return_63d,0.3049110014270424,full_sample_rf
bottom_quartile_21d,prior_abnormal_volume,0.14213958339496607,full_sample_rf
bottom_quartile_21d,prior_volatility_21d,0.35042704847204903,full_sample_rf
bottom_quartile_21d,high_confidence,0.0026986044136780548,full_sample_rf
bottom_quartile_21d,hype_score,0.010564098116150174,full_sample_rf
bottom_quartile_21d,risk_warning_score,0.00787616952671431,full_sample_rf
bottom_quartile_21d,disclosure_score,0.0031547770325464036,full_sample_rf
non_top_underperform,top5_flag,0.7439452312670978,full_sample_rf
non_top_underperform,prior_return_21d,0.050538065860464935,full_sample_rf
non_top_underperform,prior_return_63d,0.08152804329473974,full_sample_rf
non_top_underperform,prior_abnormal_volume,0.05361716676932246,full_sample_rf
non_top_underperform,prior_volatility_21d,0.06057521879133837,full_sample_rf
non_top_underperform,high_confidence,0.004743262166081766,full_sample_rf
non_top_underperform,hype_score,0.0016631202660643755,full_sample_rf
non_top_underperform,risk_warning_score,0.0022723909884046,full_sample_rf
non_top_underperform,disclosure_score,0.0011175005964860407,full_sample_rf
