event_id,ticker,data_ticker,creator,event_date,event_year,recommendation_type,top5_flag,confidence_score,confidence_label,quality_score,high_confidence,event_idx,prior_return_1d,prior_return_5d,prior_return_21d,prior_return_63d,prior_return_126d,prior_volatility_21d,prior_max_drawdown_21d,prior_abnormal_volume,prior_market_cap,post_bhar_1d,post_vol_1d,post_raw_ret_1d,post_bhar_5d,post_vol_5d,post_raw_ret_5d,post_bhar_21d,post_vol_21d,post_raw_ret_21d,post_bhar_63d,post_vol_63d,post_raw_ret_63d,post_1d_range_pct,forward_spy_bhar_5d,forward_spy_bhar_21d,forward_spy_bhar_63d,av_expanded_news_clean_flag,av_expanded_news_confounded_flag,av_expanded_news_unknown_flag,public_news_clean,public_news_confounded,public_news_unknown,master_clean,master_confounded,master_unknown,is_event
1,TSLA,TSLA,The Investor Channel,2023-10-13,2023.0,buy,True,0.62,high,3.0,True,1041,-0.02495702527619459,-0.040681807146016324,-0.05177901883783831,-0.09568055468546188,0.30365333649864046,0.02191184613234578,-0.12874948357037963,-0.03931293895471055,,0.0006286768229142314,,0.01115006015531006,-0.13192857586237394,0.04220667996784756,-0.15582187951924364,-0.12928997739315073,0.03629726501576498,-0.10915095944681419,-0.2293945695877423,0.02819748943906013,-0.12428317960309643,0.0,-0.1319285758623739,-0.1292899773931507,-0.2293945695877423,False,False,True,False,False,True,False,True,True,True
2,GOOGL,GOOGL,The Investor Channel,2023-10-13,2023.0,buy,False,0.62,high,3.0,True,1041,-0.00660444637083224,-0.006162099439814828,0.03313926348421481,0.14148724596825546,0.2079363753903669,0.014980220151293959,-0.0697488457148353,-0.02392152417301563,,0.0021459593918204956,,0.012667342724216324,0.011080243425697467,0.011759733316089621,-0.012813060231172235,-0.05850550789272457,0.024702971839638332,-0.03836648994638803,-0.06776436256578555,0.01807625890111417,0.03734702741886031,0.0,0.0110802434256974,-0.0585055078927245,-0.0677643625657855,False,False,True,False,True,False,False,True,False,True
3,AMZN,AMZN,The Investor Channel,2023-06-23,2023.0,buy,True,0.62,high,3.0,True,963,0.0012598252346174288,0.035045044728101105,0.07464700372772093,0.20426997446394246,0.3711377454897955,0.018942809428054885,-0.04249267220189956,0.4071701023966616,,-0.011378642989381738,,-0.01546431587167707,-0.015281169431339947,0.014877439750555785,0.007964113235244374,-0.05286109990797461,0.015756061104023687,-0.001546407990494325,0.001311557503018812,0.01953897913943195,-0.0016238050792075631,0.0,-0.0152811694313399,-0.0528610999079746,0.0013115575030188,False,True,False,False,True,False,False,True,False,True
4,NVDA,NVDA,The Investor Channel,2023-06-23,2023.0,buy,True,0.62,high,3.0,True,963,-0.011405581595120173,0.007170176324996169,0.3255063996293006,0.44654401133288557,1.4778407689360669,0.05621939573110025,-0.0656210741019182,-0.3204936176580876,,-0.03327601210276232,,-0.03736168498505765,-0.021041902172050708,0.03171793228903433,0.0022033804945336133,0.030895341861778114,0.0234210100570481,0.0822100337792584,-0.011174738426321551,0.02557265632510705,-0.014110101008547926,0.0,-0.0210419021720507,0.0308953418617781,-0.0111747384263215,False,False,True,False,False,True,False,True,True,True
5,TSLA,TSLA,The Investor Channel,2023-06-23,2023.0,buy,True,0.62,high,3.0,True,963,-0.022710700912636717,0.020315338875912414,0.3312183960954873,0.22899709388868938,0.7151208521719237,0.026352793587139167,-0.06503918859384306,0.046208154586390604,,-0.05651449345396242,,-0.060600166336257755,-0.0030972593338389753,0.03837502062000486,0.020148023332745346,-0.017487753221774982,0.034950350832606523,0.0338269386957053,-0.042738842179776415,0.03311408770702214,-0.04567420476200279,0.0,-0.0030972593338389,-0.0174877532217749,-0.0427388421797764,False,False,True,False,True,False,False,True,False,True
6,PYPL,PYPL,"Parkev Tatevosian, CFA",2026-03-09,2026.0,buy,False,0.47,medium,2.0,False,1641,-0.026005103834412124,0.02649359423345421,0.1594356538242352,-0.24394970846290465,-0.374099376128337,0.0258851666661003,-0.05808628265128568,-0.4654210099268725,,-0.023089567059469407,,-0.024696693964836536,-0.0024083255312815632,0.02061455577162156,-0.01603123225548031,-0.0061056504147442014,0.020652533201797246,-0.006715801003374433,,,,0.0,-0.0024083255312815,-0.0061056504147442,-0.117552781767553,False,False,True,False,True,False,False,True,False,True
7,MSFT,MSFT,"Parkev Tatevosian, CFA",2026-02-06,2026.0,buy,False,0.62,high,3.0,True,1621,-0.00020947073933252902,-0.06579407187939734,-0.1717978661409567,-0.22982276890886133,-0.3256971957081657,0.027287731351263122,-0.18574055558212732,0.6870575796892826,,0.0262396807640779,,0.03106151286708836,0.013292244006999243,0.019168835331947957,0.0004487357698910177,0.03328669697036246,0.015649501334941553,0.0138259417617983,-0.0337590417244471,0.01736326520429595,0.037212662324541235,0.0,0.0132922440069992,0.0332866969703624,-0.0337590417244471,False,False,True,False,False,True,False,False,True,True
8,UBER,UBER,"Parkev Tatevosian, CFA",2026-02-06,2026.0,buy,False,0.62,high,3.0,True,1621,-0.025035030239600187,-0.06400791561555264,-0.1340061129587774,-0.21611116669363772,-0.29174457134325493,0.017643238312718763,-0.1560680299176106,0.4946281074339822,,-0.016323678024743327,,-0.011501845921732867,-0.05108586174956453,0.013843039850112331,-0.06392936998667276,-0.012771371859992109,0.018671995368697465,-0.03223212706855627,-0.06187714291878077,0.022818679277886278,0.009094561130207568,0.0,-0.0510858617495645,-0.0127713718599921,-0.0618771429187807,False,False,True,False,False,True,False,True,True,True
9,NVDA,NVDA,"Parkev Tatevosian, CFA",2026-02-06,2026.0,buy,True,0.62,high,3.0,True,1621,0.0595329904310693,-0.02797636576726481,-0.021073406336500677,-0.0724062349758603,-0.07280311302214582,0.025251722805263378,-0.10716322866229977,0.21471572122022486,,0.020149831316019107,,0.024971663419029566,-0.0011794369039952457,0.019171275868291187,-0.014022945141103471,0.016009009039804845,0.02255970759812033,-0.0034517461687593176,0.08976205784735525,0.022770266989923914,0.16073376189634359,0.0,-0.0011794369039952,0.0160090090398048,0.0897620578473552,False,False,True,False,False,True,False,False,True,True
10,NFLX,NFLX,"Parkev Tatevosian, CFA",2026-02-06,2026.0,buy,False,0.62,high,3.0,True,1621,-0.0027386359600356514,-0.013500025877255628,-0.09552335695582703,-0.273936339618021,-0.4021942632134833,0.013925246421470137,-0.11892428652382248,0.02821774650761255,,-0.013702559045113749,,-0.00888072694210329,-0.05199827277921254,0.026032559562906565,-0.06484178101632077,0.19877956348595638,0.03756434948196803,0.17931880827739222,-0.0066164593783804015,0.02833919628361132,0.06435524467060794,0.0,-0.0519982727792125,0.1987795634859563,-0.0066164593783804,False,False,True,False,False,True,False,False,True,True
11,NFLX,NFLX,The Investor Channel,2023-02-10,2023.0,buy,False,0.62,high,3.0,True,872,-0.04409920599939654,-0.04021743940750677,0.029764322288829526,0.2683697612870124,0.45121422162097946,0.02560556287109237,-0.05598438126402738,-0.285684923404507,,0.02053306371337027,,0.032271947852333005,0.0036390011373131914,0.022422479726890168,0.0017273541336246812,-0.11093818975836012,0.01895458434709772,-0.1509097354509208,-0.034054749492331116,0.022093300099531223,-0.021505114193823394,0.0,0.0036390011373131,-0.1109381897583601,-0.0340547494923311,False,False,True,False,False,True,False,False,True,True
12,AMZN,AMZN,The Investor Channel,2023-06-16,2023.0,sell,True,0.62,high,3.0,True,959,-0.009338717495746995,-0.009345427618016489,0.0242089689944347,0.13718103337499654,0.25658406683545176,0.018323253545908167,-0.04249267220189956,-0.04493992381204848,,0.007499138422335849,,0.002310948445805039,0.03291224056878672,0.022960662015547313,0.014662554774147463,0.042834921709168805,0.015665769653427534,0.07865170861901505,0.10241750426335416,0.019195364181540636,0.115467352860263,0.0,0.0329122405687867,0.0428349217091688,0.1024175042633541,False,True,False,False,True,False,False,True,False,True
