spec,status,n,r2,coef_intercept,t_intercept,p_intercept,coef_is_event,t_is_event,p_is_event,coef_top5_flag,t_top5_flag,p_top5_flag,coef_is_event_x_top5,t_is_event_x_top5,p_is_event_x_top5
all_prior_return_1d,computed,3922,0.0025905476446722586,3.0864952554877635e-05,nan,nan,-0.0038618867594556964,nan,nan,0.0036147072121242305,nan,nan,-0.0002780444998863388,nan,nan
top5_events_prior_return_1d,mean_only,1362,,,,,,,,,,,,,
non_top_events_prior_return_1d,mean_only,960,,,,,,,,,,,,,
buy_events_prior_return_1d,mean_only,1808,,,,,,,,,,,,,
high_conf_events_prior_return_1d,mean_only,2140,,,,,,,,,,,,,
all_prior_return_5d,computed,3922,0.003016515016107224,-0.0009378010979350388,nan,nan,-0.008063715604063316,nan,nan,0.008322422273650555,nan,nan,0.0011965077675222882,nan,nan
top5_events_prior_return_5d,mean_only,1362,,,,,,,,,,,,,
non_top_events_prior_return_5d,mean_only,960,,,,,,,,,,,,,
buy_events_prior_return_5d,mean_only,1808,,,,,,,,,,,,,
high_conf_events_prior_return_5d,mean_only,2140,,,,,,,,,,,,,
all_prior_return_21d,computed,3922,0.008441733909203442,-0.004345780505647597,nan,nan,-0.015102559218421236,nan,nan,0.024719633458185154,nan,nan,0.01396285474541158,nan,nan
top5_events_prior_return_21d,mean_only,1362,,,,,,,,,,,,,
non_top_events_prior_return_21d,mean_only,960,,,,,,,,,,,,,
buy_events_prior_return_21d,mean_only,1808,,,,,,,,,,,,,
high_conf_events_prior_return_21d,mean_only,2140,,,,,,,,,,,,,
all_prior_return_63d,computed,3922,0.01790365781183878,-0.010669459833015189,nan,nan,-0.024271490563063856,nan,nan,0.05621541455134837,nan,nan,0.04261338382129989,nan,nan
top5_events_prior_return_63d,mean_only,1362,,,,,,,,,,,,,
non_top_events_prior_return_63d,mean_only,960,,,,,,,,,,,,,
buy_events_prior_return_63d,mean_only,1808,,,,,,,,,,,,,
high_conf_events_prior_return_63d,mean_only,2140,,,,,,,,,,,,,
all_prior_return_126d,computed,3922,0.028631482272504893,-0.005081498460239591,nan,nan,-0.0331614868285318,nan,nan,0.11623215617015817,nan,nan,0.0881521678018666,nan,nan
top5_events_prior_return_126d,mean_only,1362,,,,,,,,,,,,,
non_top_events_prior_return_126d,mean_only,960,,,,,,,,,,,,,
buy_events_prior_return_126d,mean_only,1808,,,,,,,,,,,,,
high_conf_events_prior_return_126d,mean_only,2140,,,,,,,,,,,,,
all_prior_volatility_21d,computed,3922,0.029741187107118372,0.020635401337197067,nan,nan,0.0026405939022182516,nan,nan,0.010438159834905873,nan,nan,-0.007556647600072644,nan,nan
top5_events_prior_volatility_21d,mean_only,1362,,,,,,,,,,,,,
non_top_events_prior_volatility_21d,mean_only,960,,,,,,,,,,,,,
buy_events_prior_volatility_21d,mean_only,1808,,,,,,,,,,,,,
high_conf_events_prior_volatility_21d,mean_only,2140,,,,,,,,,,,,,
all_prior_abnormal_volume,computed,3922,0.009473230967085522,0.06190271441527157,nan,nan,0.08797694346133389,nan,nan,-0.042004644056987936,nan,nan,-0.015930415010924823,nan,nan
top5_events_prior_abnormal_volume,mean_only,1362,,,,,,,,,,,,,
non_top_events_prior_abnormal_volume,mean_only,960,,,,,,,,,,,,,
buy_events_prior_abnormal_volume,mean_only,1808,,,,,,,,,,,,,
high_conf_events_prior_abnormal_volume,mean_only,2140,,,,,,,,,,,,,
