event_id,ticker,company_name,event_date,filing_count_pm1,filing_count_pm3,filing_count_pm5,eight_k_pm5_flag,ten_q_or_k_pm5_flag,offering_registration_pm5_flag,ownership_or_insider_pm5_flag,earnings_proxy_flag,sec_material_event_confounded_flag,sec_routine_filing_flag,sec_unknown_flag,sec_clean_expanded_flag,reason_codes
1,TSLA,Tesla,2023-10-13,0,2,3,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
2,GOOGL,Alphabet,2023-10-13,0,2,2,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
3,AMZN,Amazon,2023-06-23,2,3,3,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
4,NVDA,Nvidia,2023-06-23,6,8,21,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
5,TSLA,Tesla,2023-06-23,0,0,1,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
6,PYPL,PayPal,2026-03-07,0,3,14,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
7,MSFT,Microsoft,2026-02-06,0,11,11,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
8,UBER,Uber,2026-02-06,0,2,2,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
9,NVDA,Nvidia,2026-02-06,1,1,1,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
10,NFLX,Netflix,2026-02-06,3,23,31,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
11,NFLX,Netflix,2023-02-10,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
12,AMZN,Amazon,2023-06-16,0,0,1,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
13,NFLX,Netflix,2023-06-16,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
14,NVDA,Nvidia,2023-06-16,4,8,10,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
15,TSLA,Tesla,2023-06-16,1,3,3,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
16,GOOGL,Alphabet,2024-01-08,0,3,9,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
17,TSLA,Tesla,2024-01-08,0,0,0,True,False,False,False,False,True,False,False,False,8k_window
18,TSLA,Tesla,2023-08-18,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
19,AAPL,Apple,2023-08-18,0,0,0,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
20,AMZN,Amazon,2023-03-03,3,3,3,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
21,NVDA,Nvidia,2025-08-27,2,4,4,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
22,NVDA,Nvidia,2025-08-27,2,4,4,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
23,DIS,Disney,2023-10-06,0,10,10,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
24,AMD,nan,2023-10-06,0,1,1,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
25,MSFT,Microsoft,2023-10-06,0,0,1,True,False,False,False,False,True,False,False,False,8k_window;material_filing_flag
26,AAPL,Apple,2023-10-06,2,11,14,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
27,AAPL,Apple,2024-12-17,2,2,2,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
28,NVDA,Nvidia,2023-05-24,1,8,8,True,True,False,False,True,True,False,False,False,8k_window;10q_10k_window;material_filing_flag
29,NFLX,Netflix,2023-07-28,2,3,19,False,False,False,False,False,False,False,False,True,no_material_sec_overlap_detected
