removed_ticker,horizon,remaining_events,full_sample_mean,remaining_mean,remaining_p_value,change_vs_full
AAPL,21D,2091,0.003173,0.003010,0.310642,-0.000163
AMC,21D,2302,0.003173,0.007647,0.001693,0.004474
AMD,21D,2135,0.003173,-0.000601,0.817825,-0.003774
AMZN,21D,2076,0.003173,0.002416,0.417162,-0.000757
COIN,21D,2321,0.003173,0.003246,0.228768,0.000073
CRM,21D,2317,0.003173,0.003211,0.234764,0.000038
DIS,21D,2290,0.003173,0.003060,0.262336,-0.000113
GOOGL,21D,2082,0.003173,0.000490,0.867630,-0.002683
HOOD,21D,2313,0.003173,0.003297,0.222894,0.000124
META,21D,2210,0.003173,0.003955,0.160197,0.000782
MSFT,21D,2096,0.003173,0.004948,0.094521,0.001775
NFLX,21D,2230,0.003173,0.003032,0.272906,-0.000141
NVDA,21D,1931,0.003173,-0.000443,0.886109,-0.003616
PLTR,21D,2310,0.003173,0.003619,0.181155,0.000446
PYPL,21D,2223,0.003173,0.004582,0.099849,0.001409
ROKU,21D,2321,0.003173,0.003100,0.250418,-0.000073
SOFI,21D,2261,0.003173,0.004838,0.076090,0.001665
TSLA,21D,2015,0.003173,0.002027,0.440604,-0.001146
UBER,21D,2272,0.003173,0.003772,0.169648,0.000599
AAPL,63D,2091,0.042903,0.046479,0.000000,0.003576
AMC,63D,2302,0.042903,0.047956,0.000000,0.005053
AMD,63D,2135,0.042903,0.023165,0.000000,-0.019738
AMZN,63D,2076,0.042903,0.042169,0.000000,-0.000734
COIN,63D,2321,0.042903,0.043139,0.000000,0.000236
CRM,63D,2317,0.042903,0.043092,0.000000,0.000189
DIS,63D,2290,0.042903,0.043164,0.000000,0.000261
GOOGL,63D,2082,0.042903,0.039887,0.000000,-0.003016
HOOD,63D,2313,0.042903,0.043489,0.000000,0.000586
META,63D,2210,0.042903,0.047464,0.000000,0.004561
MSFT,63D,2096,0.042903,0.049755,0.000000,0.006852
NFLX,63D,2230,0.042903,0.042831,0.000000,-0.000072
NVDA,63D,1931,0.042903,0.031429,0.000000,-0.011474
PLTR,63D,2310,0.042903,0.044144,0.000000,0.001241
PYPL,63D,2223,0.042903,0.050596,0.000000,0.007693
ROKU,63D,2321,0.042903,0.042858,0.000000,-0.000045
SOFI,63D,2261,0.042903,0.047791,0.000000,0.004888
TSLA,63D,2015,0.042903,0.038186,0.000000,-0.004717
UBER,63D,2272,0.042903,0.044815,0.000000,0.001912
AAPL,126D,2091,0.084560,0.095089,0.000000,0.010529
AMC,126D,2302,0.084560,0.092232,0.000000,0.007672
AMD,126D,2135,0.084560,0.048842,0.000000,-0.035718
AMZN,126D,2076,0.084560,0.089142,0.000000,0.004582
COIN,126D,2321,0.084560,0.084797,0.000000,0.000237
CRM,126D,2317,0.084560,0.085101,0.000000,0.000541
DIS,126D,2290,0.084560,0.086133,0.000000,0.001573
GOOGL,126D,2082,0.084560,0.076029,0.000000,-0.008531
HOOD,126D,2313,0.084560,0.085335,0.000000,0.000775
META,126D,2210,0.084560,0.094837,0.000000,0.010277
MSFT,126D,2096,0.084560,0.096330,0.000000,0.011770
NFLX,126D,2230,0.084560,0.087216,0.000000,0.002656
NVDA,126D,1931,0.084560,0.059798,0.000000,-0.024762
PLTR,126D,2310,0.084560,0.086224,0.000000,0.001664
PYPL,126D,2223,0.084560,0.098454,0.000000,0.013894
ROKU,126D,2321,0.084560,0.084533,0.000000,-0.000027
SOFI,126D,2261,0.084560,0.092592,0.000000,0.008032
TSLA,126D,2015,0.084560,0.069871,0.000000,-0.014689
UBER,126D,2272,0.084560,0.088482,0.000000,0.003922
AAPL,252D,2091,0.157459,0.175510,0.000000,0.018051
AMC,252D,2302,0.157459,0.167096,0.000000,0.009637
AMD,252D,2135,0.157459,0.098930,0.000000,-0.058529
AMZN,252D,2076,0.157459,0.167582,0.000000,0.010123
COIN,252D,2321,0.157459,0.157729,0.000000,0.000270
CRM,252D,2317,0.157459,0.158662,0.000000,0.001203
DIS,252D,2290,0.157459,0.161743,0.000000,0.004284
GOOGL,252D,2082,0.157459,0.141340,0.000000,-0.016119
HOOD,252D,2313,0.157459,0.158518,0.000000,0.001059
META,252D,2210,0.157459,0.170806,0.000000,0.013347
MSFT,252D,2096,0.157459,0.180892,0.000000,0.023433
NFLX,252D,2230,0.157459,0.160743,0.000000,0.003284
NVDA,252D,1931,0.157459,0.116122,0.000000,-0.041337
PLTR,252D,2310,0.157459,0.159592,0.000000,0.002133
PYPL,252D,2223,0.157459,0.177110,0.000000,0.019651
ROKU,252D,2321,0.157459,0.157464,0.000000,0.000005
SOFI,252D,2261,0.157459,0.169828,0.000000,0.012369
TSLA,252D,2015,0.157459,0.139164,0.000000,-0.018295
UBER,252D,2272,0.157459,0.164526,0.000000,0.007067
