ticker,horizon,event_count,sum_spy_bhar,contribution_share
AAPL,126D,231,-2.481912,-0.0126
AAPL,21D,231,1.073907,0.1458
AAPL,252D,231,-1.372371,-0.0038
AAPL,504D,231,0.682814,0.0012
AAPL,5D,231,0.173984,0.1180
AAPL,63D,231,2.431865,0.0244
AAPL,end_of_sample,231,11.396657,0.0142
AMC,126D,20,-15.970421,-0.0813
AMC,21D,20,-10.235737,-1.3893
AMC,252D,20,-19.034862,-0.0521
AMC,504D,20,-26.660232,-0.0453
AMC,5D,20,-3.399747,-2.3057
AMC,63D,20,-10.773416,-0.1081
AMC,end_of_sample,20,-32.187621,-0.0402
AMD,126D,187,92.070756,0.4689
AMD,21D,187,8.649931,1.1741
AMD,252D,187,154.404544,0.4223
AMD,504D,187,192.378890,0.3266
AMD,5D,187,2.790090,1.8923
AMD,63D,187,50.162157,0.5035
AMD,end_of_sample,187,255.373576,0.3189
AMZN,126D,246,11.290342,0.0575
AMZN,21D,246,2.351852,0.3192
AMZN,252D,246,17.719980,0.0485
AMZN,504D,246,23.454649,0.0398
AMZN,5D,246,0.217631,0.1476
AMZN,63D,246,12.076770,0.1212
AMZN,end_of_sample,246,33.273306,0.0415
COIN,126D,1,-0.464805,-0.0024
COIN,21D,1,-0.167215,-0.0227
COIN,252D,1,-0.469762,-0.0013
COIN,504D,1,-0.469762,-0.0008
COIN,5D,1,-0.056477,-0.0383
COIN,63D,1,-0.505125,-0.0051
COIN,end_of_sample,1,-0.469762,-0.0006
CRM,126D,5,-0.831526,-0.0042
CRM,21D,5,-0.073524,-0.0100
CRM,252D,5,-1.999464,-0.0055
CRM,504D,5,-3.133890,-0.0053
CRM,5D,5,-0.018759,-0.0127
CRM,63D,5,-0.223889,-0.0022
CRM,end_of_sample,5,-3.133890,-0.0039
DIS,126D,32,-0.895587,-0.0046
DIS,21D,32,0.359086,0.0487
DIS,252D,32,-4.771388,-0.0131
DIS,504D,32,-8.954040,-0.0152
DIS,5D,32,0.196396,0.1332
DIS,63D,32,0.774073,0.0078
DIS,end_of_sample,32,-16.373693,-0.0204
