ticker,mean_5d_spy_bhar,mean_63d_spy_bhar,mean_252d_spy_bhar,pump_fade_candidate,notes
AAPL,0.000753,0.010528,-0.005941,True,"candidate flag is descriptive, not misconduct evidence"
AMC,-0.169987,-0.538671,-0.951743,False,"candidate flag is descriptive, not misconduct evidence"
AMD,0.014920,0.268247,0.825693,False,"candidate flag is descriptive, not misconduct evidence"
AMZN,0.000885,0.049093,0.072032,False,"candidate flag is descriptive, not misconduct evidence"
COIN,-0.056477,-0.505125,-0.469762,False,"candidate flag is descriptive, not misconduct evidence"
CRM,-0.003752,-0.044778,-0.399893,False,"candidate flag is descriptive, not misconduct evidence"
DIS,0.006137,0.024190,-0.149106,True,"candidate flag is descriptive, not misconduct evidence"
GOOGL,0.010971,0.069064,0.297286,False,"candidate flag is descriptive, not misconduct evidence"
HOOD,-0.080028,-0.107871,-0.114659,False,"candidate flag is descriptive, not misconduct evidence"
META,-0.005153,-0.047107,-0.105916,False,"candidate flag is descriptive, not misconduct evidence"
MSFT,-0.005827,-0.020651,-0.059870,False,"candidate flag is descriptive, not misconduct evidence"
NFLX,0.004267,0.044632,0.077863,False,"candidate flag is descriptive, not misconduct evidence"
NVDA,0.006399,0.099567,0.361607,False,"candidate flag is descriptive, not misconduct evidence"
PLTR,-0.027065,-0.196055,-0.253270,False,"candidate flag is descriptive, not misconduct evidence"
PYPL,-0.005000,-0.129846,-0.283798,False,"candidate flag is descriptive, not misconduct evidence"
ROKU,0.047184,0.146404,0.146404,False,"candidate flag is descriptive, not misconduct evidence"
SOFI,-0.002774,-0.138296,-0.301029,False,"candidate flag is descriptive, not misconduct evidence"
TSLA,0.001034,0.073862,0.277535,False,"candidate flag is descriptive, not misconduct evidence"
UBER,-0.014350,-0.043978,-0.163683,False,"candidate flag is descriptive, not misconduct evidence"
