group,event_count,matched_count,mean_abnormal_return_5m,mean_abnormal_return_15m,mean_abnormal_return_30m,mean_abnormal_return_60m,mean_abnormal_return_to_close
Ale's World of Stocks,2,0,,,,,
Best of Us Investors,3,0,,,,,
Chicken Genius Singapore,5,0,,,,,
Dumb Money Live,2,0,,,,,
Everything Money,7,0,,,,,
Financial Education,11,4,0.014538,0.002636,0.000043,0.013119,0.025909
Graham Stephan,5,0,,,,,
HyperChange,31,0,,,,,
Joseph Carlson,16,0,,,,,
Kenan Grace,4,2,-0.001764,-0.000725,0.003566,0.004595,0.011915
New Money,6,0,,,,,
STOCK UP! with LARRY JONES,7,0,,,,,
Sasha Yanshin,13,0,,,,,
The Plain Bagel,2,0,,,,,
Ticker Symbol: YOU,11,0,,,,,
Tom Nash,5,0,,,,,
ZipTrader,2,0,,,,,
