event_id,original_ticker,data_ticker,status,row_count,window_start_utc,window_end_utc,error
429,AMD,AMD,downloaded,1920,2026-05-06T22:46:31Z,2026-05-07T07:16:31Z,
79,AMD,AMD,downloaded,1917,2026-04-22T21:46:55Z,2026-04-23T06:16:55Z,
91,AMZN,AMZN,downloaded,1917,2026-04-21T23:54:55Z,2026-04-22T08:24:55Z,
92,AMZN,AMZN,downloaded,1917,2026-04-21T23:54:55Z,2026-04-22T08:24:55Z,
76,AMD,AMD,downloaded,1917,2026-04-15T21:33:10Z,2026-04-16T06:03:10Z,
77,AMD,AMD,downloaded,1917,2026-04-15T21:33:10Z,2026-04-16T06:03:10Z,
42,META,META,excluded,0,2026-04-09T16:42:37Z,2026-04-10T01:12:37Z,event window outside yfinance 1m 30-day lookback
183,TSLA,TSLA,excluded,0,2026-04-05T14:00:41Z,2026-04-05T22:30:41Z,event window outside yfinance 1m 30-day lookback
90,NVDA,NVDA,excluded,0,2026-03-30T21:26:07Z,2026-03-31T05:56:07Z,event window outside yfinance 1m 30-day lookback
521,AMZN,AMZN,excluded,0,2026-03-17T10:00:37Z,2026-03-17T18:30:37Z,event window outside yfinance 1m 30-day lookback
522,META,META,excluded,0,2026-03-17T10:00:37Z,2026-03-17T18:30:37Z,event window outside yfinance 1m 30-day lookback
