original_ticker,data_ticker,ticker_alias_applied,ticker,role,status,row_count,first_date,last_date,error
SPY,SPY,False,SPY,benchmark,downloaded,1688,2019-08-26,2026-05-13,
AAPL,AAPL,False,AAPL,security,downloaded,1688,2019-08-26,2026-05-13,
AMC,AMC,False,AMC,security,downloaded,1688,2019-08-26,2026-05-13,
AMD,AMD,False,AMD,security,downloaded,1688,2019-08-26,2026-05-13,
AMZN,AMZN,False,AMZN,security,downloaded,1688,2019-08-26,2026-05-13,
COIN,COIN,False,COIN,security,downloaded,1277,2021-04-14,2026-05-13,
CRM,CRM,False,CRM,security,downloaded,1688,2019-08-26,2026-05-13,
DIS,DIS,False,DIS,security,downloaded,1688,2019-08-26,2026-05-13,
GOOGL,GOOGL,False,GOOGL,security,downloaded,1688,2019-08-26,2026-05-13,
HOOD,HOOD,False,HOOD,security,downloaded,1203,2021-07-29,2026-05-13,
META,META,False,META,security,downloaded,1688,2019-08-26,2026-05-13,
MSFT,MSFT,False,MSFT,security,downloaded,1688,2019-08-26,2026-05-13,
NFLX,NFLX,False,NFLX,security,downloaded,1688,2019-08-26,2026-05-13,
NVDA,NVDA,False,NVDA,security,downloaded,1688,2019-08-26,2026-05-13,
PLTR,PLTR,False,PLTR,security,downloaded,1411,2020-09-30,2026-05-13,
PYPL,PYPL,False,PYPL,security,downloaded,1688,2019-08-26,2026-05-13,
ROKU,ROKU,False,ROKU,security,downloaded,1688,2019-08-26,2026-05-13,
SOFI,SOFI,False,SOFI,security,downloaded,1346,2021-01-04,2026-05-13,
SQ,XYZ,True,XYZ,security,downloaded,1688,2019-08-26,2026-05-13,
TSLA,TSLA,False,TSLA,security,downloaded,1688,2019-08-26,2026-05-13,
UBER,UBER,False,UBER,security,downloaded,1688,2019-08-26,2026-05-13,
