actor_id,key_label,source_type,source_value,posts_returned,posts_imported,duplicates,usable_finance_posts,posts_with_cashtags,posts_with_created_at,posts_with_metrics,cost_usd,seconds,posts_per_dollar,failure_rate,field_quality_score,schema_quality_score,run_id,status,notes
apidojo/tweet-scraper,apify_main,profile,GrahamStephan,0,0,0,0,0,0,0,0.0,0.372,0.0,1.0,0.0,0.0,,FAILED,"Apify start failed HTTP 400: {'error': {'type': 'max-items-must-be-greater-than-zero', 'message': 'Maximum charged results must be greater than zero'}}"
apidojo/tweet-scraper,apify_key_2,profile,realMeetKevin,0,0,0,0,0,0,0,0.0,0.353,0.0,1.0,0.0,0.0,,FAILED,"Apify start failed HTTP 400: {'error': {'type': 'max-items-must-be-greater-than-zero', 'message': 'Maximum charged results must be greater than zero'}}"
apidojo/tweet-scraper,,profile,EverythingMoney,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,,SKIPPED_AFTER_ACTOR_FAILURES,actor failed earlier bakeoff sources
apidojo/tweet-scraper,,cashtag,$TSLA,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,,SKIPPED_AFTER_ACTOR_FAILURES,actor failed earlier bakeoff sources
apidojo/tweet-scraper,,cashtag,$NVDA,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,,SKIPPED_AFTER_ACTOR_FAILURES,actor failed earlier bakeoff sources
apidojo/tweet-scraper,,cashtag,$AAPL,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,,SKIPPED_AFTER_ACTOR_FAILURES,actor failed earlier bakeoff sources
apidojo/tweet-scraper,,search,"(""$TSLA"" OR TSLA) (""buying"" OR ""buy"" OR ""bullish"" OR ""adding"" OR ""price target"" OR ""undervalued"")",0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,,SKIPPED_AFTER_ACTOR_FAILURES,actor failed earlier bakeoff sources
apidojo/tweet-scraper,,search,"(""$NVDA"" OR NVDA) (""buying"" OR ""buy"" OR ""bullish"" OR ""AI"" OR ""price target"" OR ""overvalued"")",0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,,SKIPPED_AFTER_ACTOR_FAILURES,actor failed earlier bakeoff sources
apidojo/tweet-scraper,,search,"(""$AAPL"" OR AAPL) (""buy"" OR ""sell"" OR ""hold"" OR ""earnings"" OR ""price target"")",0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,,SKIPPED_AFTER_ACTOR_FAILURES,actor failed earlier bakeoff sources
kaitoeasyapi/twitter-x-data-tweet-scraper-pay-per-result-cheapest,apify_key_3,profile,GrahamStephan,100,7,0,7,1,100,4,0.025,24.606,280.0,0.0,1.0,0.07,yjXZdTEKZg4ZFR98D,SUCCEEDED,
kaitoeasyapi/twitter-x-data-tweet-scraper-pay-per-result-cheapest,apify_key_4,profile,realMeetKevin,100,8,0,8,0,100,4,0.025,23.865,320.0,0.0,1.0,0.08,laa78orITk5UQjUys,SUCCEEDED,
kaitoeasyapi/twitter-x-data-tweet-scraper-pay-per-result-cheapest,apify_key_5,profile,EverythingMoney,100,9,0,9,1,100,11,0.025,23.895,360.0,0.0,1.0,0.09,zeJEU4tPNWH5oYBXc,SUCCEEDED,
kaitoeasyapi/twitter-x-data-tweet-scraper-pay-per-result-cheapest,apify_main,cashtag,$TSLA,100,11,0,11,2,100,6,0.005,23.851,2200.0,0.0,1.0,0.11,9x3hwzdfdSnZq72mx,SUCCEEDED,
kaitoeasyapi/twitter-x-data-tweet-scraper-pay-per-result-cheapest,apify_key_2,cashtag,$NVDA,100,8,0,8,0,100,3,0.025,24.123,320.0,0.0,1.0,0.08,o3uiAq78JUg7CnHDn,SUCCEEDED,
kaitoeasyapi/twitter-x-data-tweet-scraper-pay-per-result-cheapest,apify_key_3,cashtag,$AAPL,100,6,0,6,1,100,1,0.025,24.217,240.0,0.0,1.0,0.06,0IqF6RzfBmD6A0gPm,SUCCEEDED,
kaitoeasyapi/twitter-x-data-tweet-scraper-pay-per-result-cheapest,apify_key_4,search,"(""$TSLA"" OR TSLA) (""buying"" OR ""buy"" OR ""bullish"" OR ""adding"" OR ""price target"" OR ""undervalued"")",100,9,0,9,1,100,19,0.025,24.23,360.0,0.0,1.0,0.09,q47C7u7s2aEKJMOZT,SUCCEEDED,
