video_id,url,channel_title,title,published_at,retry_priority_score,retry_reason,prior_failure_type,prior_attempt_count,stock_pick_score,creator_prior_event_rate,duration_seconds,is_short,title_description_ticker_hit,recommendation_keyword_hit
KQKwOW2f-N0,https://www.youtube.com/watch?v=KQKwOW2f-N0,Couch Investor,4 Top Cheap Stocks To BUY In July,2025-07-01T15:44:20Z,162.969,ticker_hit;recommendation_hit;creator_prior_event_rate;non_short,none,0,139.344,0.1812,1260,0,1,1
cvAFR4fVu_c,https://www.youtube.com/watch?v=cvAFR4fVu_c,Couch Investor,4 Top Stocks I'm Buying In August,2025-08-02T15:03:05Z,162.969,ticker_hit;recommendation_hit;creator_prior_event_rate;non_short,none,0,139.344,0.1812,1411,0,1,1
k1E6PNK5GPE,https://www.youtube.com/watch?v=k1E6PNK5GPE,Couch Investor,4 Top Stocks to Buy In November,2025-11-03T19:04:49Z,162.969,ticker_hit;recommendation_hit;creator_prior_event_rate;non_short,none,0,139.344,0.1812,1366,0,1,1
l2hr_8GD-4c,https://www.youtube.com/watch?v=l2hr_8GD-4c,Couch Investor,4 Top Stocks to Buy In October,2025-10-03T14:20:10Z,162.969,ticker_hit;recommendation_hit;creator_prior_event_rate;non_short,none,0,139.344,0.1812,1443,0,1,1
Y3O85IZyvPE,https://www.youtube.com/watch?v=Y3O85IZyvPE,Couch Investor,4 Top Stocks To Buy In September,2025-09-02T18:05:05Z,154.969,ticker_hit;recommendation_hit;creator_prior_event_rate;non_short,none,0,131.344,0.1812,1316,0,1,1
RM_Zv6dCnTA,https://www.youtube.com/watch?v=RM_Zv6dCnTA,Couch Investor,Fed Cuts Rates: What Stocks to Buy Now?,2025-09-17T22:18:57Z,148.969,ticker_hit;recommendation_hit;creator_prior_event_rate;non_short,none,0,125.344,0.1812,1176,0,1,1
HK7fuMyHBMc,https://www.youtube.com/watch?v=HK7fuMyHBMc,Couch Investor,I Sold This Stock & Bought This One (My Portfolio Changes),2025-08-17T20:37:20Z,134.969,ticker_hit;recommendation_hit;creator_prior_event_rate;non_short,none,0,111.344,0.1812,1192,0,1,1
P1NduwucC3E,https://www.youtube.com/watch?v=P1NduwucC3E,Couch Investor,4 Surprising Market Beating Stocks to BUY In 2025,2025-07-04T13:55:24Z,134.969,ticker_hit;recommendation_hit;creator_prior_event_rate;non_short,none,0,111.344,0.1812,1418,0,1,1
QvBYewcjQxw,https://www.youtube.com/watch?v=QvBYewcjQxw,Couch Investor,If You Are a Palantir Shareholder... WATCH THIS!,2025-08-04T23:06:33Z,134.969,ticker_hit;recommendation_hit;creator_prior_event_rate;non_short,none,0,111.344,0.1812,805,0,1,1
k8I-lz0jXWU,https://www.youtube.com/watch?v=k8I-lz0jXWU,Couch Investor,Is Qualcomm a Better Buy Than AMD Right Now?,2025-07-31T18:28:53Z,134.969,ticker_hit;recommendation_hit;creator_prior_event_rate;non_short,none,0,111.344,0.1812,823,0,1,1
kY4j7T9_pCc,https://www.youtube.com/watch?v=kY4j7T9_pCc,Couch Investor,Should You Buy Google Stock Before Oct 29?,2025-10-13T21:36:46Z,134.969,ticker_hit;recommendation_hit;creator_prior_event_rate;non_short,none,0,111.344,0.1812,975,0,1,1
q_75e_DF4AU,https://www.youtube.com/watch?v=q_75e_DF4AU,"Value Investing with Sven Carlin, Ph.D.",Google Stock Easily To $500 On AI!,2025-05-25T12:01:31Z,132.67,ticker_hit;recommendation_hit;creator_prior_event_rate;non_short,none,0,106.972,0.2849,320,0,1,1
-7yj-Howk_c,https://www.youtube.com/watch?v=-7yj-Howk_c,Couch Investor,2 Growth Stocks to Buy Before Summer Ends (I Just Made My Move),2025-08-13T15:05:58Z,126.969,ticker_hit;recommendation_hit;creator_prior_event_rate;non_short,none,0,103.344,0.1812,977,0,1,1
5dknIusitgg,https://www.youtube.com/watch?v=5dknIusitgg,Couch Investor,This Undervalued Stock Is About To Shock Investors,2025-10-21T20:06:18Z,126.969,ticker_hit;recommendation_hit;creator_prior_event_rate;non_short,none,0,103.344,0.1812,1001,0,1,1
7gkv2YMXPvk,https://www.youtube.com/watch?v=7gkv2YMXPvk,Couch Investor,September Curse: 3 Stocks to Buy On the Pullback,2025-08-20T20:02:56Z,126.969,ticker_hit;recommendation_hit;creator_prior_event_rate;non_short,none,0,103.344,0.1812,812,0,1,1
Fs69lg9Xy-8,https://www.youtube.com/watch?v=Fs69lg9Xy-8,Couch Investor,"If I Had to Start Over in 2026, This Is What I'd Do",2025-12-31T20:09:55Z,126.969,ticker_hit;recommendation_hit;creator_prior_event_rate;non_short,none,0,103.344,0.1812,1191,0,1,1
NtLqav3N-YY,https://www.youtube.com/watch?v=NtLqav3N-YY,Couch Investor,1 Beaten Down AI Stock That Is Getting Ready For Explosive Growth,2025-10-14T20:01:24Z,126.969,ticker_hit;recommendation_hit;creator_prior_event_rate;non_short,none,0,103.344,0.1812,1070,0,1,1
Y4zLgeb5GOA,https://www.youtube.com/watch?v=Y4zLgeb5GOA,Couch Investor,3 Beaten Down Stocks to Buy Before It's Too Late,2025-10-16T20:55:19Z,126.969,ticker_hit;recommendation_hit;creator_prior_event_rate;non_short,none,0,103.344,0.1812,1150,0,1,1
bgKe9oEY6hA,https://www.youtube.com/watch?v=bgKe9oEY6hA,Couch Investor,Wall Street Is Making a Huge Mistake,2026-03-19T19:55:00Z,126.969,ticker_hit;recommendation_hit;creator_prior_event_rate;non_short,none,0,103.344,0.1812,1384,0,1,1
ilHfLEUhvyQ,https://www.youtube.com/watch?v=ilHfLEUhvyQ,Couch Investor,2 Growth Stocks to Buy On the Dip,2025-11-04T18:54:21Z,126.969,ticker_hit;recommendation_hit;creator_prior_event_rate;non_short,none,0,103.344,0.1812,1148,0,1,1
qpymBiRerzs,https://www.youtube.com/watch?v=qpymBiRerzs,Couch Investor,2 Growth Stocks to Buy Before The Year Ends,2025-10-10T15:36:50Z,126.969,ticker_hit;recommendation_hit;creator_prior_event_rate;non_short,none,0,103.344,0.1812,1039,0,1,1
zhFt6Xl04lQ,https://www.youtube.com/watch?v=zhFt6Xl04lQ,Couch Investor,4 Buy the Dip Stocks Ready to Bounce Back!,2025-08-12T14:09:04Z,126.969,ticker_hit;recommendation_hit;creator_prior_event_rate;non_short,none,0,103.344,0.1812,999,0,1,1
