provider_key,actor_id,actor_permission_level,token_slot_number,attempted,start_http_status,apify_error_type,run_status,dataset_items,transcripts_importable,permanent_video_failures,transient_video_failures,provider_failures,observed_spend,selected_for_recovery,decision,reason,input_schema_summary,output_schema_summary
supreme_coder,supreme_coder/youtube-transcript-scraper,LIMITED_PERMISSIONS,6,2,201,,SUCCEEDED,2,2,0,0,0,0.001,1,PROVIDER_PASS,importable_transcripts_found,missing,"inputUrl,isGenerated,language,languageCode,snippetCount,transcript,videoDetails"
supreme_coder,supreme_coder/youtube-transcript-scraper,LIMITED_PERMISSIONS,7,2,201,,SUCCEEDED,2,2,0,0,0,0.001,1,PROVIDER_PASS,importable_transcripts_found,missing,"inputUrl,isGenerated,language,languageCode,snippetCount,transcript,videoDetails"
supreme_coder,supreme_coder/youtube-transcript-scraper,LIMITED_PERMISSIONS,8,2,201,,SUCCEEDED,2,2,0,0,0,0.001,1,PROVIDER_PASS,importable_transcripts_found,missing,"inputUrl,isGenerated,language,languageCode,snippetCount,transcript,videoDetails"
supreme_coder,supreme_coder/youtube-transcript-scraper,LIMITED_PERMISSIONS,9,2,201,,SUCCEEDED,2,2,0,0,0,0.001,1,PROVIDER_PASS,importable_transcripts_found,missing,"inputUrl,isGenerated,language,languageCode,snippetCount,transcript,videoDetails"
supreme_coder,supreme_coder/youtube-transcript-scraper,LIMITED_PERMISSIONS,10,2,201,,SUCCEEDED,2,2,0,0,0,0.001,1,PROVIDER_PASS,importable_transcripts_found,missing,"inputUrl,isGenerated,language,languageCode,snippetCount,transcript,videoDetails"
supreme_coder,supreme_coder/youtube-transcript-scraper,LIMITED_PERMISSIONS,11,2,201,,HTTP_502,0,0,0,0,1,0.0,0,RUN_FAILED,run_status_HTTP_502,missing,n/a
insight_api_labs,insight_api_labs/youtube-transcript,LIMITED_PERMISSIONS,6,2,403,actor-is-not-rented,,0,0,0,0,1,0.0,0,START_FAILED_RENTAL_REQUIRED,"You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/fWIyRKfnKlxB1r5CX",missing,n/a
insight_api_labs,insight_api_labs/youtube-transcript,LIMITED_PERMISSIONS,7,2,403,actor-is-not-rented,,0,0,0,0,1,0.0,0,START_FAILED_RENTAL_REQUIRED,"You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/fWIyRKfnKlxB1r5CX",missing,n/a
insight_api_labs,insight_api_labs/youtube-transcript,LIMITED_PERMISSIONS,8,2,403,actor-is-not-rented,,0,0,0,0,1,0.0,0,START_FAILED_RENTAL_REQUIRED,"You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/fWIyRKfnKlxB1r5CX",missing,n/a
insight_api_labs,insight_api_labs/youtube-transcript,LIMITED_PERMISSIONS,9,2,403,actor-is-not-rented,,0,0,0,0,1,0.0,0,START_FAILED_RENTAL_REQUIRED,"You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/fWIyRKfnKlxB1r5CX",missing,n/a
insight_api_labs,insight_api_labs/youtube-transcript,LIMITED_PERMISSIONS,10,2,403,actor-is-not-rented,,0,0,0,0,1,0.0,0,START_FAILED_RENTAL_REQUIRED,"You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/fWIyRKfnKlxB1r5CX",missing,n/a
insight_api_labs,insight_api_labs/youtube-transcript,LIMITED_PERMISSIONS,11,2,403,actor-is-not-rented,,0,0,0,0,1,0.0,0,START_FAILED_RENTAL_REQUIRED,"You must rent a paid Actor in order to run it after its free trial has expired. To rent this Actor, go to https://console.apify.com/actors/fWIyRKfnKlxB1r5CX",missing,n/a
curious_coder_youtube-transcript-scraper,curious_coder/youtube-transcript-scraper,LIMITED_PERMISSIONS,6,2,201,,SUCCEEDED,2,2,0,0,0,0.001,1,PROVIDER_PASS,importable_transcripts_found,missing,"inputUrl,isGenerated,language,languageCode,snippetCount,transcript,videoDetails"
curious_coder_youtube-transcript-scraper,curious_coder/youtube-transcript-scraper,LIMITED_PERMISSIONS,7,2,201,,SUCCEEDED,2,2,0,0,0,0.001,1,PROVIDER_PASS,importable_transcripts_found,missing,"inputUrl,isGenerated,language,languageCode,snippetCount,transcript,videoDetails"
curious_coder_youtube-transcript-scraper,curious_coder/youtube-transcript-scraper,LIMITED_PERMISSIONS,8,2,201,,SUCCEEDED,2,2,0,0,0,0.001,1,PROVIDER_PASS,importable_transcripts_found,missing,"inputUrl,isGenerated,language,languageCode,snippetCount,transcript,videoDetails"
curious_coder_youtube-transcript-scraper,curious_coder/youtube-transcript-scraper,LIMITED_PERMISSIONS,9,2,201,,SUCCEEDED,2,2,0,0,0,0.001,1,PROVIDER_PASS,importable_transcripts_found,missing,"inputUrl,isGenerated,language,languageCode,snippetCount,transcript,videoDetails"
curious_coder_youtube-transcript-scraper,curious_coder/youtube-transcript-scraper,LIMITED_PERMISSIONS,10,2,201,,SUCCEEDED,2,2,0,0,0,0.001,1,PROVIDER_PASS,importable_transcripts_found,missing,"inputUrl,isGenerated,language,languageCode,snippetCount,transcript,videoDetails"
curious_coder_youtube-transcript-scraper,curious_coder/youtube-transcript-scraper,LIMITED_PERMISSIONS,11,2,201,,SUCCEEDED,2,2,0,0,0,0.001,1,PROVIDER_PASS,importable_transcripts_found,missing,"inputUrl,isGenerated,language,languageCode,snippetCount,transcript,videoDetails"
seemuapps_youtube-transcript-scraper,seemuapps/youtube-transcript-scraper,LIMITED_PERMISSIONS,6,2,400,invalid-input,,0,0,0,0,1,0.0,0,START_FAILED_SCHEMA,Input is not valid: Field input.videoUrls is required,missing,n/a
seemuapps_youtube-transcript-scraper,seemuapps/youtube-transcript-scraper,LIMITED_PERMISSIONS,7,2,400,invalid-input,,0,0,0,0,1,0.0,0,START_FAILED_SCHEMA,Input is not valid: Field input.videoUrls is required,missing,n/a
seemuapps_youtube-transcript-scraper,seemuapps/youtube-transcript-scraper,LIMITED_PERMISSIONS,8,2,400,invalid-input,,0,0,0,0,1,0.0,0,START_FAILED_SCHEMA,Input is not valid: Field input.videoUrls is required,missing,n/a
seemuapps_youtube-transcript-scraper,seemuapps/youtube-transcript-scraper,LIMITED_PERMISSIONS,9,2,400,invalid-input,,0,0,0,0,1,0.0,0,START_FAILED_SCHEMA,Input is not valid: Field input.videoUrls is required,missing,n/a
seemuapps_youtube-transcript-scraper,seemuapps/youtube-transcript-scraper,LIMITED_PERMISSIONS,10,2,400,invalid-input,,0,0,0,0,1,0.0,0,START_FAILED_SCHEMA,Input is not valid: Field input.videoUrls is required,missing,n/a
seemuapps_youtube-transcript-scraper,seemuapps/youtube-transcript-scraper,LIMITED_PERMISSIONS,11,2,400,invalid-input,,0,0,0,0,1,0.0,0,START_FAILED_SCHEMA,Input is not valid: Field input.videoUrls is required,missing,n/a
topaz_sharingan_1,topaz_sharingan/Youtube-Transcript-Scraper-1,LIMITED_PERMISSIONS,6,2,400,invalid-input,,0,0,0,0,1,0.0,0,START_FAILED_SCHEMA,Input is not valid: Field input.startUrls is required,missing,n/a
topaz_sharingan_1,topaz_sharingan/Youtube-Transcript-Scraper-1,LIMITED_PERMISSIONS,7,2,400,invalid-input,,0,0,0,0,1,0.0,0,START_FAILED_SCHEMA,Input is not valid: Field input.startUrls is required,missing,n/a
topaz_sharingan_1,topaz_sharingan/Youtube-Transcript-Scraper-1,LIMITED_PERMISSIONS,8,2,400,invalid-input,,0,0,0,0,1,0.0,0,START_FAILED_SCHEMA,Input is not valid: Field input.startUrls is required,missing,n/a
topaz_sharingan_1,topaz_sharingan/Youtube-Transcript-Scraper-1,LIMITED_PERMISSIONS,9,2,400,invalid-input,,0,0,0,0,1,0.0,0,START_FAILED_SCHEMA,Input is not valid: Field input.startUrls is required,missing,n/a
topaz_sharingan_1,topaz_sharingan/Youtube-Transcript-Scraper-1,LIMITED_PERMISSIONS,10,2,400,invalid-input,,0,0,0,0,1,0.0,0,START_FAILED_SCHEMA,Input is not valid: Field input.startUrls is required,missing,n/a
topaz_sharingan_1,topaz_sharingan/Youtube-Transcript-Scraper-1,LIMITED_PERMISSIONS,11,2,400,invalid-input,,0,0,0,0,1,0.0,0,START_FAILED_SCHEMA,Input is not valid: Field input.startUrls is required,missing,n/a
starvibe,starvibe/youtube-video-transcript,LIMITED_PERMISSIONS,6,2,400,invalid-input,,0,0,0,0,1,0.0,0,START_FAILED_SCHEMA,Input is not valid: Property input.urls is not allowed.,missing,n/a
starvibe,starvibe/youtube-video-transcript,LIMITED_PERMISSIONS,7,2,400,invalid-input,,0,0,0,0,1,0.0,0,START_FAILED_SCHEMA,Input is not valid: Property input.urls is not allowed.,missing,n/a
starvibe,starvibe/youtube-video-transcript,LIMITED_PERMISSIONS,8,2,400,invalid-input,,0,0,0,0,1,0.0,0,START_FAILED_SCHEMA,Input is not valid: Property input.urls is not allowed.,missing,n/a
starvibe,starvibe/youtube-video-transcript,LIMITED_PERMISSIONS,9,2,400,invalid-input,,0,0,0,0,1,0.0,0,START_FAILED_SCHEMA,Input is not valid: Property input.urls is not allowed.,missing,n/a
starvibe,starvibe/youtube-video-transcript,LIMITED_PERMISSIONS,10,2,400,invalid-input,,0,0,0,0,1,0.0,0,START_FAILED_SCHEMA,Input is not valid: Property input.urls is not allowed.,missing,n/a
starvibe,starvibe/youtube-video-transcript,LIMITED_PERMISSIONS,11,2,400,invalid-input,,0,0,0,0,1,0.0,0,START_FAILED_SCHEMA,Input is not valid: Property input.urls is not allowed.,missing,n/a
