provider,slot,imported,spend,success_rate,stop_reason,report_path,exit_code
curious_coder/youtube-transcript-scraper,6,0,,0.0,,data/exports/overnight_collection/77_youtube_multi_provider_recovery_final_report.csv,0
curious_coder/youtube-transcript-scraper,7,0,,0.0,,data/exports/overnight_collection/77_youtube_multi_provider_recovery_final_report.csv,0
curious_coder/youtube-transcript-scraper,8,0,,0.0,,data/exports/overnight_collection/77_youtube_multi_provider_recovery_final_report.csv,0
curious_coder/youtube-transcript-scraper,9,0,,0.0,,data/exports/overnight_collection/77_youtube_multi_provider_recovery_final_report.csv,0
curious_coder/youtube-transcript-scraper,10,0,,0.0,,data/exports/overnight_collection/77_youtube_multi_provider_recovery_final_report.csv,0
curious_coder/youtube-transcript-scraper,11,0,,0.0,,data/exports/overnight_collection/77_youtube_multi_provider_recovery_final_report.csv,0
supreme_coder/youtube-transcript-scraper,6,0,,0.0,,data/exports/overnight_collection/77_youtube_multi_provider_recovery_final_report.csv,0
supreme_coder/youtube-transcript-scraper,7,0,,0.0,,data/exports/overnight_collection/77_youtube_multi_provider_recovery_final_report.csv,0
supreme_coder/youtube-transcript-scraper,8,0,,0.0,,data/exports/overnight_collection/77_youtube_multi_provider_recovery_final_report.csv,0
supreme_coder/youtube-transcript-scraper,9,0,,0.0,,data/exports/overnight_collection/77_youtube_multi_provider_recovery_final_report.csv,0
supreme_coder/youtube-transcript-scraper,10,0,,0.0,,data/exports/overnight_collection/77_youtube_multi_provider_recovery_final_report.csv,0
