slot_number,token_source,token_fingerprint,token_length,auth_valid,user_id,username,account_owner_id,monthly_usage_cycle_start,monthly_usage_cycle_end,maxMonthlyUsageUsd,monthlyUsageUsd,totalUsageCreditsUsdAfterVolumeDiscount,remainingMonthlyUsageUsd,activeActorJobCount,users_me_http_status,limits_http_status,users_me_limits_http_status,users_me_usage_monthly_http_status,limits_top_level_keys,limits_data_keys,limits_limits_keys,limits_current_keys,usage_monthly_top_level_keys,usage_monthly_data_keys,error_type,error_message_sanitized
1,APIFY_TOKEN_1,eb209967d26a,46,1,MSjlhQeJwny7civJV,galactic_chimney,,2026-05-13T00:00:00.000Z,2026-06-12T23:59:59.999Z,5.0,5.729824351363113,5.729824351363113,-0.7298243513631126,,200,200,200,200,"current,limits,monthlyUsageCycle","current,limits,monthlyUsageCycle","dataRetentionDays,maxActorCount,maxActorMemoryGbytes,maxActorTaskCount,maxConcurrentActorJobs,maxMonthlyActorComputeUnits,maxMonthlyExternalDataTransferGbytes,maxMonthlyProxySerps,maxMonthlyResidentialProxyGbytes,maxMonthlyUsageUsd,maxScheduleCount,maxTeamAccountSeatCount","activeActorJobCount,actorCount,actorMemoryGbytes,actorTaskCount,monthlyActorComputeUnits,monthlyExternalDataTransferGbytes,monthlyProxySerps,monthlyResidentialProxyGbytes,monthlyUsageUsd,scheduleCount,teamAccountSeatCount","dailyServiceUsages,monthlyServiceUsage,totalUsageCreditsUsdAfterVolumeDiscount,totalUsageCreditsUsdBeforeVolumeDiscount,usageCycle","dailyServiceUsages,monthlyServiceUsage,totalUsageCreditsUsdAfterVolumeDiscount,totalUsageCreditsUsdBeforeVolumeDiscount,usageCycle",,
2,APIFY_TOKEN_2,6c3b2d85f274,46,1,R5uLWtTWvqxX1rq7e,warm_xenomorph,,2026-05-14T00:00:00.000Z,2026-06-13T23:59:59.999Z,5.0,4.098964144779434,4.098964144779434,0.9010358552205657,,200,200,200,200,"current,limits,monthlyUsageCycle","current,limits,monthlyUsageCycle","dataRetentionDays,maxActorCount,maxActorMemoryGbytes,maxActorTaskCount,maxConcurrentActorJobs,maxMonthlyActorComputeUnits,maxMonthlyExternalDataTransferGbytes,maxMonthlyProxySerps,maxMonthlyResidentialProxyGbytes,maxMonthlyUsageUsd,maxScheduleCount,maxTeamAccountSeatCount","activeActorJobCount,actorCount,actorMemoryGbytes,actorTaskCount,monthlyActorComputeUnits,monthlyExternalDataTransferGbytes,monthlyProxySerps,monthlyResidentialProxyGbytes,monthlyUsageUsd,scheduleCount,teamAccountSeatCount","dailyServiceUsages,monthlyServiceUsage,totalUsageCreditsUsdAfterVolumeDiscount,totalUsageCreditsUsdBeforeVolumeDiscount,usageCycle","dailyServiceUsages,monthlyServiceUsage,totalUsageCreditsUsdAfterVolumeDiscount,totalUsageCreditsUsdBeforeVolumeDiscount,usageCycle",,
3,APIFY_TOKEN_3,e8b20537df90,46,1,WmwPVcoAwdggv0QoY,kaleidoscopic_witchhazel,,2026-05-14T00:00:00.000Z,2026-06-13T23:59:59.999Z,5.0,4.054193452740788,4.054193452740788,0.9458065472592123,,200,200,200,200,"current,limits,monthlyUsageCycle","current,limits,monthlyUsageCycle","dataRetentionDays,maxActorCount,maxActorMemoryGbytes,maxActorTaskCount,maxConcurrentActorJobs,maxMonthlyActorComputeUnits,maxMonthlyExternalDataTransferGbytes,maxMonthlyProxySerps,maxMonthlyResidentialProxyGbytes,maxMonthlyUsageUsd,maxScheduleCount,maxTeamAccountSeatCount","activeActorJobCount,actorCount,actorMemoryGbytes,actorTaskCount,monthlyActorComputeUnits,monthlyExternalDataTransferGbytes,monthlyProxySerps,monthlyResidentialProxyGbytes,monthlyUsageUsd,scheduleCount,teamAccountSeatCount","dailyServiceUsages,monthlyServiceUsage,totalUsageCreditsUsdAfterVolumeDiscount,totalUsageCreditsUsdBeforeVolumeDiscount,usageCycle","dailyServiceUsages,monthlyServiceUsage,totalUsageCreditsUsdAfterVolumeDiscount,totalUsageCreditsUsdBeforeVolumeDiscount,usageCycle",,
4,APIFY_TOKEN_4,0cfc28aac842,46,1,ZkUGcjNQrOte0iK10,indigo_ceremony,,2026-05-14T00:00:00.000Z,2026-06-13T23:59:59.999Z,5.0,3.913581018411534,3.913581018411534,1.0864189815884662,,200,200,200,200,"current,limits,monthlyUsageCycle","current,limits,monthlyUsageCycle","dataRetentionDays,maxActorCount,maxActorMemoryGbytes,maxActorTaskCount,maxConcurrentActorJobs,maxMonthlyActorComputeUnits,maxMonthlyExternalDataTransferGbytes,maxMonthlyProxySerps,maxMonthlyResidentialProxyGbytes,maxMonthlyUsageUsd,maxScheduleCount,maxTeamAccountSeatCount","activeActorJobCount,actorCount,actorMemoryGbytes,actorTaskCount,monthlyActorComputeUnits,monthlyExternalDataTransferGbytes,monthlyProxySerps,monthlyResidentialProxyGbytes,monthlyUsageUsd,scheduleCount,teamAccountSeatCount","dailyServiceUsages,monthlyServiceUsage,totalUsageCreditsUsdAfterVolumeDiscount,totalUsageCreditsUsdBeforeVolumeDiscount,usageCycle","dailyServiceUsages,monthlyServiceUsage,totalUsageCreditsUsdAfterVolumeDiscount,totalUsageCreditsUsdBeforeVolumeDiscount,usageCycle",,
5,APIFY_TOKEN_5,c6c3f5370db5,46,1,MyDdZt1lGIUYm2dQP,sangria_parade,,2026-05-14T00:00:00.000Z,2026-06-13T23:59:59.999Z,5.0,3.9988419369333843,3.9988419369333843,1.0011580630666157,,200,200,200,200,"current,limits,monthlyUsageCycle","current,limits,monthlyUsageCycle","dataRetentionDays,maxActorCount,maxActorMemoryGbytes,maxActorTaskCount,maxConcurrentActorJobs,maxMonthlyActorComputeUnits,maxMonthlyExternalDataTransferGbytes,maxMonthlyProxySerps,maxMonthlyResidentialProxyGbytes,maxMonthlyUsageUsd,maxScheduleCount,maxTeamAccountSeatCount","activeActorJobCount,actorCount,actorMemoryGbytes,actorTaskCount,monthlyActorComputeUnits,monthlyExternalDataTransferGbytes,monthlyProxySerps,monthlyResidentialProxyGbytes,monthlyUsageUsd,scheduleCount,teamAccountSeatCount","dailyServiceUsages,monthlyServiceUsage,totalUsageCreditsUsdAfterVolumeDiscount,totalUsageCreditsUsdBeforeVolumeDiscount,usageCycle","dailyServiceUsages,monthlyServiceUsage,totalUsageCreditsUsdAfterVolumeDiscount,totalUsageCreditsUsdBeforeVolumeDiscount,usageCycle",,
6,APIFY_TOKEN_6,4cd459a1c246,46,1,ipIu8qDJElEVcAbYT,xylonic_pencil,,2026-05-14T00:00:00.000Z,2026-06-13T23:59:59.999Z,5.0,1.8903985619544985e-06,1.8903985619544985e-06,4.999998109601438,,200,200,200,200,"current,limits,monthlyUsageCycle","current,limits,monthlyUsageCycle","dataRetentionDays,maxActorCount,maxActorMemoryGbytes,maxActorTaskCount,maxConcurrentActorJobs,maxMonthlyActorComputeUnits,maxMonthlyExternalDataTransferGbytes,maxMonthlyProxySerps,maxMonthlyResidentialProxyGbytes,maxMonthlyUsageUsd,maxScheduleCount,maxTeamAccountSeatCount","activeActorJobCount,actorCount,actorMemoryGbytes,actorTaskCount,monthlyActorComputeUnits,monthlyExternalDataTransferGbytes,monthlyProxySerps,monthlyResidentialProxyGbytes,monthlyUsageUsd,scheduleCount,teamAccountSeatCount","dailyServiceUsages,monthlyServiceUsage,totalUsageCreditsUsdAfterVolumeDiscount,totalUsageCreditsUsdBeforeVolumeDiscount,usageCycle","dailyServiceUsages,monthlyServiceUsage,totalUsageCreditsUsdAfterVolumeDiscount,totalUsageCreditsUsdBeforeVolumeDiscount,usageCycle",,
7,APIFY_TOKEN_7,349cbdd87627,46,1,NDOJ9bHtvxNUbeU3b,democratic_voice,,2026-05-14T00:00:00.000Z,2026-06-13T23:59:59.999Z,5.0,1.7330050468444826e-06,1.7330050468444826e-06,4.999998266994953,,200,200,200,200,"current,limits,monthlyUsageCycle","current,limits,monthlyUsageCycle","dataRetentionDays,maxActorCount,maxActorMemoryGbytes,maxActorTaskCount,maxConcurrentActorJobs,maxMonthlyActorComputeUnits,maxMonthlyExternalDataTransferGbytes,maxMonthlyProxySerps,maxMonthlyResidentialProxyGbytes,maxMonthlyUsageUsd,maxScheduleCount,maxTeamAccountSeatCount","activeActorJobCount,actorCount,actorMemoryGbytes,actorTaskCount,monthlyActorComputeUnits,monthlyExternalDataTransferGbytes,monthlyProxySerps,monthlyResidentialProxyGbytes,monthlyUsageUsd,scheduleCount,teamAccountSeatCount","dailyServiceUsages,monthlyServiceUsage,totalUsageCreditsUsdAfterVolumeDiscount,totalUsageCreditsUsdBeforeVolumeDiscount,usageCycle","dailyServiceUsages,monthlyServiceUsage,totalUsageCreditsUsdAfterVolumeDiscount,totalUsageCreditsUsdBeforeVolumeDiscount,usageCycle",,
8,APIFY_TOKEN_8,fc1af8f946c6,46,1,AZC14bxTjJcfllF86,inquisitive_xylan,,2026-05-14T00:00:00.000Z,2026-06-13T23:59:59.999Z,5.0,1.8022954463958743e-06,1.8022954463958743e-06,4.999998197704554,,200,200,200,200,"current,limits,monthlyUsageCycle","current,limits,monthlyUsageCycle","dataRetentionDays,maxActorCount,maxActorMemoryGbytes,maxActorTaskCount,maxConcurrentActorJobs,maxMonthlyActorComputeUnits,maxMonthlyExternalDataTransferGbytes,maxMonthlyProxySerps,maxMonthlyResidentialProxyGbytes,maxMonthlyUsageUsd,maxScheduleCount,maxTeamAccountSeatCount","activeActorJobCount,actorCount,actorMemoryGbytes,actorTaskCount,monthlyActorComputeUnits,monthlyExternalDataTransferGbytes,monthlyProxySerps,monthlyResidentialProxyGbytes,monthlyUsageUsd,scheduleCount,teamAccountSeatCount","dailyServiceUsages,monthlyServiceUsage,totalUsageCreditsUsdAfterVolumeDiscount,totalUsageCreditsUsdBeforeVolumeDiscount,usageCycle","dailyServiceUsages,monthlyServiceUsage,totalUsageCreditsUsdAfterVolumeDiscount,totalUsageCreditsUsdBeforeVolumeDiscount,usageCycle",,
9,APIFY_TOKEN_9,571693200746,46,1,NsoO5G2KOtsf2H3Ft,cool_garment,,2026-05-14T00:00:00.000Z,2026-06-13T23:59:59.999Z,5.0,1.733936369419098e-06,1.733936369419098e-06,4.99999826606363,,200,200,200,200,"current,limits,monthlyUsageCycle","current,limits,monthlyUsageCycle","dataRetentionDays,maxActorCount,maxActorMemoryGbytes,maxActorTaskCount,maxConcurrentActorJobs,maxMonthlyActorComputeUnits,maxMonthlyExternalDataTransferGbytes,maxMonthlyProxySerps,maxMonthlyResidentialProxyGbytes,maxMonthlyUsageUsd,maxScheduleCount,maxTeamAccountSeatCount","activeActorJobCount,actorCount,actorMemoryGbytes,actorTaskCount,monthlyActorComputeUnits,monthlyExternalDataTransferGbytes,monthlyProxySerps,monthlyResidentialProxyGbytes,monthlyUsageUsd,scheduleCount,teamAccountSeatCount","dailyServiceUsages,monthlyServiceUsage,totalUsageCreditsUsdAfterVolumeDiscount,totalUsageCreditsUsdBeforeVolumeDiscount,usageCycle","dailyServiceUsages,monthlyServiceUsage,totalUsageCreditsUsdAfterVolumeDiscount,totalUsageCreditsUsdBeforeVolumeDiscount,usageCycle",,
10,APIFY_TOKEN_10,b4c0393d7730,46,1,8DoyjWKNCDSViZMnt,nifty_fanfare,,2026-05-14T00:00:00.000Z,2026-06-13T23:59:59.999Z,5.0,1.733936369419098e-06,1.733936369419098e-06,4.99999826606363,,200,200,200,200,"current,limits,monthlyUsageCycle","current,limits,monthlyUsageCycle","dataRetentionDays,maxActorCount,maxActorMemoryGbytes,maxActorTaskCount,maxConcurrentActorJobs,maxMonthlyActorComputeUnits,maxMonthlyExternalDataTransferGbytes,maxMonthlyProxySerps,maxMonthlyResidentialProxyGbytes,maxMonthlyUsageUsd,maxScheduleCount,maxTeamAccountSeatCount","activeActorJobCount,actorCount,actorMemoryGbytes,actorTaskCount,monthlyActorComputeUnits,monthlyExternalDataTransferGbytes,monthlyProxySerps,monthlyResidentialProxyGbytes,monthlyUsageUsd,scheduleCount,teamAccountSeatCount","dailyServiceUsages,monthlyServiceUsage,totalUsageCreditsUsdAfterVolumeDiscount,totalUsageCreditsUsdBeforeVolumeDiscount,usageCycle","dailyServiceUsages,monthlyServiceUsage,totalUsageCreditsUsdAfterVolumeDiscount,totalUsageCreditsUsdBeforeVolumeDiscount,usageCycle",,
