creator_or_source_name,youtube_channel_id,youtube_channel_url,candidate_x_handle,candidate_x_url,verification_status,verification_source,source_type,confidence,reason,notes
Financial Education,UCnMn36GT_H0X-w5_ckLtlgQ,https://www.youtube.com/channel/UCnMn36GT_H0X-w5_ckLtlgQ,FinancialEdu,https://x.com/FinancialEdu,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=250
HyperChange,UC1LAjODfg7dnSSrrPGGPPMw,https://www.youtube.com/channel/UC1LAjODfg7dnSSrrPGGPPMw,HyperChangeTV,https://x.com/HyperChangeTV,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=250
Galileo Russell,,,Gfilche,https://x.com/Gfilche,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=0
Ticker Symbol: YOU,UC7kCeZ53sli_9XwuQeFxLqw,https://www.youtube.com/channel/UC7kCeZ53sli_9XwuQeFxLqw,TickerSymbolYOU,https://x.com/TickerSymbolYOU,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=250
Joseph Carlson,UCbta0n8i6Rljh0obO7HzG9A,https://www.youtube.com/channel/UCbta0n8i6Rljh0obO7HzG9A,joecarlsonshow,https://x.com/joecarlsonshow,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=250
Tom Nash,UCJwKCyEIFHwUOPQQ-4kC1Zw,https://www.youtube.com/channel/UCJwKCyEIFHwUOPQQ-4kC1Zw,iamtomnash,https://x.com/iamtomnash,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=250
Sasha Yanshin,UC1pLUC7lcKkGYhWgj4XvUsw,https://www.youtube.com/channel/UC1pLUC7lcKkGYhWgj4XvUsw,SashaYanshin,https://x.com/SashaYanshin,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=250
Jose Najarro Stocks,UC5cEHfCr6WOE1R1zcohd1IA,https://www.youtube.com/channel/UC5cEHfCr6WOE1R1zcohd1IA,JoseNajarro,https://x.com/JoseNajarro,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=500
Chicken Genius Singapore,UC0OnreqP55xLpA6W5nzxb5Q,https://www.youtube.com/channel/UC0OnreqP55xLpA6W5nzxb5Q,chicken_genius,https://x.com/chicken_genius,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=250
ZipTrader,UC0BGhWsIbV7Dm-lsvhdlMbA,https://www.youtube.com/channel/UC0BGhWsIbV7Dm-lsvhdlMbA,ziptrader,https://x.com/ziptrader,inferred,RunPod DB creator metadata plus project prompt candidate list,youtube_matched_creator,0.60,Candidate handle supplied by project prompt; not promoted to main collection without profile validation.,youtube_videos_in_db=250
