section,metric,value,detail,recommendation_category
sample,total_eligible_videos,6468,non-excluded local database rows,
sample,available_transcripts,1000,youtube_transcripts status=available,
sample,transcript_coverage_rate,0.154607,available_transcripts / total_eligible_videos,
coverage,audit_scope_transcript_coverage_rate_2020_2023,0.414093,availability audit scope used for creator/year representativeness checks,collect_more_transcripts
sample,pending_videos,598,/Users/scottthomasswitzer/Desktop/FIN496CAPSTONE/data/exports/transcripts/slow_youtube_transcript_queue.csv,collect_more_transcripts
browser_recovery,browser_audited_recoverable_videos,1,/Users/scottthomasswitzer/Desktop/FIN496CAPSTONE/data/exports/transcripts/browser_transcript_recovery_audit.csv,collect_more_transcripts
browser_recovery,browser_recovery_success_rate,0.5,recovered=0; visible=1; audited=2,collect_more_transcripts
events,matched_market_events,133,/Users/scottthomasswitzer/Desktop/FIN496CAPSTONE/data/exports/expanded_robustness/expanded_event_study_results.csv,improve_market_data
events,unmatched_clean_events,1,/Users/scottthomasswitzer/Desktop/FIN496CAPSTONE/data/exports/expanded_robustness/expanded_clean_events.csv,improve_market_data
concentration,top_creator_event_share,0.153535,HyperChange:76,collect_more_transcripts
concentration,creator_event_hhi,0.086681,sum of squared creator event shares,collect_more_transcripts
validation,validation_rows_available,0,/Users/scottthomasswitzer/Desktop/FIN496CAPSTONE/data/exports/validation/event_validation_sample_labeled.csv,manually_validate_events
validation,minimum_recommended_manual_validation_sample_size,50,"max(50, ceil(10% of transcript-supported events))",manually_validate_events
platform,x_posts_available,0,raw_x_posts rows in the local database,add_x_data
planning,additional_transcripts_to_reach_75pct_coverage,3851,material coverage improvement threshold,collect_more_transcripts
events_by_creator,HyperChange,76,transcript-supported event count,
events_by_creator,Ticker Symbol: YOU,64,transcript-supported event count,
events_by_creator,Financial Education,56,transcript-supported event count,
events_by_creator,Sasha Yanshin,48,transcript-supported event count,
events_by_creator,Joseph Carlson,44,transcript-supported event count,
events_by_creator,ZipTrader,29,transcript-supported event count,
events_by_creator,New Money,28,transcript-supported event count,
events_by_creator,Everything Money,27,transcript-supported event count,
events_by_creator,Chicken Genius Singapore,24,transcript-supported event count,
events_by_creator,Tom Nash,18,transcript-supported event count,
events_by_creator,Ale's World of Stocks,16,transcript-supported event count,
events_by_creator,Meet Kevin,10,transcript-supported event count,
events_by_creator,STOCK UP! with LARRY JONES,10,transcript-supported event count,
events_by_creator,The Plain Bagel,10,transcript-supported event count,
events_by_creator,Kenan Grace,8,transcript-supported event count,
events_by_creator,Dumb Money Live,6,transcript-supported event count,
events_by_creator,Graham Stephan,6,transcript-supported event count,
events_by_creator,Best of Us Investors,4,transcript-supported event count,
events_by_creator,Bloomberg Television,3,transcript-supported event count,
events_by_creator,CNBC Television,3,transcript-supported event count,
events_by_creator,Chris Sain,3,transcript-supported event count,
events_by_creator,Minority Mindset,1,transcript-supported event count,
events_by_creator,Stock Moe,1,transcript-supported event count,
events_by_year,2020,17,transcript-supported event count,
events_by_year,2021,16,transcript-supported event count,
events_by_year,2022,53,transcript-supported event count,
events_by_year,2023,106,transcript-supported event count,
events_by_year,2024,168,transcript-supported event count,
events_by_year,2025,81,transcript-supported event count,
events_by_year,2026,54,transcript-supported event count,
recommendation,collect_more_transcripts,1,1 means currently recommended or supported,collect_more_transcripts
recommendation,manually_validate_events,1,1 means currently recommended or supported,manually_validate_events
recommendation,improve_market_data,1,1 means currently recommended or supported,improve_market_data
recommendation,add_x_data,1,1 means currently recommended or supported,add_x_data
recommendation,ready_for_descriptive_claims,1,1 means currently recommended or supported,ready_for_descriptive_claims
recommendation,not_ready_for_causal_claims,1,1 means currently recommended or supported,not_ready_for_causal_claims
