group,event_count,matched_count,mean_abnormal_return_1d,mean_abnormal_return_5d,mean_abnormal_return_20d,mean_car_5d,mean_car_20d,positive_abnormal_return_5d_share,mean_volume_change_5d
Ale's World of Stocks,2,2,-0.019599,-0.066587,-0.098669,-0.069371,-0.092674,0.000000,-0.037307
Best of Us Investors,3,3,0.003283,-0.047061,-0.007495,-0.047027,-0.009526,0.000000,0.088423
Chicken Genius Singapore,5,4,0.021412,-0.003988,0.064151,-0.001196,0.071796,0.500000,0.325522
Dumb Money Live,2,2,0.026733,0.032824,0.108907,0.032940,0.105208,1.000000,-0.216678
Everything Money,7,7,0.003956,0.046205,0.042924,0.044270,0.043318,0.571429,0.540432
Financial Education,11,11,0.040463,0.052575,0.068641,0.051838,0.059060,0.500000,0.083675
Graham Stephan,5,5,0.000993,-0.022270,0.019537,-0.022696,0.013690,0.400000,-0.258819
HyperChange,31,31,-0.001107,-0.018116,-0.086030,-0.021255,-0.081715,0.322581,0.153750
Joseph Carlson,16,16,0.005539,0.008115,0.013539,0.008323,0.014258,0.750000,-0.192969
Kenan Grace,4,4,0.008846,0.034859,0.035020,0.034421,0.027134,1.000000,0.307296
New Money,6,6,-0.001336,0.006479,0.000732,0.006442,0.001418,0.666667,-0.188479
STOCK UP! with LARRY JONES,7,7,0.001602,0.011149,-0.047614,0.011999,-0.045567,0.571429,-0.231016
Sasha Yanshin,13,13,0.009370,0.030751,-0.060169,0.029614,-0.070210,0.615385,0.110267
The Plain Bagel,2,2,0.025721,0.011316,-0.029010,0.012269,-0.026417,0.500000,0.147042
Ticker Symbol: YOU,11,11,-0.004610,-0.013236,-0.006317,-0.014435,-0.006938,0.454545,-0.182282
Tom Nash,5,5,0.008506,0.028731,0.020776,0.027757,0.027326,0.600000,-0.144302
ZipTrader,2,2,-0.142053,-0.157462,-0.458394,-0.136691,-0.482026,0.000000,0.475390
