group,event_count,matched_count,mean_abnormal_return_1d,mean_abnormal_return_5d,mean_abnormal_return_20d,mean_car_5d,mean_car_20d,positive_abnormal_return_5d_share,mean_volume_change_5d
AAPL,20,20,-0.000366,0.004382,-0.007156,0.004247,-0.007339,0.650000,-0.160777
AMC,2,2,-0.142053,-0.157462,-0.458394,-0.136691,-0.482026,0.000000,0.475390
AMD,14,14,0.023934,0.035111,-0.055746,0.032709,-0.055918,0.538462,0.311335
AMZN,10,10,0.009101,0.025708,0.045697,0.026108,0.046989,0.700000,0.149603
COIN,1,1,-0.064686,-0.056477,-0.151767,-0.052351,-0.143959,0.000000,-0.151896
DIS,4,4,0.019105,0.006283,0.006116,0.006955,0.006450,0.750000,0.064057
GOOGL,2,2,0.016744,0.016182,0.092659,0.016399,0.089701,0.500000,-0.233466
META,3,3,0.002285,0.004805,-0.023227,0.004355,-0.017274,0.333333,-0.220180
MSFT,10,10,0.008272,-0.011676,-0.027692,-0.011568,-0.026794,0.400000,-0.137587
NFLX,1,1,-0.047993,-0.016023,-0.076358,-0.015135,-0.076862,0.000000,-0.337818
NVDA,18,18,-0.000137,-0.003052,0.011136,-0.003483,0.012890,0.500000,-0.137901
PYPL,2,2,0.010644,0.145579,0.151444,0.138878,0.149294,1.000000,1.878565
SOFI,1,1,0.034904,0.084029,-0.069322,0.083375,-0.073436,1.000000,-0.339256
SQ,1,0,,,,,,,
TSLA,41,41,0.006661,-0.006954,-0.051561,-0.009257,-0.053483,0.414634,0.079025
UBER,2,2,0.006537,0.019633,-0.000912,0.019759,0.001666,0.500000,-0.110373
