window,creator,n,mean_abnormal_spy
1D,Ale's World of Stocks,50,-0.0006661399999999994
1D,Best of Us Investors,20,0.00047269999999999983
1D,Bloomberg Television,9,0.015946666666666668
1D,CNBC Television,9,0.019261
1D,Chicken Genius Singapore,63,0.010915428571428572
1D,Chris Sain,15,-0.009081133333333333
1D,Couch Investor,111,-0.0022723153153153155
1D,Daniel Pronk,62,0.0004775645161290322
1D,Dividend Bull,1,-0.127626
1D,Dividendology,7,0.011727142857142856
1D,Dumb Money Live,18,0.015104500000000002
1D,Everything Money,86,0.0008604302325581397
1D,Financial Education,171,0.037871730994152045
1D,Graham Stephan,18,-0.002160833333333333
1D,HyperChange,225,0.005210253333333332
1D,Investing with Tom,7,-0.009172714285714284
1D,Jose Najarro Stocks,148,-0.00378922972972973
1D,Joseph Carlson,132,-0.0029363863636363632
1D,Kenan Grace,24,0.008939750000000002
1D,Learn to Invest - Investors Grow,18,0.00048444444444444435
1D,"Mark Roussin, CPA",57,-0.00014078947368421037
1D,Meet Kevin,29,-3.396551724137882e-05
1D,Minority Mindset,3,-0.009408
1D,New Money,84,-0.0002576785714285713
1D,"Parkev Tatevosian, CFA",16,-0.0063872500000000006
1D,STOCK UP! with LARRY JONES,30,-0.0035188000000000007
1D,Sasha Yanshin,140,0.005539535714285714
1D,Stock Moe,5,0.007660599999999999
1D,The Investor Channel,115,0.004460791304347826
1D,The Plain Bagel,30,0.0185922
1D,The Swedish Investor,7,0.004321857142857143
1D,Ticker Symbol: YOU,196,0.0010057295918367347
1D,Tom Nash,51,0.0016470588235294118
1D,"Value Investing with Sven Carlin, Ph.D.",20,-0.0025936500000000003
1D,ZipTrader,91,-0.13451365934065934
1M,Ale's World of Stocks,50,-0.014971800000000002
1M,Best of Us Investors,18,0.026440111111111112
1M,Chicken Genius Singapore,63,0.12218495238095238
1M,Chris Sain,15,0.009272066666666667
1M,Couch Investor,88,-0.045789340909090905
1M,Daniel Pronk,55,-0.0017256181818181833
1M,Dividend Bull,1,0.009733
1M,Dividendology,6,-0.005048833333333333
1M,Dumb Money Live,18,0.08208750000000001
1M,Everything Money,81,-0.008911333333333334
1M,Financial Education,147,0.07797824489795918
1M,Graham Stephan,18,0.019079166666666668
1M,HyperChange,225,-0.06987309333333333
1M,Investing with Tom,7,0.025637999999999998
1M,Jose Najarro Stocks,132,-0.024929537878787877
1M,Joseph Carlson,132,0.013958795454545453
1M,Kenan Grace,12,-0.009601249999999999
1M,Learn to Invest - Investors Grow,18,0.009976722222222222
1M,"Mark Roussin, CPA",57,0.007766859649122807
1M,Meet Kevin,29,-0.013348
1M,Minority Mindset,3,-0.09280700000000001
1M,New Money,84,0.002842785714285714
1M,"Parkev Tatevosian, CFA",3,-0.011856666666666673
1M,STOCK UP! with LARRY JONES,30,-0.030296
1M,Sasha Yanshin,140,-0.026428542857142856
1M,Stock Moe,5,0.0307182
1M,The Investor Channel,114,0.01784342105263158
1M,The Plain Bagel,30,-0.05104909999999999
1M,The Swedish Investor,7,0.10552442857142856
1M,Ticker Symbol: YOU,192,0.013436999999999998
1M,Tom Nash,51,0.08623694117647059
1M,"Value Investing with Sven Carlin, Ph.D.",17,0.029392235294117646
1M,ZipTrader,87,-0.3591606206896552
1W,Ale's World of Stocks,50,-0.00648664
1W,Best of Us Investors,20,-0.03240755
1W,Bloomberg Television,9,0.042668
1W,CNBC Television,9,0.04406966666666666
1W,Chicken Genius Singapore,63,0.016819190476190477
1W,Chris Sain,15,-0.0031409333333333334
1W,Couch Investor,101,-0.007464564356435644
1W,Daniel Pronk,62,-0.0026540967741935477
1W,Dividend Bull,1,-0.025549
1W,Dividendology,7,0.011338571428571429
1W,Dumb Money Live,18,0.022872666666666666
1W,Everything Money,86,0.011044406976744185
1W,Financial Education,165,0.040296230303030305
1W,Graham Stephan,18,-0.025619333333333334
1W,HyperChange,225,-0.011841639999999997
1W,Investing with Tom,7,-0.010001142857142858
1W,Jose Najarro Stocks,147,-0.0053912993197278904
1W,Joseph Carlson,132,-0.004432340909090909
1W,Kenan Grace,24,0.019147625
1W,Learn to Invest - Investors Grow,18,0.019053722222222222
1W,"Mark Roussin, CPA",57,0.005933280701754386
1W,Meet Kevin,29,-0.003784413793103448
1W,Minority Mindset,3,-0.13883
1W,New Money,84,0.006649714285714285
1W,"Parkev Tatevosian, CFA",13,-0.021422
1W,STOCK UP! with LARRY JONES,30,0.0047881999999999985
1W,Sasha Yanshin,140,-0.0048484714285714275
1W,Stock Moe,5,0.014574799999999999
1W,The Investor Channel,115,0.0108522
1W,The Plain Bagel,30,0.013113900000000001
1W,The Swedish Investor,7,0.01778257142857143
1W,Ticker Symbol: YOU,196,-0.0015185765306122458
1W,Tom Nash,51,0.016315294117647056
1W,"Value Investing with Sven Carlin, Ph.D.",20,0.004939299999999999
1W,ZipTrader,91,-0.09944523076923076
1Y,Ale's World of Stocks,33,-0.0056708181818181805
1Y,Chicken Genius Singapore,63,0.8464184285714286
1Y,Daniel Pronk,37,0.2006814864864865
1Y,Dividend Bull,1,0.330299
1Y,Everything Money,9,0.14930466666666667
1Y,Financial Education,57,0.42369978947368425
1Y,HyperChange,225,0.35502790666666667
1Y,Investing with Tom,7,0.19703014285714285
1Y,Joseph Carlson,132,0.07933990909090909
1Y,Learn to Invest - Investors Grow,15,0.047994666666666665
1Y,"Mark Roussin, CPA",46,0.09288030434782608
1Y,New Money,84,0.06980939285714285
1Y,Sasha Yanshin,138,0.1722563043478261
1Y,The Investor Channel,103,0.14443664077669904
1Y,The Plain Bagel,27,0.6063562222222223
1Y,The Swedish Investor,5,-0.0598038
1Y,Ticker Symbol: YOU,180,0.47592070000000003
1Y,Tom Nash,51,0.23145364705882351
1Y,"Value Investing with Sven Carlin, Ph.D.",3,-0.13100599999999998
1Y,ZipTrader,87,-0.595696
2M,Ale's World of Stocks,41,0.009061951219512194
2M,Best of Us Investors,7,-0.040773142857142855
2M,Chicken Genius Singapore,63,0.2985855714285714
2M,Chris Sain,15,0.0338322
2M,Couch Investor,81,-0.06492502469135802
2M,Daniel Pronk,55,0.022004181818181822
2M,Dividend Bull,1,0.074301
2M,Dividendology,6,-0.003538833333333336
2M,Dumb Money Live,18,0.0538205
2M,Everything Money,81,0.002601938271604938
2M,Financial Education,136,0.16105408088235296
2M,Graham Stephan,12,-0.02932249999999999
2M,HyperChange,225,-0.05204214666666667
2M,Investing with Tom,7,0.014742285714285711
2M,Jose Najarro Stocks,132,0.02345787121212121
2M,Joseph Carlson,132,0.016075454545454542
2M,Kenan Grace,6,-0.0159725
2M,Learn to Invest - Investors Grow,16,0.0559604375
2M,"Mark Roussin, CPA",57,0.03407552631578948
2M,Meet Kevin,29,-0.024777137931034483
2M,Minority Mindset,3,-0.082267
2M,New Money,84,0.02954178571428571
2M,STOCK UP! with LARRY JONES,30,-0.030246999999999993
2M,Sasha Yanshin,140,-0.012153021428571428
2M,Stock Moe,5,-0.04814500000000001
2M,The Investor Channel,114,0.02942809649122807
2M,The Plain Bagel,30,-0.017363999999999997
2M,The Swedish Investor,7,0.19473728571428572
2M,Ticker Symbol: YOU,192,0.02402240625
2M,Tom Nash,51,0.05627641176470588
2M,"Value Investing with Sven Carlin, Ph.D.",17,0.10901211764705883
2M,ZipTrader,87,-0.3383733103448276
2W,Ale's World of Stocks,50,-0.004301140000000002
2W,Best of Us Investors,18,-0.03674572222222222
2W,Chicken Genius Singapore,63,0.06193752380952381
2W,Chris Sain,15,0.0008764666666666673
2W,Couch Investor,94,-0.010909946808510639
2W,Daniel Pronk,58,-0.014964086206896553
2W,Dividend Bull,1,-0.035361
2W,Dividendology,7,0.016495857142857142
2W,Dumb Money Live,18,0.04409183333333334
2W,Everything Money,81,0.004915975308641974
