window,recommendation_type,n,mean_abnormal_spy
1D,buy,1764,-0.002566095804988662
1D,portfolio_update,161,0.0026736397515527955
1D,price_target,143,0.010315958041958041
1M,buy,1646,-0.021066323207776426
1M,portfolio_update,158,0.0015439177215189853
1M,price_target,131,0.04949436641221375
1W,buy,1747,-0.0026546479679450488
1W,portfolio_update,161,-0.003329453416149068
1W,price_target,140,0.01677785
1Y,buy,1086,0.22753785819521177
1Y,portfolio_update,125,0.140386616
1Y,price_target,92,0.26407525
2M,buy,1596,0.004956963032581454
2M,portfolio_update,156,0.016600057692307692
2M,price_target,128,0.05276325
2W,buy,1688,-0.01366276421800948
2W,portfolio_update,161,-0.005428590062111802
2W,price_target,140,0.042341314285714284
2Y,buy,721,0.3983337947295423
2Y,portfolio_update,88,0.28737055681818185
2Y,price_target,62,0.8088742741935484
3M,buy,1513,0.019786132187706543
3M,portfolio_update,152,0.049495118421052635
3M,price_target,124,0.10095030645161292
3W,buy,1667,-0.016381949610077984
3W,portfolio_update,161,-0.007619366459627329
3W,price_target,140,0.07734732857142856
6M,buy,1247,0.09370337850842021
6M,portfolio_update,142,0.1358921338028169
6M,price_target,110,0.26550361818181817
END_OF_SAMPLE,buy,1764,0.42936806009070294
END_OF_SAMPLE,portfolio_update,161,0.30666059006211177
END_OF_SAMPLE,price_target,143,0.9568584755244754
PRE_1M,buy,1764,-0.007331260204081634
PRE_1M,portfolio_update,161,-0.028188416149068325
PRE_1M,price_target,143,0.033080041958041956
PRE_1W,buy,1764,-0.0112474552154195
PRE_1W,portfolio_update,161,-0.018415745341614907
PRE_1W,price_target,143,0.008878097902097903
PRE_3M,buy,1764,0.01622262528344671
PRE_3M,portfolio_update,161,0.017566024844720494
PRE_3M,price_target,143,0.08173021678321679
