window,year,n,mean_abnormal_spy
1D,2020,46,-0.00019634782608695693
1D,2021,45,0.020302933333333332
1D,2022,164,-0.00843254268292683
1D,2023,322,-0.03641117391304348
1D,2024,627,0.01190070494417863
1D,2025,448,0.0022087299107142857
1D,2026,416,0.0027176129807692305
1M,2020,46,0.13838378260869566
1M,2021,45,0.030397866666666665
1M,2022,164,-0.09006588414634147
1M,2023,322,-0.06959586645962733
1M,2024,627,0.012138928229665074
1M,2025,448,-0.005978919642857143
1M,2026,283,-0.01213039929328622
1W,2020,46,0.004065108695652175
1W,2021,45,-0.0268592
1W,2022,164,-0.06237271951219511
1W,2023,322,-0.023340891304347824
1W,2024,627,0.020500298245614036
1W,2025,448,0.0009163549107142856
1W,2026,396,0.00676145202020202
1Y,2020,46,1.5316792826086956
1Y,2021,45,-0.15920066666666666
1Y,2022,164,0.21346899390243904
1Y,2023,322,0.03863398447204969
1Y,2024,627,0.2734390590111643
1Y,2025,99,0.068290898989899
2M,2020,46,0.38916834782608695
2M,2021,45,-0.010701866666666664
2M,2022,164,-0.016873743902439026
2M,2023,322,-0.0506614254658385
2M,2024,627,0.01951516427432217
2M,2025,448,0.0038412790178571424
2M,2026,228,0.021744868421052634
2W,2020,46,0.045180630434782605
2W,2021,45,-0.02082026666666667
2W,2022,164,-0.0671999756097561
2W,2023,322,-0.08308696583850932
2W,2024,627,0.022736480063795854
2W,2025,448,-0.00019296205357142862
2W,2026,337,0.013219913946587536
2Y,2020,46,1.8939901739130434
2Y,2021,45,-0.19252226666666666
2Y,2022,164,0.5474368902439024
2Y,2023,322,0.135954599378882
2Y,2024,294,0.5123142959183674
3M,2020,46,0.6352289565217392
3M,2021,45,0.046217799999999996
3M,2022,164,0.013234006097560971
3M,2023,322,-0.04891217391304348
3M,2024,627,0.03406803827751196
3M,2025,448,-0.003410714285714287
3M,2026,137,0.09068513868613139
3W,2020,46,0.09304795652173913
3W,2021,45,0.049962
3W,2022,164,-0.08535504878048782
3W,2023,322,-0.06984518944099379
3W,2024,627,0.018104881977671454
3W,2025,448,-0.007653939732142856
3W,2026,316,0.013703433544303797
6M,2020,46,1.4503099130434784
6M,2021,45,0.06246499999999999
6M,2022,164,0.1915054024390244
6M,2023,322,-0.0401138695652174
6M,2024,627,0.08810561881977672
6M,2025,295,0.07489006779661016
END_OF_SAMPLE,2020,46,3.333234195652174
END_OF_SAMPLE,2021,45,-0.1752964
END_OF_SAMPLE,2022,164,1.1270120365853658
END_OF_SAMPLE,2023,322,0.37420842857142855
END_OF_SAMPLE,2024,627,0.5629486267942584
END_OF_SAMPLE,2025,448,0.23033368973214285
END_OF_SAMPLE,2026,416,0.08818406250000001
PRE_1M,2020,46,0.24852497826086956
PRE_1M,2021,45,-0.11235906666666666
PRE_1M,2022,164,-0.07431028658536586
PRE_1M,2023,322,-0.01655587888198758
PRE_1M,2024,627,-0.00882765071770335
PRE_1M,2025,448,0.0058702857142857124
PRE_1M,2026,416,0.003141120192307693
PRE_1W,2020,46,0.07522954347826087
PRE_1W,2021,45,-0.06226053333333333
PRE_1W,2022,164,-0.02311137195121951
PRE_1W,2023,322,-0.03671708695652174
PRE_1W,2024,627,-0.00855154066985646
PRE_1W,2025,448,-0.0002629330357142857
PRE_1W,2026,416,-0.0026488846153846154
PRE_3M,2020,46,0.7269554782608695
PRE_3M,2021,45,0.1537312
PRE_3M,2022,164,-0.17913556707317074
PRE_3M,2023,322,-0.0161572950310559
PRE_3M,2024,627,0.03333749601275917
PRE_3M,2025,448,0.08963193303571429
PRE_3M,2026,416,-0.056976990384615386
