window,n,mean_raw,mean_abnormal_spy,mean_abnormal_qqq,mean_abnormal_iwm
1D,2068,0.00016058123791102476,-0.0012673863636363638,-0.0019225459381044484,-0.0016336416827853
1M,1935,-0.0001581255813953485,-0.014443135400516796,-0.017091663049095606,-0.011004082170542637
1W,2048,0.0017401547851562502,-0.00137930322265625,-0.0026486479492187497,0.0007590341796875001
1Y,1303,0.42630398311588646,0.22175699462778203,0.1696620636991558,0.2989521036070606
2M,1880,0.03603088457446808,0.009177988297872341,0.004165702659574468,0.01671492340425532
2W,1989,-0.001165613876319759,-0.009054281045751636,-0.010622121669180492,-0.007210690296631472
2Y,871,0.8658613800229621,0.4163461308840413,0.313086113662457,0.5740076670493686
3M,1789,0.07133801062045836,0.027936005589714923,0.018527000558971492,0.03595918278367803
3W,1968,0.002476973577235772,-0.008997358739837398,-0.011508240345528456,-0.005937456808943089
6M,1499,0.20981119212808538,0.1103070006671114,0.08283625150100066,0.14000720613742496
END_OF_SAMPLE,2068,0.893945422147002,0.45629031673114123,0.26920043955512574,0.5345853293036751
PRE_1M,2068,0.010133515473887814,-0.006160653771760156,-0.009068025145067698,-0.004515994197292069
PRE_1W,2068,-0.007368618471953578,-0.01041386750483559,-0.011605764506769825,-0.008846327852998066
PRE_3M,2068,0.0713788994197292,0.02085699323017408,0.010614205996131528,0.02003451499032882
