portfolio_mode,holding_period,n_events,n_creators,n_tickers,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,hit_rate,alpha_vs_spy,transaction_cost_10bps
equal_weight_all,5D,2048,35,21,0.00174,0.087704,0.603459,0.1453,-0.999854,0.5215,-0.001379,0.00074
equal_weight_all,21D,1935,33,21,-0.000158,-0.001898,0.634182,-0.003,-1.0,0.4935,-0.014443,-0.001158
equal_weight_all,63D,1789,32,21,0.071338,0.285352,0.588541,0.4848,-1.0,0.611,0.027936,0.070338
equal_weight_all,126D,1499,29,19,0.209811,0.419622,0.655282,0.6404,-1.0,0.7312,0.110307,0.208811
equal_weight_all,252D,1303,20,17,0.426304,0.426304,0.586233,0.7272,-1.0,0.8496,0.221757,0.425304
buy_only,5D,1578,34,21,0.005579,0.281166,0.570066,0.4932,-0.944051,0.5241,0.003331,0.004579
buy_only,21D,1487,32,21,0.012216,0.146593,0.529986,0.2766,-0.999906,0.5124,-0.002274,0.011216
buy_only,63D,1371,31,21,0.093129,0.372515,0.556004,0.67,-0.975371,0.6251,0.049285,0.092129
buy_only,126D,1136,28,19,0.251456,0.502912,0.61492,0.8178,-0.992484,0.7702,0.152079,0.250456
buy_only,252D,987,19,17,0.500829,0.500829,0.565475,0.8857,-0.990414,0.8906,0.296199,0.499829
sell_only_inverse,5D,470,29,15,0.011148,0.561836,0.697005,0.8061,-0.8552,0.4872,0.017194,0.010148
sell_only_inverse,21D,448,27,14,0.04123,0.494765,0.883142,0.5602,-0.999248,0.5692,0.054835,0.04023
sell_only_inverse,63D,418,26,14,0.000133,0.000532,0.665456,0.0008,-1.0,0.4354,0.042087,-0.000867
sell_only_inverse,126D,363,23,11,-0.079485,-0.158971,0.73917,-0.2151,-1.000376,0.3912,0.020418,-0.080485
sell_only_inverse,252D,316,19,10,-0.193531,-0.193531,0.589775,-0.3281,-1.002388,0.2785,0.010757,-0.194531
