window,benchmark,n,mean,median,std,se,t_stat,p_value,ci_lower,ci_upper,win_rate,bootstrap_ci_lower,bootstrap_ci_upper,wilcoxon_p,permutation_p
1D,SPY,2068,-0.001267,0.001756,0.056114,0.001234,-1.0271,0.30449,-0.003686,0.001151,0.5377,-0.003659,0.001095,0.188333,0.303
1D,QQQ,2068,-0.001923,0.000755,0.055744,0.001226,-1.5684,0.116945,-0.004325,0.00048,0.5256,-0.004304,0.000411,0.788153,0.126
1D,IWM,2068,-0.001634,0.00185,0.056166,0.001235,-1.3227,0.186088,-0.004054,0.000787,0.5305,-0.004034,0.000781,0.900733,0.203
1W,SPY,2048,-0.001379,-0.002913,0.077961,0.001723,-0.8007,0.423422,-0.004756,0.001997,0.4819,-0.004813,0.002181,0.300973,0.429
1W,QQQ,2048,-0.002649,-0.003253,0.075168,0.001661,-1.5946,0.110952,-0.005904,0.000607,0.4663,-0.005984,0.000801,0.058579,0.125
1W,IWM,2048,0.000759,0.00176,0.080198,0.001772,0.4283,0.668469,-0.002714,0.004232,0.5078,-0.002585,0.004489,0.466686,0.694
2W,SPY,1989,-0.009054,-0.001847,0.139551,0.003129,-2.8936,0.00385,-0.015187,-0.002921,0.4907,-0.01515,-0.002674,0.268348,0.005
2W,QQQ,1989,-0.010622,-0.003145,0.136524,0.003061,-3.4699,0.000532,-0.016622,-0.004622,0.4902,-0.016594,-0.004343,0.021976,0.003
2W,IWM,1989,-0.007211,0.001717,0.138853,0.003113,-2.316,0.020659,-0.013313,-0.001108,0.5078,-0.013354,-0.000793,0.838348,0.024
3W,SPY,1968,-0.008997,-0.005219,0.157187,0.003543,-2.5393,0.011184,-0.015942,-0.002053,0.4736,-0.015677,-0.002001,0.000175,0.008
3W,QQQ,1968,-0.011508,-0.008416,0.153119,0.003452,-3.3342,0.000871,-0.018273,-0.004743,0.4517,-0.018036,-0.004908,1e-06,0.001
3W,IWM,1968,-0.005937,-0.003249,0.158372,0.00357,-1.6632,0.096439,-0.012935,0.00106,0.4848,-0.012535,0.000928,0.074692,0.097
1M,SPY,1935,-0.014443,-0.017116,0.169393,0.003851,-3.7506,0.000182,-0.021991,-0.006895,0.4496,-0.022248,-0.006949,0.0,0.001
1M,QQQ,1935,-0.017092,-0.017788,0.16547,0.003762,-4.5436,6e-06,-0.024465,-0.009719,0.4222,-0.024754,-0.009479,0.0,0.001
1M,IWM,1935,-0.011004,-0.008261,0.170285,0.003871,-2.8426,0.004521,-0.018591,-0.003417,0.463,-0.018846,-0.003734,0.000228,0.007
2M,SPY,1880,0.009178,-0.014075,0.225975,0.005212,1.761,0.078397,-0.001037,0.019393,0.4649,-0.000805,0.0191,0.407613,0.08
2M,QQQ,1880,0.004166,-0.014585,0.216499,0.004993,0.8343,0.404229,-0.005621,0.013952,0.4309,-0.005587,0.013833,0.088816,0.44
2M,IWM,1880,0.016715,-0.001387,0.22364,0.005158,3.2407,0.001213,0.006605,0.026824,0.4947,0.006847,0.02666,0.299292,0.001
3M,SPY,1789,0.027936,-0.001056,0.275523,0.006514,4.2886,1.9e-05,0.015168,0.040704,0.4925,0.015831,0.040966,0.012644,0.001
3M,QQQ,1789,0.018527,-0.005434,0.266452,0.0063,2.941,0.003314,0.00618,0.030874,0.4863,0.006723,0.030964,0.535277,0.001
3M,IWM,1789,0.035959,0.002692,0.273075,0.006456,5.5697,0.0,0.023305,0.048613,0.5042,0.023961,0.048669,0.000179,0.001
6M,SPY,1499,0.110307,0.041967,0.446104,0.011522,9.5734,0.0,0.087723,0.132891,0.5517,0.088544,0.131676,0.0,0.001
6M,QQQ,1499,0.082836,0.011434,0.437213,0.011293,7.3355,0.0,0.060703,0.10497,0.5424,0.060743,0.103533,0.0,0.001
6M,IWM,1499,0.140007,0.064705,0.433361,0.011193,12.5084,0.0,0.118069,0.161946,0.6398,0.119056,0.160804,0.0,0.001
1Y,SPY,1303,0.221757,0.144056,0.557997,0.015458,14.3456,0.0,0.191459,0.252055,0.6815,0.188623,0.25166,0.0,0.001
1Y,QQQ,1303,0.169662,0.097778,0.554404,0.015359,11.0467,0.0,0.139559,0.199765,0.6163,0.136571,0.200368,0.0,0.001
1Y,IWM,1303,0.298952,0.266517,0.5391,0.014935,20.0173,0.0,0.26968,0.328224,0.7414,0.266906,0.329429,0.0,0.001
2Y,SPY,871,0.416346,0.266721,0.957834,0.032455,12.8284,0.0,0.352734,0.479958,0.659,0.352149,0.478139,0.0,0.001
2Y,QQQ,871,0.313086,0.144681,0.961517,0.03258,9.6098,0.0,0.24923,0.376942,0.5729,0.248589,0.373938,0.0,0.001
2Y,IWM,871,0.574008,0.474421,0.943682,0.031975,17.9515,0.0,0.511336,0.63668,0.7796,0.509127,0.634057,0.0,0.001
END_OF_SAMPLE,SPY,2068,0.45629,0.14165,1.142502,0.025124,18.1618,0.0,0.407048,0.505533,0.6896,0.407518,0.506947,0.0,0.001
END_OF_SAMPLE,QQQ,2068,0.2692,0.046274,1.101381,0.024219,11.1151,0.0,0.221731,0.31667,0.5508,0.222192,0.317599,0.0,0.001
END_OF_SAMPLE,IWM,2068,0.534585,0.156895,1.193668,0.026249,20.3661,0.0,0.483138,0.586033,0.6997,0.482383,0.587655,0.0,0.001
PRE_1W,SPY,2068,-0.010414,-0.001455,0.081015,0.001782,-5.8455,0.0,-0.013906,-0.006922,0.4715,-0.014019,-0.007138,0.0,0.001
PRE_1W,QQQ,2068,-0.011606,-0.002841,0.079619,0.001751,-6.6287,0.0,-0.015037,-0.008174,0.4579,-0.015166,-0.008375,0.0,0.001
PRE_1W,IWM,2068,-0.008846,-0.003757,0.083392,0.001834,-4.8241,2e-06,-0.012441,-0.005252,0.471,-0.012507,-0.005427,1e-06,0.001
PRE_1M,SPY,2068,-0.006161,-0.00827,0.159089,0.003498,-1.761,0.078384,-0.013017,0.000696,0.4744,-0.013264,0.000482,0.000254,0.079
