window,benchmark,model,variable,coef,std_err,p_value,n_obs,r_squared
1D,SPY,intercept_only,const,-0.001267,0.001234,0.30437,2068,0.0
1D,QQQ,intercept_only,const,-0.001923,0.001226,0.116792,2068,0.0
1D,IWM,intercept_only,const,-0.001634,0.001235,0.185942,2068,-0.0
1W,SPY,intercept_only,const,-0.001379,0.001723,0.423329,2048,0.0
1W,QQQ,intercept_only,const,-0.002649,0.001661,0.110798,2048,-0.0
1W,IWM,intercept_only,const,0.000759,0.001772,0.668424,2048,-0.0
2W,SPY,intercept_only,const,-0.009054,0.003129,0.003809,1989,-0.0
2W,QQQ,intercept_only,const,-0.010622,0.003061,0.000521,1989,0.0
2W,IWM,intercept_only,const,-0.007211,0.003113,0.020558,1989,0.0
3W,SPY,intercept_only,const,-0.008997,0.003543,0.011108,1968,-0.0
3W,QQQ,intercept_only,const,-0.011508,0.003452,0.000855,1968,0.0
3W,IWM,intercept_only,const,-0.005937,0.00357,0.09628,1968,-0.0
1M,SPY,intercept_only,const,-0.014443,0.003851,0.000176,1935,0.0
1M,QQQ,intercept_only,const,-0.017092,0.003762,6e-06,1935,0.0
1M,IWM,intercept_only,const,-0.011004,0.003871,0.004474,1935,0.0
2M,SPY,intercept_only,const,0.009178,0.005212,0.078234,1880,0.0
2M,QQQ,intercept_only,const,0.004166,0.004993,0.404123,1880,0.0
2M,IWM,intercept_only,const,0.016715,0.005158,0.001193,1880,-0.0
3M,SPY,intercept_only,const,0.027936,0.006514,1.8e-05,1789,0.0
3M,QQQ,intercept_only,const,0.018527,0.0063,0.003272,1789,0.0
3M,IWM,intercept_only,const,0.035959,0.006456,0.0,1789,-0.0
6M,SPY,intercept_only,const,0.110307,0.011522,0.0,1499,0.0
6M,QQQ,intercept_only,const,0.082836,0.011293,0.0,1499,0.0
6M,IWM,intercept_only,const,0.140007,0.011193,0.0,1499,0.0
1Y,SPY,intercept_only,const,0.221757,0.015458,0.0,1303,-0.0
1Y,QQQ,intercept_only,const,0.169662,0.015359,0.0,1303,0.0
1Y,IWM,intercept_only,const,0.298952,0.014935,0.0,1303,-0.0
2Y,SPY,intercept_only,const,0.416346,0.032455,0.0,871,-0.0
2Y,QQQ,intercept_only,const,0.313086,0.03258,0.0,871,-0.0
2Y,IWM,intercept_only,const,0.574008,0.031975,0.0,871,-0.0
END_OF_SAMPLE,SPY,intercept_only,const,0.45629,0.025124,0.0,2068,-0.0
END_OF_SAMPLE,QQQ,intercept_only,const,0.2692,0.024219,0.0,2068,0.0
END_OF_SAMPLE,IWM,intercept_only,const,0.534585,0.026249,0.0,2068,0.0
PRE_1W,SPY,intercept_only,const,-0.010414,0.001782,0.0,2068,0.0
PRE_1W,QQQ,intercept_only,const,-0.011606,0.001751,0.0,2068,0.0
PRE_1W,IWM,intercept_only,const,-0.008846,0.001834,1e-06,2068,0.0
PRE_1M,SPY,intercept_only,const,-0.006161,0.003498,0.078236,2068,-0.0
PRE_1M,QQQ,intercept_only,const,-0.009068,0.00337,0.007132,2068,-0.0
PRE_1M,IWM,intercept_only,const,-0.004516,0.003495,0.196365,2068,0.0
PRE_3M,SPY,intercept_only,const,0.020857,0.006412,0.001143,2068,-0.0
PRE_3M,QQQ,intercept_only,const,0.010614,0.006139,0.083831,2068,0.0
PRE_3M,IWM,intercept_only,const,0.020035,0.006577,0.002319,2068,-0.0
