record_type,ticker,row_count,min_date,max_date,duplicate_price_rows,uses_adjusted_close,note
price_rows_by_ticker,AAPL,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,AMC,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,AMD,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,AMZN,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,COIN,1277,2021-04-14,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,CRM,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,DIS,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,GOOGL,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,HOOD,1203,2021-07-29,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,IWM,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,META,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,MSFT,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,NFLX,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,NVDA,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,PLTR,1411,2020-09-30,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,PYPL,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,QQQ,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,ROKU,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,SOFI,1346,2021-01-04,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,SPY,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,TSLA,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,UBER,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,XLC,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,XLF,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,XLI,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,XLK,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,XLY,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
price_rows_by_ticker,XYZ,1688,2019-08-26,2026-05-13,0,yes,existing yfinance prototype plus supplemental benchmark/sector fetch when needed
valid_return_count,SPY,147,,,,,balanced_creator_year_sample 1D
valid_return_count,QQQ,147,,,,,balanced_creator_year_sample 1D
valid_return_count,IWM,147,,,,,balanced_creator_year_sample 1D
valid_return_count,SECTOR,146,,,,,balanced_creator_year_sample 1D
valid_return_count,SPY,141,,,,,balanced_creator_year_sample 1M
valid_return_count,QQQ,141,,,,,balanced_creator_year_sample 1M
valid_return_count,IWM,141,,,,,balanced_creator_year_sample 1M
valid_return_count,SECTOR,140,,,,,balanced_creator_year_sample 1M
valid_return_count,SPY,147,,,,,balanced_creator_year_sample 1W
valid_return_count,QQQ,147,,,,,balanced_creator_year_sample 1W
valid_return_count,IWM,147,,,,,balanced_creator_year_sample 1W
valid_return_count,SECTOR,146,,,,,balanced_creator_year_sample 1W
valid_return_count,SPY,79,,,,,balanced_creator_year_sample 1Y
valid_return_count,QQQ,79,,,,,balanced_creator_year_sample 1Y
valid_return_count,IWM,79,,,,,balanced_creator_year_sample 1Y
valid_return_count,SECTOR,78,,,,,balanced_creator_year_sample 1Y
valid_return_count,SPY,132,,,,,balanced_creator_year_sample 2M
valid_return_count,QQQ,132,,,,,balanced_creator_year_sample 2M
valid_return_count,IWM,132,,,,,balanced_creator_year_sample 2M
valid_return_count,SECTOR,131,,,,,balanced_creator_year_sample 2M
valid_return_count,SPY,147,,,,,balanced_creator_year_sample 2W
valid_return_count,QQQ,147,,,,,balanced_creator_year_sample 2W
valid_return_count,IWM,147,,,,,balanced_creator_year_sample 2W
valid_return_count,SECTOR,146,,,,,balanced_creator_year_sample 2W
valid_return_count,SPY,53,,,,,balanced_creator_year_sample 2Y
valid_return_count,QQQ,53,,,,,balanced_creator_year_sample 2Y
valid_return_count,IWM,53,,,,,balanced_creator_year_sample 2Y
valid_return_count,SECTOR,52,,,,,balanced_creator_year_sample 2Y
valid_return_count,SPY,124,,,,,balanced_creator_year_sample 3M
valid_return_count,QQQ,124,,,,,balanced_creator_year_sample 3M
valid_return_count,IWM,124,,,,,balanced_creator_year_sample 3M
valid_return_count,SECTOR,123,,,,,balanced_creator_year_sample 3M
valid_return_count,SPY,146,,,,,balanced_creator_year_sample 3W
valid_return_count,QQQ,146,,,,,balanced_creator_year_sample 3W
valid_return_count,IWM,146,,,,,balanced_creator_year_sample 3W
valid_return_count,SECTOR,145,,,,,balanced_creator_year_sample 3W
valid_return_count,SPY,99,,,,,balanced_creator_year_sample 6M
valid_return_count,QQQ,99,,,,,balanced_creator_year_sample 6M
valid_return_count,IWM,99,,,,,balanced_creator_year_sample 6M
valid_return_count,SECTOR,98,,,,,balanced_creator_year_sample 6M
valid_return_count,SPY,147,,,,,balanced_creator_year_sample END_OF_SAMPLE
valid_return_count,QQQ,147,,,,,balanced_creator_year_sample END_OF_SAMPLE
valid_return_count,IWM,147,,,,,balanced_creator_year_sample END_OF_SAMPLE
valid_return_count,SECTOR,146,,,,,balanced_creator_year_sample END_OF_SAMPLE
valid_return_count,SPY,147,,,,,balanced_creator_year_sample PRE_1M
valid_return_count,QQQ,147,,,,,balanced_creator_year_sample PRE_1M
valid_return_count,IWM,147,,,,,balanced_creator_year_sample PRE_1M
valid_return_count,SECTOR,146,,,,,balanced_creator_year_sample PRE_1M
valid_return_count,SPY,147,,,,,balanced_creator_year_sample PRE_1W
valid_return_count,QQQ,147,,,,,balanced_creator_year_sample PRE_1W
valid_return_count,IWM,147,,,,,balanced_creator_year_sample PRE_1W
valid_return_count,SECTOR,146,,,,,balanced_creator_year_sample PRE_1W
valid_return_count,SPY,147,,,,,balanced_creator_year_sample PRE_3M
valid_return_count,QQQ,147,,,,,balanced_creator_year_sample PRE_3M
valid_return_count,IWM,147,,,,,balanced_creator_year_sample PRE_3M
valid_return_count,SECTOR,146,,,,,balanced_creator_year_sample PRE_3M
valid_return_count,SPY,471,,,,,cap_1000_per_creator 1D
valid_return_count,QQQ,471,,,,,cap_1000_per_creator 1D
valid_return_count,IWM,471,,,,,cap_1000_per_creator 1D
valid_return_count,SECTOR,469,,,,,cap_1000_per_creator 1D
valid_return_count,SPY,430,,,,,cap_1000_per_creator 1M
valid_return_count,QQQ,430,,,,,cap_1000_per_creator 1M
valid_return_count,IWM,430,,,,,cap_1000_per_creator 1M
valid_return_count,SECTOR,428,,,,,cap_1000_per_creator 1M
valid_return_count,SPY,465,,,,,cap_1000_per_creator 1W
valid_return_count,QQQ,465,,,,,cap_1000_per_creator 1W
valid_return_count,IWM,465,,,,,cap_1000_per_creator 1W
valid_return_count,SECTOR,463,,,,,cap_1000_per_creator 1W
valid_return_count,SPY,196,,,,,cap_1000_per_creator 1Y
valid_return_count,QQQ,196,,,,,cap_1000_per_creator 1Y
