sample_mode,horizon,benchmark,N,mean_abnormal_return,median_abnormal_return,standard_deviation,standard_error,t_stat,p_value,win_rate,bootstrap_ci_lower,bootstrap_ci_upper
balanced_creator_year_sample,1D,SPY,147,0.006329,0.002694,0.032712,0.002698,2.3457,0.02033893,0.585034,0.00099,0.011426
balanced_creator_year_sample,1D,QQQ,147,0.005654,0.003422,0.031699,0.002615,2.1624,0.0322148,0.598639,0.00055,0.010759
balanced_creator_year_sample,1D,IWM,147,0.005304,0.002535,0.033487,0.002762,1.9204,0.05676136,0.544218,-0.000147,0.010615
balanced_creator_year_sample,1D,SECTOR,146,0.007267,0.003118,0.026636,0.002204,3.2968,0.00122982,0.59589,0.003112,0.011771
balanced_creator_year_sample,1M,SPY,141,0.015859,0.015251,0.129645,0.010918,1.4525,0.14859351,0.560284,-0.004655,0.037287
balanced_creator_year_sample,1M,QQQ,141,0.012181,0.015505,0.123785,0.010425,1.1685,0.24458187,0.539007,-0.007161,0.032954
balanced_creator_year_sample,1M,IWM,141,0.019465,0.013007,0.13282,0.011185,1.7402,0.0840257,0.567376,-0.00082,0.040773
balanced_creator_year_sample,1M,SECTOR,140,0.022478,0.020366,0.114381,0.009667,2.3253,0.02150519,0.585714,0.004149,0.042715
balanced_creator_year_sample,1W,SPY,147,0.011867,0.007514,0.062453,0.005151,2.3037,0.02264864,0.585034,0.001699,0.021566
balanced_creator_year_sample,1W,QQQ,147,0.008885,0.004092,0.060127,0.004959,1.7916,0.0752682,0.537415,-0.000591,0.018645
balanced_creator_year_sample,1W,IWM,147,0.009538,0.006251,0.0644,0.005312,1.7957,0.07460528,0.544218,-0.000763,0.020155
balanced_creator_year_sample,1W,SECTOR,146,0.01239,0.003381,0.055392,0.004584,2.7028,0.00769796,0.534247,0.003544,0.022449
balanced_creator_year_sample,1Y,SPY,79,0.288233,0.127458,0.605461,0.06812,4.2313,6.28e-05,0.64557,0.16155,0.42344
balanced_creator_year_sample,1Y,QQQ,79,0.228771,0.056756,0.596456,0.067107,3.4091,0.00103441,0.620253,0.101876,0.359469
balanced_creator_year_sample,1Y,IWM,79,0.359168,0.199301,0.604217,0.06798,5.2835,1.12e-06,0.721519,0.232353,0.497278
balanced_creator_year_sample,1Y,SECTOR,78,0.275843,0.045207,0.575559,0.065169,4.2327,6.318e-05,0.615385,0.156558,0.405868
balanced_creator_year_sample,2M,SPY,132,0.037289,-0.004221,0.182726,0.015904,2.3446,0.02055189,0.484848,0.005923,0.067343
balanced_creator_year_sample,2M,QQQ,132,0.033778,-0.002365,0.174051,0.015149,2.2297,0.0274701,0.477273,0.00327,0.063096
balanced_creator_year_sample,2M,IWM,132,0.045714,0.016941,0.187417,0.016313,2.8024,0.00584369,0.55303,0.013187,0.077216
balanced_creator_year_sample,2M,SECTOR,131,0.045389,0.008543,0.16506,0.014421,3.1474,0.00204327,0.549618,0.019471,0.075945
balanced_creator_year_sample,2W,SPY,147,0.007755,0.001602,0.097089,0.008008,0.9684,0.33444994,0.517007,-0.007885,0.022136
balanced_creator_year_sample,2W,QQQ,147,0.005771,0.003234,0.094237,0.007773,0.7424,0.45901047,0.517007,-0.00958,0.019538
balanced_creator_year_sample,2W,IWM,147,0.007455,-0.002065,0.096757,0.00798,0.9342,0.3517651,0.482993,-0.008081,0.021569
balanced_creator_year_sample,2W,SECTOR,146,0.013745,0.003594,0.078795,0.006521,2.1077,0.03677331,0.520548,0.000371,0.026876
balanced_creator_year_sample,2Y,SPY,53,0.720028,0.266948,1.39819,0.192056,3.749,0.0004471,0.679245,0.383882,1.11837
