portfolio_type,holding_period,total_return,annualized_return,annualized_volatility,sharpe,sortino,max_drawdown,hit_rate,turnover,average_active_positions,transaction_cost_impact,alpha_vs_SPY,beta_vs_SPY,alpha_vs_QQQ,information_ratio,N_events,N_creators,N_tickers
equal_weight_all_recommendations,5D,-0.765691,-0.415487,0.383554,-1.0833,-1.3525,-0.817678,0.486022,1.365639,3.4141,0.072148,-0.656857,1.112052,-0.692441,-2.136478,465,29,20
equal_weight_all_recommendations,21D,0.775368,0.146656,0.33295,0.4405,0.6337,-0.466704,0.481395,0.813623,8.543,0.188851,0.012734,1.073977,-0.019081,-0.156957,430,29,20
equal_weight_all_recommendations,63D,0.35036,0.063102,0.315821,0.1998,0.2442,-0.522681,0.542234,0.593371,18.6912,0.057739,-0.055652,1.10089,-0.072824,-0.374508,367,29,20
equal_weight_all_recommendations,126D,1.779714,0.206072,0.267442,0.7705,0.9738,-0.43483,0.599278,0.402909,25.3833,0.07352,0.079165,0.864714,0.067653,0.029878,277,29,20
equal_weight_all_recommendations,252D,1.523246,0.16884,0.247864,0.6812,0.8404,-0.429436,0.744898,0.262207,33.0381,0.039193,0.036676,0.82362,0.036975,-0.153037,196,29,20
creator_weighted_all_recommendations,5D,-0.755142,-0.405884,0.386729,-1.0495,-1.3265,-0.810048,0.486022,1.365639,3.4141,0.075467,-0.637479,1.100954,-0.673796,-2.058338,465,29,20
creator_weighted_all_recommendations,21D,1.307909,0.220661,0.334611,0.6595,0.9635,-0.440739,0.481395,0.813623,8.543,0.250383,0.092453,0.973985,0.064584,0.073116,430,29,20
creator_weighted_all_recommendations,63D,0.247705,0.046116,0.311678,0.148,0.1825,-0.522553,0.542234,0.593371,18.6912,0.053594,-0.044437,0.912201,-0.063182,-0.408045,367,29,20
creator_weighted_all_recommendations,126D,1.582251,0.189893,0.268433,0.7074,0.8932,-0.448639,0.599278,0.402909,25.3833,0.071874,0.093464,0.699249,0.079815,-0.026713,277,29,20
creator_weighted_all_recommendations,252D,1.270314,0.148213,0.246361,0.6016,0.7267,-0.41264,0.744898,0.262207,33.0381,0.038109,0.047751,0.66315,0.044199,-0.214692,196,29,20
buy_only,5D,-0.244816,-0.107042,0.367473,-0.2913,-0.4359,-0.531702,0.492462,1.2736,3.184,0.209537,-0.266531,1.489481,-0.338246,-1.067735,398,29,20
buy_only,21D,2.883344,0.395007,0.358472,1.1019,1.7605,-0.462209,0.505405,0.720545,7.5657,0.392219,0.135218,1.53487,0.081856,0.658287,370,29,20
buy_only,63D,5.1886,0.456269,0.406094,1.1236,1.6383,-0.565104,0.582803,0.513912,16.1882,0.250682,0.218427,1.652218,0.18837,0.983437,314,29,20
buy_only,126D,8.3153,0.512121,0.42443,1.2066,1.715,-0.600033,0.662338,0.339706,21.4015,0.230159,0.237905,1.653661,0.205194,0.995187,231,29,20
buy_only,252D,8.960274,0.479026,0.448686,1.0676,1.535,-0.581263,0.867925,0.214865,27.073,0.142572,0.18967,1.706432,0.177033,0.870751,159,29,20
sell_inverse_or_short_proxy,5D,-0.848985,-0.873965,0.639499,-1.3666,-1.4549,-0.862805,0.439394,0.573913,1.4348,0.014461,-1.32688,-1.911622,-1.31442,-2.970755,66,29,20
sell_inverse_or_short_proxy,21D,-0.916569,-0.678217,0.58644,-1.1565,-1.4365,-0.918104,0.338983,0.213768,2.2446,0.004646,-0.689754,-1.784771,-0.5652,-1.665988,59,29,20
sell_inverse_or_short_proxy,63D,-0.962998,-0.603122,0.456345,-1.3216,-1.6419,-0.967186,0.307692,0.115684,3.644,0.001118,-0.471548,-1.772076,-0.404066,-1.738478,52,29,20
sell_inverse_or_short_proxy,126D,-0.961072,-0.538446,0.493053,-1.0921,-1.4129,-0.961977,0.266667,0.085066,5.3592,0.000727,-0.351152,-1.838934,-0.313454,-1.268175,45,29,20
sell_inverse_or_short_proxy,252D,-0.947622,-0.442499,0.521099,-0.8492,-1.1334,-0.954393,0.194444,0.056604,7.1321,0.000666,-0.174154,-1.795289,-0.194291,-0.859649,36,29,20
long_buy_short_sell,5D,-0.765691,-0.415487,0.383554,-1.0833,-1.3525,-0.817678,0.486022,1.365639,3.4141,0.072148,-0.656857,1.112052,-0.692441,-2.136478,465,29,20
long_buy_short_sell,21D,0.775368,0.146656,0.33295,0.4405,0.6337,-0.466704,0.481395,0.813623,8.543,0.188851,0.012734,1.073977,-0.019081,-0.156957,430,29,20
long_buy_short_sell,63D,0.35036,0.063102,0.315821,0.1998,0.2442,-0.522681,0.542234,0.593371,18.6912,0.057739,-0.055652,1.10089,-0.072824,-0.374508,367,29,20
long_buy_short_sell,126D,1.779714,0.206072,0.267442,0.7705,0.9738,-0.43483,0.599278,0.402909,25.3833,0.07352,0.079165,0.864714,0.067653,0.029878,277,29,20
long_buy_short_sell,252D,1.523246,0.16884,0.247864,0.6812,0.8404,-0.429436,0.744898,0.262207,33.0381,0.039193,0.036676,0.82362,0.036975,-0.153037,196,29,20
price_target_only,5D,-0.280451,-0.356719,0.491427,-0.7259,-1.0197,-0.484175,0.45614,0.606383,1.516,0.05642,-0.35849,1.849393,-0.256551,-0.684607,57,29,20
price_target_only,21D,0.717837,0.364229,0.411028,0.8861,1.5223,-0.36382,0.481481,0.246014,2.5831,0.072539,0.069104,1.871855,0.087455,0.60057,54,29,20
price_target_only,63D,5.216082,0.934125,0.523937,1.7829,2.6911,-0.455455,0.530612,0.140401,4.4226,0.153608,0.556689,2.049407,0.537194,1.678723,49,29,20
price_target_only,126D,8.414267,0.777838,0.50933,1.5272,2.2264,-0.536178,0.525,0.081466,5.1324,0.182487,0.459225,1.882073,0.422119,1.417672,40,29,20
price_target_only,252D,4.078096,0.378038,0.522428,0.7236,1.0499,-0.702213,0.722222,0.028191,3.5521,0.066531,0.155697,1.846562,0.168651,0.70155,18,29,20
portfolio_update_only,5D,0.091784,0.092552,0.370975,0.2495,0.3591,-0.311571,0.552632,0.608,1.52,0.115047,-0.246514,1.500288,-0.242591,-0.649347,76,29,20
portfolio_update_only,21D,0.551108,0.201721,0.348052,0.5796,0.8238,-0.345717,0.583333,0.239203,2.5116,0.097958,-0.087665,1.524938,-0.044078,0.046907,72,29,20
portfolio_update_only,63D,1.024877,0.201614,0.349332,0.5771,0.8778,-0.383233,0.55,0.123967,3.905,0.068496,0.005893,1.496545,-0.007981,0.182177,60,29,20
portfolio_update_only,126D,1.183148,0.20375,0.33611,0.6062,0.8863,-0.4153,0.76087,0.086711,5.4628,0.037907,0.00525,1.522607,-0.013588,0.19434,46,29,20
portfolio_update_only,252D,1.810997,0.279718,0.3319,0.8428,1.2485,-0.438295,0.885714,0.066288,8.3523,0.027854,0.06478,1.544351,0.047216,0.601429,35,29,20
