horizon,benchmark,method,statistic,p_value,estimate,n
1D,SPY,t_test,0.906826,0.36496355,0.001332,471
1D,SPY,wilcoxon_signed_rank,,0.6771599,-0.00078,471
1D,SPY,sign_flip_permutation,,0.382,0.001332,471
1D,QQQ,t_test,0.619452,0.53591892,0.000868,471
1D,QQQ,wilcoxon_signed_rank,,0.46167944,-7.4e-05,471
1D,QQQ,sign_flip_permutation,,0.542,0.000868,471
1D,IWM,t_test,0.899148,0.369034,0.001341,471
1D,IWM,wilcoxon_signed_rank,,0.92788267,0.000114,471
1D,IWM,sign_flip_permutation,,0.38,0.001341,471
1M,SPY,t_test,2.083537,0.03779367,0.012265,430
1M,SPY,wilcoxon_signed_rank,,0.79992745,0.000985,430
1M,SPY,sign_flip_permutation,,0.046,0.012265,430
1M,QQQ,t_test,1.569982,0.11715649,0.008749,430
1M,QQQ,wilcoxon_signed_rank,,0.62549835,-0.004447,430
1M,QQQ,sign_flip_permutation,,0.134,0.008749,430
1M,IWM,t_test,2.174701,0.03019822,0.013346,430
1M,IWM,wilcoxon_signed_rank,,0.38723265,0.004126,430
1M,IWM,sign_flip_permutation,,0.042,0.013346,430
1W,SPY,t_test,1.092802,0.27504782,0.003043,465
1W,SPY,wilcoxon_signed_rank,,0.88876837,-0.001341,465
1W,SPY,sign_flip_permutation,,0.309,0.003043,465
1W,QQQ,t_test,0.410887,0.68134539,0.001108,465
1W,QQQ,wilcoxon_signed_rank,,0.4007897,-0.001699,465
1W,QQQ,sign_flip_permutation,,0.717,0.001108,465
1W,IWM,t_test,0.809378,0.41871287,0.00236,465
1W,IWM,wilcoxon_signed_rank,,0.91827087,-0.001369,465
1W,IWM,sign_flip_permutation,,0.46,0.00236,465
1Y,SPY,t_test,5.345659,2.5e-07,0.193659,196
1Y,SPY,wilcoxon_signed_rank,,4.002e-05,0.063101,196
1Y,SPY,sign_flip_permutation,,0.001,0.193659,196
1Y,QQQ,t_test,4.125761,5.469e-05,0.147972,196
1Y,QQQ,wilcoxon_signed_rank,,0.01751863,0.014056,196
1Y,QQQ,sign_flip_permutation,,0.001,0.147972,196
1Y,IWM,t_test,7.113882,0.0,0.260118,196
1Y,IWM,wilcoxon_signed_rank,,0.0,0.144853,196
1Y,IWM,sign_flip_permutation,,0.001,0.260118,196
2M,SPY,t_test,2.730714,0.00659371,0.024818,409
2M,SPY,wilcoxon_signed_rank,,0.60085744,-0.008128,409
2M,SPY,sign_flip_permutation,,0.008,0.024818,409
2M,QQQ,t_test,2.086937,0.037514,0.017948,409
2M,QQQ,wilcoxon_signed_rank,,0.70596964,-0.012757,409
2M,QQQ,sign_flip_permutation,,0.04,0.017948,409
2M,IWM,t_test,2.693267,0.00736726,0.025592,409
2M,IWM,wilcoxon_signed_rank,,0.37922146,0.000743,409
2M,IWM,sign_flip_permutation,,0.01,0.025592,409
2W,SPY,t_test,1.655351,0.09854743,0.007075,453
2W,SPY,wilcoxon_signed_rank,,0.79911398,-0.002344,453
2W,SPY,sign_flip_permutation,,0.111,0.007075,453
2W,QQQ,t_test,1.188638,0.23520607,0.00485,453
2W,QQQ,wilcoxon_signed_rank,,0.69806902,-0.003203,453
2W,QQQ,sign_flip_permutation,,0.261,0.00485,453
2W,IWM,t_test,1.595271,0.1113505,0.006961,453
2W,IWM,wilcoxon_signed_rank,,0.71085276,-0.003651,453
2W,IWM,sign_flip_permutation,,0.118,0.006961,453
2Y,SPY,t_test,4.841509,4.7e-06,0.557215,101
