event_id,creator,ticker,recommendation_type,pre_event_return_20_1,pre_event_abnormal_return_20_1,pre_event_return_5_1,pre_event_abnormal_return_5_1,event_day_return_0_1,event_day_abnormal_return_0_1,post_event_return_0_5,post_event_abnormal_return_0_5,post_event_return_5_20,post_event_abnormal_return_5_20,post_event_return_0_20,post_event_abnormal_return_0_20,momentum_decile,short_momentum_decile,reversal_flag,continuation_flag,event_quality_score
1,Couch Investor,SOFI,buy,0.114641,0.094981,0.014062,-0.001990,0.042185,0.036861,0.111488,0.099121,-0.112504,-0.096413,-0.013559,-0.009636,9,5,False,True,65
2,Couch Investor,NVDA,buy,-0.026590,-0.046251,0.060831,0.044778,-0.000394,-0.005718,-0.006467,-0.018834,0.036735,0.052827,0.030030,0.033954,4,9,False,True,56
3,Couch Investor,SOFI,buy,0.015773,-0.080029,-0.126898,-0.133509,-0.013999,-0.010335,-0.041388,-0.064936,,,,,3,1,False,True,64
4,Couch Investor,SOFI,buy,0.015773,-0.080029,-0.126898,-0.133509,-0.013999,-0.010335,-0.041388,-0.064936,,,,,3,1,False,True,64
5,Jose Najarro Stocks,NVDA,sell,0.056679,0.034011,-0.012284,-0.017126,-0.014370,-0.009454,-0.013401,-0.001336,0.036712,0.027141,0.022819,0.025428,7,4,True,False,72
6,Jose Najarro Stocks,NVDA,buy,0.056679,0.034011,-0.012284,-0.017126,-0.014370,-0.009454,-0.013401,-0.001336,0.036712,0.027141,0.022819,0.025428,7,4,True,False,74
7,Jose Najarro Stocks,NVDA,buy,0.020970,-0.002049,0.037833,0.020399,-0.033246,-0.027283,-0.072987,-0.070397,0.066938,0.041577,-0.010934,-0.033641,6,8,False,True,70
8,Jose Najarro Stocks,AMD,buy,0.153039,0.127563,0.116231,0.121266,0.077096,0.065554,0.086711,0.060279,-0.205968,-0.192739,-0.137116,-0.149971,9,10,False,True,58
9,Jose Najarro Stocks,MSFT,buy,-0.008740,-0.030908,-0.026475,-0.032551,-0.005921,-0.008644,-0.017937,-0.015938,-0.109279,-0.098088,-0.125256,-0.112089,4,3,False,True,84
10,Jose Najarro Stocks,NFLX,buy,-0.036792,-0.058960,-0.004519,-0.010595,-0.005647,-0.008370,-0.056578,-0.054579,-0.091932,-0.080742,-0.143309,-0.130142,3,5,False,True,67
11,Jose Najarro Stocks,NVDA,buy,0.054002,0.031834,-0.017450,-0.023526,0.021350,0.018627,0.009283,0.011281,0.011361,0.022552,0.020749,0.033916,7,4,False,True,75
12,Jose Najarro Stocks,MSFT,buy,0.041703,0.013192,0.013245,0.011589,0.039475,0.043226,0.022796,0.025444,-0.033084,-0.054971,-0.011042,-0.030223,6,7,False,True,67
13,Jose Najarro Stocks,GOOGL,buy,0.113228,0.084717,0.029018,0.027362,-0.023559,-0.019808,-0.002239,0.000409,0.058086,0.036198,0.055717,0.036535,8,8,False,True,78
14,Jose Najarro Stocks,AMD,buy,-0.061814,-0.093164,-0.023393,-0.030399,0.006947,0.012390,0.009825,0.014564,0.490828,0.479347,0.505476,0.498788,2,3,True,False,55
15,Jose Najarro Stocks,NVDA,sell,-0.007360,-0.038710,-0.006076,-0.013082,-0.028212,-0.022769,-0.009585,-0.004847,0.004344,-0.007137,-0.005283,-0.011971,4,4,False,True,75
16,Jose Najarro Stocks,META,buy,0.065192,-0.030611,-0.093507,-0.100118,0.002727,0.006390,0.001446,-0.022103,,,,,4,1,False,True,56
17,Jose Najarro Stocks,NVDA,buy,0.237698,0.177846,0.022838,0.014482,-0.029169,-0.028050,0.005748,0.000663,0.126944,0.087019,0.133422,0.088209,10,7,False,True,64
18,Jose Najarro Stocks,AAPL,buy,0.034833,-0.027147,0.014354,0.004388,0.016398,0.006129,-0.007128,-0.025170,0.053966,0.022885,0.046454,-0.003230,5,6,False,True,64
19,Jose Najarro Stocks,DIS,buy,0.111666,0.049686,0.013123,0.003157,0.012175,0.001906,0.054030,0.035988,0.042789,0.011708,0.099131,0.049447,8,6,False,True,65
20,Jose Najarro Stocks,PYPL,buy,0.059834,-0.002146,0.026364,0.016399,0.013247,0.002978,0.032289,0.014247,0.018313,-0.012768,0.051194,0.001510,6,7,True,False,78
21,Jose Najarro Stocks,AMD,buy,0.181346,0.161548,-0.022740,-0.032262,0.015498,0.004852,0.022405,0.010800,-0.115363,-0.126291,-0.095542,-0.118202,10,3,False,True,52
22,Jose Najarro Stocks,NVDA,buy,0.131006,0.094180,0.060048,0.048867,-0.011086,-0.014672,-0.023771,0.000421,0.105536,0.061066,0.079256,0.060054,9,9,False,True,74
23,Jose Najarro Stocks,TSLA,buy,-0.182801,-0.077938,-0.098474,-0.051657,0.053662,0.038167,0.227171,0.175830,0.177345,0.107836,0.444804,0.320385,3,2,True,False,67
24,Jose Najarro Stocks,TSLA,sell,-0.182801,-0.077938,-0.098474,-0.051657,0.053662,0.038167,0.227171,0.175830,0.177345,0.107836,0.444804,0.320385,3,2,True,False,63
25,Jose Najarro Stocks,TSLA,sell,-0.182801,-0.077938,-0.098474,-0.051657,0.053662,0.038167,0.227171,0.175830,0.177345,0.107836,0.444804,0.320385,3,2,True,False,56
26,Jose Najarro Stocks,TSLA,buy,-0.182801,-0.077938,-0.098474,-0.051657,0.053662,0.038167,0.227171,0.175830,0.177345,0.107836,0.444804,0.320385,3,2,True,False,58
27,Jose Najarro Stocks,TSLA,buy,-0.182801,-0.077938,-0.098474,-0.051657,0.053662,0.038167,0.227171,0.175830,0.177345,0.107836,0.444804,0.320385,3,2,True,False,56
28,Jose Najarro Stocks,AMZN,buy,-0.176818,-0.071954,-0.081265,-0.034448,0.042846,0.027350,0.082053,0.030712,0.089012,0.019504,0.178369,0.053950,3,3,True,False,66
29,Jose Najarro Stocks,NVDA,buy,0.052923,0.029592,-0.008843,-0.020669,-0.034998,-0.029573,-0.012087,-0.010797,-0.027363,-0.054648,-0.039119,-0.065079,7,4,True,False,64
30,Jose Najarro Stocks,NVDA,buy,0.076501,0.063390,0.052710,0.038428,-0.003613,-0.002392,-0.005207,-0.010964,0.022858,0.017640,0.017533,0.006527,8,9,True,False,71
31,Jose Najarro Stocks,AMD,buy,-0.030573,-0.045529,-0.004597,-0.011584,-0.025426,-0.025325,0.064661,0.063529,-0.139088,-0.120634,-0.083421,-0.066077,4,4,True,False,70
32,Jose Najarro Stocks,NVDA,buy,0.120759,0.083905,0.007714,-0.003185,0.018732,0.018983,0.001268,0.025409,0.024580,-0.013363,0.025879,0.012992,8,5,False,True,71
33,Jose Najarro Stocks,NVDA,buy,-0.065852,-0.027603,-0.041372,-0.031397,-0.025911,-0.035317,-0.005971,-0.025112,0.042767,0.030350,0.036541,0.004745,4,3,False,True,59
34,Jose Najarro Stocks,NVDA,buy,-0.065852,-0.027603,-0.041372,-0.031397,-0.025911,-0.035317,-0.005971,-0.025112,0.042767,0.030350,0.036541,0.004745,4,3,False,True,57
35,Jose Najarro Stocks,MSFT,buy,-0.110093,-0.071843,-0.067955,-0.057980,0.006308,-0.003098,0.033755,0.014614,-0.006429,-0.018846,0.027110,-0.004686,3,2,True,False,67
36,Jose Najarro Stocks,PYPL,buy,-0.031861,-0.063417,0.018434,0.006490,-0.001457,-0.006130,-0.011075,-0.016769,0.001768,-0.004388,-0.009327,-0.021211,3,6,False,True,65
37,Jose Najarro Stocks,META,buy,0.036621,0.005065,0.035932,0.023988,0.005840,0.001167,-0.018752,-0.024446,-0.056674,-0.062831,-0.074364,-0.086249,6,8,True,False,61
38,Jose Najarro Stocks,GOOGL,sell,-0.023575,-0.045779,-0.045972,-0.044359,0.009565,-0.001482,0.066832,0.037340,0.085740,0.067920,0.158303,0.110465,4,2,True,False,76
39,Jose Najarro Stocks,NVDA,buy,0.179764,0.144423,0.048011,0.051087,0.009512,0.003392,-0.003443,-0.019447,0.063298,0.046458,0.059637,0.026524,9,9,True,False,56
40,Jose Najarro Stocks,NVDA,buy,0.055415,0.031981,0.020358,0.006346,-0.020897,-0.009717,-0.007931,0.004844,0.140563,0.089190,0.131517,0.093576,7,6,False,True,64
41,Jose Najarro Stocks,AMD,sell,0.181346,0.161548,-0.022740,-0.032262,0.015498,0.004852,0.022405,0.010800,-0.115363,-0.126291,-0.095542,-0.118202,10,3,False,True,56
42,Jose Najarro Stocks,NVDA,sell,0.113549,0.093751,0.015000,0.005478,0.006042,-0.004604,-0.000275,-0.011880,-0.061810,-0.072738,-0.062067,-0.084728,9,6,True,False,61
43,Jose Najarro Stocks,NVDA,buy,0.094244,0.060157,0.011847,0.014483,-0.043817,-0.023460,0.001289,-0.000258,-0.008044,0.006218,-0.006766,0.005972,8,7,True,False,64
44,Jose Najarro Stocks,AMD,buy,0.150472,0.116386,0.121819,0.124456,0.000388,0.020745,0.084027,0.082480,-0.191914,-0.177652,-0.124013,-0.111276,9,10,False,True,70
45,Jose Najarro Stocks,AMD,buy,0.158342,0.136138,0.103995,0.105608,0.068298,0.057250,0.095076,0.065584,0.090345,0.072525,0.194011,0.146173,9,10,False,True,70
46,Jose Najarro Stocks,GOOGL,buy,0.099492,-0.028721,0.043942,0.030292,0.027930,0.044781,0.051104,0.059740,0.006787,-0.009734,0.058238,0.050496,4,9,True,False,65
47,Jose Najarro Stocks,NVDA,buy,0.370917,0.242705,0.043408,0.029759,-0.019199,-0.002349,0.003200,0.011836,0.079223,0.062702,0.082677,0.074934,10,9,False,True,74
48,Jose Najarro Stocks,NVDA,sell,0.370917,0.242705,0.043408,0.029759,-0.019199,-0.002349,0.003200,0.011836,0.079223,0.062702,0.082677,0.074934,10,9,False,True,57
49,Jose Najarro Stocks,NVDA,buy,0.370917,0.242705,0.043408,0.029759,-0.019199,-0.002349,0.003200,0.011836,0.079223,0.062702,0.082677,0.074934,10,9,False,True,74
50,Jose Najarro Stocks,NVDA,buy,-0.014519,-0.036230,0.056562,0.043339,-0.016146,-0.014769,0.032968,0.021198,0.025652,0.031351,0.059466,0.053461,4,9,True,False,77
51,Jose Najarro Stocks,NVDA,buy,0.113549,0.093751,0.015000,0.005478,0.006042,-0.004604,-0.000275,-0.011880,-0.061810,-0.072738,-0.062067,-0.084728,9,6,True,False,63
52,Jose Najarro Stocks,META,sell,-0.013168,-0.011502,0.062088,0.065601,0.000907,-0.003077,0.050643,0.046774,-0.095001,-0.083411,-0.049170,-0.041404,5,10,True,False,67
53,Jose Najarro Stocks,NVDA,buy,0.308344,0.201082,-0.007093,-0.016045,0.007815,0.007420,0.056070,0.043734,0.033551,0.023405,0.091502,0.068895,10,4,False,True,57
54,Jose Najarro Stocks,NVDA,sell,0.238373,0.172211,-0.022473,-0.009601,-0.011594,-0.004768,0.017315,0.006511,0.066973,0.045706,0.085448,0.053147,10,5,False,True,58
55,Jose Najarro Stocks,GOOGL,buy,-0.034286,-0.063761,-0.052174,-0.070656,0.016757,0.008933,0.046637,0.024681,0.075739,0.053223,0.125908,0.080942,3,2,True,False,78
56,Jose Najarro Stocks,GOOGL,buy,-0.018282,-0.057678,-0.065509,-0.064255,0.023445,0.022885,0.054386,0.036472,0.081836,0.055025,0.140673,0.095467,3,2,True,False,75
57,Jose Najarro Stocks,AAPL,sell,-0.049622,-0.062785,-0.020970,-0.020307,0.004805,0.004955,0.030260,0.011207,0.041972,0.007515,0.073502,0.019335,3,4,True,False,64
58,Jose Najarro Stocks,SOFI,buy,0.085215,0.072052,0.035441,0.036105,0.064449,0.064600,0.114345,0.095292,0.373756,0.339298,0.530839,0.476671,8,9,False,True,65
59,Jose Najarro Stocks,META,buy,0.097169,0.084006,0.000370,0.001034,-0.002094,-0.001943,0.016422,-0.002631,-0.010259,-0.044716,0.005995,-0.048172,8,6,True,False,72
60,Jose Najarro Stocks,GOOGL,buy,0.107353,0.070499,0.038420,0.027521,-0.003106,-0.002855,-0.020965,0.003176,0.089674,0.051731,0.066829,0.053942,8,8,False,True,65
61,Jose Najarro Stocks,NVDA,buy,0.021222,0.008981,0.036139,0.026792,-0.007168,-0.004186,-0.107163,-0.083505,0.030894,0.018542,-0.079580,-0.067981,6,8,True,False,66
62,Jose Najarro Stocks,GOOGL,buy,0.059612,0.050782,-0.001931,0.005946,0.002157,0.006169,0.040939,0.027587,0.215806,0.191634,0.265580,0.227734,8,6,False,True,78
63,Jose Najarro Stocks,AMD,buy,0.087577,0.053307,0.020513,0.012181,0.038290,0.041997,0.062393,0.075153,0.199750,0.169134,0.274606,0.257140,8,7,False,True,61
64,Jose Najarro Stocks,META,sell,-0.153591,-0.135596,0.077754,0.059056,0.022632,0.017174,0.044065,0.037135,0.003478,-0.008152,0.047697,0.029056,2,10,True,False,72
65,Jose Najarro Stocks,NVDA,buy,0.068799,0.039209,0.020845,0.005184,0.002368,0.002275,-0.034088,-0.023574,0.010148,-0.020442,-0.024285,-0.044041,7,6,True,False,74
66,Jose Najarro Stocks,NVDA,sell,0.068799,0.039209,0.020845,0.005184,0.002368,0.002275,-0.034088,-0.023574,0.010148,-0.020442,-0.024285,-0.044041,7,6,True,False,57
67,Jose Najarro Stocks,NVDA,buy,0.308344,0.201082,-0.007093,-0.016045,0.007815,0.007420,0.056070,0.043734,0.033551,0.023405,0.091502,0.068895,10,4,False,True,74
68,Jose Najarro Stocks,AMD,sell,-0.024075,-0.060763,-0.046114,-0.038355,0.007122,0.000892,0.010214,-0.000453,0.158573,0.162135,0.170407,0.163340,3,3,False,True,70
69,Jose Najarro Stocks,AMD,buy,0.160169,0.121155,-0.050035,-0.054616,0.004281,-0.001716,0.129081,0.126180,0.120172,0.110801,0.264766,0.252466,9,2,False,True,67
70,Jose Najarro Stocks,AMD,buy,0.532482,0.461832,0.053840,0.036709,-0.030684,-0.027618,0.057215,0.045660,,,,,10,9,False,True,54
71,Jose Najarro Stocks,AMD,sell,0.532482,0.461832,0.053840,0.036709,-0.030684,-0.027618,0.057215,0.045660,,,,,10,9,False,True,67
72,Jose Najarro Stocks,AMZN,buy,0.236384,0.165734,0.039956,0.022825,-0.013891,-0.010825,-0.017673,-0.029229,,,,,10,8,True,False,66
73,Jose Najarro Stocks,NVDA,sell,0.179764,0.144423,0.048011,0.051087,0.009512,0.003392,-0.003443,-0.019447,0.063298,0.046458,0.059637,0.026524,9,9,True,False,56
74,Jose Najarro Stocks,NVDA,buy,0.179764,0.144423,0.048011,0.051087,0.009512,0.003392,-0.003443,-0.019447,0.063298,0.046458,0.059637,0.026524,9,9,True,False,58
75,Jose Najarro Stocks,AMD,buy,0.231189,0.195848,0.124268,0.127345,0.002061,-0.004058,-0.008933,-0.024937,0.162433,0.145593,0.152049,0.118936,10,10,True,False,61
76,Jose Najarro Stocks,NVDA,buy,0.020970,-0.002049,0.037833,0.020399,-0.033246,-0.027283,-0.072987,-0.070397,0.066938,0.041577,-0.010934,-0.033641,6,8,False,True,57
77,Jose Najarro Stocks,GOOGL,buy,0.081188,0.058169,0.038698,0.021265,0.006001,0.011964,0.110376,0.112965,0.050045,0.024683,0.165944,0.143238,8,8,False,True,67
78,Jose Najarro Stocks,GOOGL,sell,0.176297,0.158976,0.111722,0.116191,0.011623,0.014519,0.035665,0.022555,0.022133,0.001687,0.058587,0.024764,10,10,False,True,61
79,Jose Najarro Stocks,AMD,buy,0.333457,0.342656,0.054931,0.082611,0.007716,0.008938,0.111542,0.099085,0.014217,-0.000888,0.127345,0.099594,10,10,False,True,67
