model,window,n,mean_ar_pct,median_ar_pct,std_ar_pct,t_stat,p_value,win_rate_pct,ci_lower_pct,ci_upper_pct,variable,coef_pct,std_err_pct,r_squared
descriptive,1D,131,0.42851908396946553,0.26940000000000003,4.164893491151124,1.1776111689033433,0.24110303240502517,58.01526717557252,-0.2847022464313928,1.1417404143703238,,,,
descriptive,5D,130,0.34100461538461535,0.45404999999999995,8.322269891089425,0.4671863414610138,0.6411547291550195,50.76923076923077,-1.0896216397915983,1.771630870560829,,,,
intercept_only,1D,131,,,,,0.23895165515300942,,,,const,0.42851908396946564,0.3638884338779891,-2.220446049250313e-16
recommendation_type,1D,131,,,,,0.2880308457649532,,,,const,-2.1450899999999944,2.0190007363772744,0.07824486431446265
recommendation_type,1D,131,,,,,0.24193551885534847,,,,rec_buy,2.3962466265060205,2.0477893557193867,0.07824486431446265
recommendation_type,1D,131,,,,,0.32528335617686177,,,,rec_portfolio_update,2.0222828571428537,2.0558786003210288,0.07824486431446265
recommendation_type,1D,131,,,,,0.11919128871478998,,,,rec_price_target,3.9586299999999985,2.5405521491809946,0.07824486431446265
recommendation_type,1D,131,,,,,0.06729634771513886,,,,rec_sell,5.025432857142855,2.746603852698687,0.07824486431446265
intercept_only,5D,130,,,,,0.6403665648467289,,,,const,0.3410046153846152,0.7299113546817414,1.1102230246251565e-16
recommendation_type,5D,130,,,,,0.3620603621407251,,,,const,-2.46646,2.7060952302492245,0.03544564993559318
recommendation_type,5D,130,,,,,0.27310223127152755,,,,rec_buy,3.1341057831325307,2.8597254211116363,0.03544564993559318
recommendation_type,5D,130,,,,,0.8969515534302159,,,,rec_portfolio_update,0.40488142857142845,3.12617802910679,0.03544564993559318
recommendation_type,5D,130,,,,,0.7203926866255186,,,,rec_price_target,1.7616599999999993,4.921744997721325,0.03544564993559318
recommendation_type,5D,130,,,,,0.057622119287429,,,,rec_sell,5.951167142857142,3.1345659882933785,0.03544564993559318
