target_rank,video_id,youtube_url,title,channel_title,published_at,year,current_transcript_status,priority_reason,browser_status,transcript_visible,transcript_recovered,recovery_notes
1,UuuAB2Sg2f0,https://www.youtube.com/watch?v=UuuAB2Sg2f0,"Growth Stocks Are Selling Off - I Just Spent $10,000 On This Stock",Joseph Carlson,2022-01-10T19:25:36Z,2022,missing,priority_year:2022;weak_coverage_creator:Joseph Carlson;stock_recommendation_title:stock|stocks|sell;queue_reason:older_year:2022,audited,yes,no,"Public transcript control was visible in the YouTube page UI on 2026-05-12; no transcript text copied because the recovery threshold was not reached."
2,3wpIg29gba4,https://www.youtube.com/watch?v=3wpIg29gba4,Tesla Stock: URGENT WARNING - Q2 EARNINGS,Sasha Yanshin,2022-07-04T16:53:16Z,2022,missing,priority_year:2022;weak_coverage_creator:Sasha Yanshin;stock_recommendation_title:stock|tesla;queue_reason:older_year:2022,page_error,no,no,"The browser surface became unusable after navigation: the title loaded, but the page body was not inspectable enough for a defensible transcript check. Audit halted rather than fabricate visibility."
3,bNgCEZqO-J4,https://www.youtube.com/watch?v=bNgCEZqO-J4,IPO Data Exposes the Stock Market Overvaluation in 2022...,New Money,2022-01-02T12:30:15Z,2022,missing,priority_year:2022;weak_coverage_creator:New Money;stock_recommendation_title:stock;queue_reason:older_year:2022,pending,,,
4,qC-KPF62hTc,https://www.youtube.com/watch?v=qC-KPF62hTc,Warning: ARK Invest's ETFs Could Crash (Due to Inflation),Ticker Symbol: YOU,2022-08-28T21:04:52Z,2022,missing,priority_year:2022;weak_coverage_creator:Ticker Symbol: YOU;stock_recommendation_title:invest|crash;queue_reason:older_year:2022,pending,,,
5,occBN-Hjoko,https://www.youtube.com/watch?v=occBN-Hjoko,Tesla's Upcoming Q4 21 Financial Blowout 🤑,HyperChange,2022-01-05T02:59:04Z,2022,missing,priority_year:2022;weak_coverage_creator:HyperChange;stock_recommendation_title:tesla;queue_reason:older_year:2022,pending,,,
6,DzJoMdUh9rk,https://www.youtube.com/watch?v=DzJoMdUh9rk,The Secret That Microsoft Will Not Say,Joseph Carlson,2023-01-26T21:54:04Z,2023,missing,priority_year:2023;weak_coverage_creator:Joseph Carlson;stock_recommendation_title:microsoft;queue_reason:older_year:2023,pending,,,
7,sla8J4adT58,https://www.youtube.com/watch?v=sla8J4adT58,The 2023 Stock Market Crash Is 100% Coming,Sasha Yanshin,2023-01-11T18:25:47Z,2023,missing,priority_year:2023;weak_coverage_creator:Sasha Yanshin;stock_recommendation_title:stock|market crash|crash;queue_reason:older_year:2023,pending,,,
8,pQ6QAqk3lww,https://www.youtube.com/watch?v=pQ6QAqk3lww,Warren Buffett's Top 5 Stocks for 2023,New Money,2023-01-16T16:15:38Z,2023,missing,priority_year:2023;weak_coverage_creator:New Money;stock_recommendation_title:stock|stocks;queue_reason:older_year:2023,pending,,,
9,_6ewpf8dHJA,https://www.youtube.com/watch?v=_6ewpf8dHJA,Nvidia: The Most Powerful AI Company Ever? (NVDA Stock),Ticker Symbol: YOU,2023-01-15T16:07:00Z,2023,missing,priority_year:2023;weak_coverage_creator:Ticker Symbol: YOU;stock_recommendation_title:stock|nvidia|nvda;queue_reason:older_year:2023,pending,,,
10,K50GBj4u-_w,https://www.youtube.com/watch?v=K50GBj4u-_w,TOP 5 AI STOCKS UNDER $10,ZipTrader,2023-06-21T22:50:28Z,2023,missing,priority_year:2023;weak_coverage_creator:ZipTrader;stock_recommendation_title:stock|stocks;queue_reason:older_year:2023,pending,,,
11,u5DRRGOh610,https://www.youtube.com/watch?v=u5DRRGOh610,Tesla Q4 2022 Earnings Analysis 🥳,HyperChange,2023-01-25T22:35:10Z,2023,missing,priority_year:2023;weak_coverage_creator:HyperChange;stock_recommendation_title:tesla;queue_reason:older_year:2023,pending,,,
12,A8SsCulR-fM,https://www.youtube.com/watch?v=A8SsCulR-fM,"I Just Bought $25,000 Of This Stock",Joseph Carlson,2022-01-29T00:18:41Z,2022,missing,priority_year:2022;weak_coverage_creator:Joseph Carlson;stock_recommendation_title:stock;queue_reason:older_year:2022,pending,,,
13,y6uyvK-xTwA,https://www.youtube.com/watch?v=y6uyvK-xTwA,How To Make Millions In A Market Crash,Sasha Yanshin,2022-07-07T17:15:05Z,2022,missing,priority_year:2022;weak_coverage_creator:Sasha Yanshin;stock_recommendation_title:market crash|crash;queue_reason:older_year:2022,pending,,,
14,1Hxy2NBD7J8,https://www.youtube.com/watch?v=1Hxy2NBD7J8,Warren Buffett: How to Invest in an Overvalued Market,New Money,2022-01-13T12:30:01Z,2022,missing,priority_year:2022;weak_coverage_creator:New Money;stock_recommendation_title:overvalued|invest;queue_reason:older_year:2022,pending,,,
15,ipV-FsHJ7hk,https://www.youtube.com/watch?v=ipV-FsHJ7hk,Will ARK Invest Survive the Fed's Next Interest Rate Hike?,Ticker Symbol: YOU,2022-09-01T14:47:50Z,2022,missing,priority_year:2022;weak_coverage_creator:Ticker Symbol: YOU;stock_recommendation_title:invest;queue_reason:older_year:2022,pending,,,
16,mExBnpTWucU,https://www.youtube.com/watch?v=mExBnpTWucU,Self-Driving Tesla Downtown Seattle & Monorail (FSD Beta V10.8.1),HyperChange,2022-01-11T07:43:16Z,2022,missing,priority_year:2022;weak_coverage_creator:HyperChange;stock_recommendation_title:tesla;queue_reason:older_year:2022,pending,,,
17,LtCDcLPIUkc,https://www.youtube.com/watch?v=LtCDcLPIUkc,"The Fed Is Bluffing, Time To Buy | Joseph Carlson Ep. 303",Joseph Carlson,2023-02-02T00:24:49Z,2023,missing,priority_year:2023;weak_coverage_creator:Joseph Carlson;stock_recommendation_title:buy;queue_reason:older_year:2023,pending,,,
18,BU5DzkCm2zc,https://www.youtube.com/watch?v=BU5DzkCm2zc,Stock Market Loses Its Sh*t... Again.,Sasha Yanshin,2023-01-12T17:12:59Z,2023,missing,priority_year:2023;weak_coverage_creator:Sasha Yanshin;stock_recommendation_title:stock;queue_reason:older_year:2023,pending,,,
19,jbxaUpJTb2M,https://www.youtube.com/watch?v=jbxaUpJTb2M,Charlie Munger: How to Invest,New Money,2023-01-27T15:00:34Z,2023,missing,priority_year:2023;weak_coverage_creator:New Money;stock_recommendation_title:invest;queue_reason:older_year:2023,pending,,,
20,o2vFqYncp24,https://www.youtube.com/watch?v=o2vFqYncp24,AMD's New CPUs are BIG Trouble for Intel Stock (INTC),Ticker Symbol: YOU,2023-01-22T16:07:00Z,2023,missing,priority_year:2023;weak_coverage_creator:Ticker Symbol: YOU;stock_recommendation_title:stock|amd;queue_reason:older_year:2023,pending,,,
21,B0iJB-H1SpM,https://www.youtube.com/watch?v=B0iJB-H1SpM,SELLING EVERYTHING NOW!,ZipTrader,2023-07-03T00:48:14Z,2023,missing,priority_year:2023;weak_coverage_creator:ZipTrader;stock_recommendation_title:sell;queue_reason:older_year:2023,pending,,,
22,7YTlmXN5jUM,https://www.youtube.com/watch?v=7YTlmXN5jUM,Escorted out of Tesla Investor Day 😢,HyperChange,2023-03-01T18:43:08Z,2023,missing,priority_year:2023;weak_coverage_creator:HyperChange;stock_recommendation_title:invest|tesla;queue_reason:older_year:2023,pending,,,
23,ah4fwM0eo80,https://www.youtube.com/watch?v=ah4fwM0eo80,I'm Finally Buying This Stock Now,Joseph Carlson,2022-02-15T17:07:22Z,2022,missing,priority_year:2022;weak_coverage_creator:Joseph Carlson;stock_recommendation_title:stock|buy;queue_reason:older_year:2022,pending,,,
24,e_1IF_UGAo4,https://www.youtube.com/watch?v=e_1IF_UGAo4,Google Stock EXPLODES After Earnings | Googl Stock Analysis,Sasha Yanshin,2022-07-27T19:23:06Z,2022,missing,priority_year:2022;weak_coverage_creator:Sasha Yanshin;stock_recommendation_title:stock|google|googl;queue_reason:older_year:2022,pending,,,
25,i6DVSMnfz8Y,https://www.youtube.com/watch?v=i6DVSMnfz8Y,The 10 WORST Investing Mistakes to Make (Investing For Beginners),New Money,2022-01-17T12:34:35Z,2022,missing,priority_year:2022;weak_coverage_creator:New Money;stock_recommendation_title:invest;queue_reason:older_year:2022,pending,,,
26,F0NqCqfpsvU,https://www.youtube.com/watch?v=F0NqCqfpsvU,Can Nvidia's New AI Predict the Apocalypse? (NVDA Stock),Ticker Symbol: YOU,2022-09-12T18:56:37Z,2022,missing,priority_year:2022;weak_coverage_creator:Ticker Symbol: YOU;stock_recommendation_title:stock|nvidia|nvda;queue_reason:older_year:2022,pending,,,
27,QgMQ-EYal1Q,https://www.youtube.com/watch?v=QgMQ-EYal1Q,Tesla Funds SpaceX - X Merger Idea,HyperChange,2022-01-11T22:20:56Z,2022,missing,priority_year:2022;weak_coverage_creator:HyperChange;stock_recommendation_title:tesla;queue_reason:older_year:2022,pending,,,
28,nBeLyVD6bxs,https://www.youtube.com/watch?v=nBeLyVD6bxs,Microsoft Just Won The Search Wars,Joseph Carlson,2023-02-08T20:55:40Z,2023,missing,priority_year:2023;weak_coverage_creator:Joseph Carlson;stock_recommendation_title:microsoft;queue_reason:older_year:2023,pending,,,
29,nfcngb5-unQ,https://www.youtube.com/watch?v=nfcngb5-unQ,Why I've Stopped Investing In Stocks,Sasha Yanshin,2023-01-16T19:41:39Z,2023,missing,priority_year:2023;weak_coverage_creator:Sasha Yanshin;stock_recommendation_title:stock|stocks|invest;queue_reason:older_year:2023,pending,,,
30,pLYSsx5Y0Hg,https://www.youtube.com/watch?v=pLYSsx5Y0Hg,The 5 WORST Investing Mistakes for 2023 (Investing for Beginners),New Money,2023-02-01T15:00:35Z,2023,missing,priority_year:2023;weak_coverage_creator:New Money;stock_recommendation_title:invest;queue_reason:older_year:2023,pending,,,
31,-2bPY14Omw4,https://www.youtube.com/watch?v=-2bPY14Omw4,ARK Invest: Artificial Intelligence Stocks Will EXPLODE (Here's Why),Ticker Symbol: YOU,2023-01-29T16:53:40Z,2023,missing,priority_year:2023;weak_coverage_creator:Ticker Symbol: YOU;stock_recommendation_title:stock|stocks|invest;queue_reason:older_year:2023,pending,,,
32,JhSjuXYUmWg,https://www.youtube.com/watch?v=JhSjuXYUmWg,*BUYING THIS NOW*,ZipTrader,2023-07-17T01:28:56Z,2023,missing,priority_year:2023;weak_coverage_creator:ZipTrader;stock_recommendation_title:buy;queue_reason:older_year:2023,pending,,,
33,bak0TKepo9A,https://www.youtube.com/watch?v=bak0TKepo9A,Tesla Q1 23 Earnings Looking Soft,HyperChange,2023-04-19T21:07:27Z,2023,missing,priority_year:2023;weak_coverage_creator:HyperChange;stock_recommendation_title:tesla;queue_reason:older_year:2023,pending,,,
34,fKtjd26aQhE,https://www.youtube.com/watch?v=fKtjd26aQhE,Stock Market Chaos: I'm Doing This Now,Joseph Carlson,2022-02-25T23:47:14Z,2022,missing,priority_year:2022;weak_coverage_creator:Joseph Carlson;stock_recommendation_title:stock;queue_reason:older_year:2022,pending,,,
35,QBW4I9sv7Lg,https://www.youtube.com/watch?v=QBW4I9sv7Lg,AMD Beats Earnings But Stock Price Drops | AMD Stock Analysis,Sasha Yanshin,2022-08-03T17:17:10Z,2022,missing,priority_year:2022;weak_coverage_creator:Sasha Yanshin;stock_recommendation_title:stock|amd;queue_reason:older_year:2022,pending,,,
36,vNx9_6vlaRw,https://www.youtube.com/watch?v=vNx9_6vlaRw,Warren Buffett: How to Calculate the Instrinsic Value of a Stock,New Money,2022-01-22T12:30:16Z,2022,missing,priority_year:2022;weak_coverage_creator:New Money;stock_recommendation_title:stock;queue_reason:older_year:2022,pending,,,
37,lHtxvsNnR6Y,https://www.youtube.com/watch?v=lHtxvsNnR6Y,Why Stocks Will Crash (and What to Buy When They Do),Ticker Symbol: YOU,2022-09-14T19:02:07Z,2022,missing,priority_year:2022;weak_coverage_creator:Ticker Symbol: YOU;stock_recommendation_title:stock|stocks|buy|crash;queue_reason:older_year:2022,pending,,,
38,uxHuosiSgSw,https://www.youtube.com/watch?v=uxHuosiSgSw,Tesla Roadtrip: Steps & SuperCharging ⚡️👟,HyperChange,2022-01-22T19:00:06Z,2022,missing,priority_year:2022;weak_coverage_creator:HyperChange;stock_recommendation_title:tesla;queue_reason:older_year:2022,pending,,,
