packet_rank,video_id,title,channel_title,upload_date,year,youtube_url,selected_reason,transcript_text,transcript_source,collected_at,collector_notes
1,wxjdhoX0x8w,"I Just Spent $5,000 On This Undervalued Stock",Joseph Carlson,2023-11-20T21:17:14Z,2023,https://www.youtube.com/watch?v=wxjdhoX0x8w,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
2,nJQulJ_gBjo,This Breakthrough AI Chip is BIG Trouble for Apple & Intel Stocks,Ticker Symbol: YOU,2023-11-19T16:16:28Z,2023,https://www.youtube.com/watch?v=nJQulJ_gBjo,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
3,-EGq7bZ1YB0,3 Ways To Compound Your Portfolio Quickly,Joseph Carlson,2023-11-17T21:01:15Z,2023,https://www.youtube.com/watch?v=-EGq7bZ1YB0,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
4,_CooQVLitDk,The Stock Market Is About To Explode,Sasha Yanshin,2023-11-14T18:59:48Z,2023,https://www.youtube.com/watch?v=_CooQVLitDk,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
5,lo4frTUAzuI,Why I Keep Buying Quality Stocks,Joseph Carlson,2023-11-02T23:23:45Z,2023,https://www.youtube.com/watch?v=lo4frTUAzuI,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
6,e9KgMUxkDQk,My Two Stocks Keep Selling Off,Joseph Carlson,2023-10-16T17:28:55Z,2023,https://www.youtube.com/watch?v=e9KgMUxkDQk,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
7,Jh4dZsFHPoc,I'm Investing In This HUGE AI Breakthrough (Get In Early),Ticker Symbol: YOU,2023-10-15T15:07:00Z,2023,https://www.youtube.com/watch?v=Jh4dZsFHPoc,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
8,lCfLy7lpm5Q,The Stock Market Is About To Go Nuts,Sasha Yanshin,2023-10-12T16:19:42Z,2023,https://www.youtube.com/watch?v=lCfLy7lpm5Q,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
9,61O8hFBlTjU,Three Stocks I’m Buying Now,Joseph Carlson,2023-10-09T19:06:31Z,2023,https://www.youtube.com/watch?v=61O8hFBlTjU,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
10,iakz52LMBi4,IT'S OVER. Cathie Wood Just Destroyed ARK Invest Shareholders,Ticker Symbol: YOU,2023-10-05T16:03:42Z,2023,https://www.youtube.com/watch?v=iakz52LMBi4,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
11,Zg7FLvlKrLg,3 Penny Stocks To Buy | October 2023,ZipTrader,2023-10-03T20:20:52Z,2023,https://www.youtube.com/watch?v=Zg7FLvlKrLg,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
12,09vgrTwyD9E,Top 5 Generative AI Stocks to Buy Now (Taking on NVDA Stock),Ticker Symbol: YOU,2023-09-30T15:07:00Z,2023,https://www.youtube.com/watch?v=09vgrTwyD9E,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
13,YFc1ARpoe4g,You Might Want To Stop Investing RIGHT NOW,Sasha Yanshin,2023-09-29T13:32:09Z,2023,https://www.youtube.com/watch?v=YFc1ARpoe4g,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
14,8o-x2vX2Izk,Guy Spier Explains How to Invest like Warren Buffett,New Money,2023-09-25T13:20:47Z,2023,https://www.youtube.com/watch?v=8o-x2vX2Izk,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
15,jE9BohnHZ94,GAME OVER: The Imminent Collapse of Unity Software (U Stock),Ticker Symbol: YOU,2023-09-22T16:04:32Z,2023,https://www.youtube.com/watch?v=jE9BohnHZ94,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
16,SfLP1CgLP30,10 Things I Wish I Knew Before I Started Stock Market Investing,New Money,2023-09-17T13:30:09Z,2023,https://www.youtube.com/watch?v=SfLP1CgLP30,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
17,f7CstK22Jtc,How Ozempic is Currently Breaking the Stock Market (and Denmark’s Economy),New Money,2023-09-11T13:30:12Z,2023,https://www.youtube.com/watch?v=f7CstK22Jtc,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
18,-fceFgTuZ90,"Is 2023 a Bull Market, or Stock Market Bubble?",New Money,2023-08-06T13:18:14Z,2023,https://www.youtube.com/watch?v=-fceFgTuZ90,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
