queue_rank,video_id,title,channel_title,published_at,year,creator_type,current_transcript_status,previous_failure_status,priority_reason,recommended_batch
1,58qhj_h_Ros,E5: Our Top 5 Stock Market & AI Predictions for 2024,Ticker Symbol: YOU,2023-12-31T16:53:24Z,2023,unknown,missing,,older_year:2023,batch_1
2,x3iXj2t2-_I,Top Ten Deep Value Stocks For 2024,Joseph Carlson,2023-12-18T22:36:32Z,2023,unknown,missing,,older_year:2023,batch_1
3,pKrVtMakQGg,My 2024 Financial Position and Investing Goals Explained.,New Money,2023-12-18T13:38:30Z,2023,unknown,missing,,older_year:2023,batch_1
4,REKhKwqj-yg,Why Is The Stock Market Going Parabolic?,Sasha Yanshin,2023-12-14T19:04:15Z,2023,unknown,missing,,older_year:2023,batch_1
5,36FbQENSVYQ,Why is Nvidia stock worth $1T+?,HyperChange,2023-12-14T01:11:28Z,2023,unknown,missing,,older_year:2023,batch_1
6,9keYUadRY2g,The Stock Market Is About To Blow Up,Sasha Yanshin,2023-12-12T19:28:13Z,2023,unknown,missing,,older_year:2023,batch_1
7,-cpUH288-fY,My Five Favorite Stocks For 2024,Joseph Carlson,2023-12-12T18:42:07Z,2023,unknown,missing,,older_year:2023,batch_1
8,vjNMOrgGQw0,My Warning To Investors For 2024,Joseph Carlson,2023-12-05T22:32:30Z,2023,unknown,missing,,older_year:2023,batch_1
9,DiKVtSzqRvs,"E3: Nvidia Stock & Sanctions, China Chip Breakthrough & Taiwan Risks",Ticker Symbol: YOU,2023-12-04T16:07:00Z,2023,unknown,missing,,older_year:2023,batch_1
10,pcc6r6yWX_o,They Are Lying To You About The Stock Market Crash,Sasha Yanshin,2023-11-28T19:22:49Z,2023,unknown,missing,,older_year:2023,batch_1
11,wxjdhoX0x8w,"I Just Spent $5,000 On This Undervalued Stock",Joseph Carlson,2023-11-20T21:17:14Z,2023,unknown,missing,,older_year:2023,batch_1
12,nJQulJ_gBjo,This Breakthrough AI Chip is BIG Trouble for Apple & Intel Stocks,Ticker Symbol: YOU,2023-11-19T16:16:28Z,2023,unknown,missing,,older_year:2023,batch_1
13,-EGq7bZ1YB0,3 Ways To Compound Your Portfolio Quickly,Joseph Carlson,2023-11-17T21:01:15Z,2023,unknown,missing,,older_year:2023,batch_1
14,_CooQVLitDk,The Stock Market Is About To Explode,Sasha Yanshin,2023-11-14T18:59:48Z,2023,unknown,missing,,older_year:2023,batch_1
15,Jh4dZsFHPoc,I'm Investing In This HUGE AI Breakthrough (Get In Early),Ticker Symbol: YOU,2023-10-15T15:07:00Z,2023,unknown,missing,,older_year:2023,batch_1
16,lCfLy7lpm5Q,The Stock Market Is About To Go Nuts,Sasha Yanshin,2023-10-12T16:19:42Z,2023,unknown,missing,,older_year:2023,batch_1
17,iakz52LMBi4,IT'S OVER. Cathie Wood Just Destroyed ARK Invest Shareholders,Ticker Symbol: YOU,2023-10-05T16:03:42Z,2023,unknown,missing,,older_year:2023,batch_1
18,Zg7FLvlKrLg,3 Penny Stocks To Buy | October 2023,ZipTrader,2023-10-03T20:20:52Z,2023,unknown,missing,,older_year:2023,batch_1
19,8o-x2vX2Izk,Guy Spier Explains How to Invest like Warren Buffett,New Money,2023-09-25T13:20:47Z,2023,unknown,missing,,older_year:2023,batch_1
20,SfLP1CgLP30,10 Things I Wish I Knew Before I Started Stock Market Investing,New Money,2023-09-17T13:30:09Z,2023,unknown,missing,,older_year:2023,batch_1
21,f7CstK22Jtc,How Ozempic is Currently Breaking the Stock Market (and Denmark’s Economy),New Money,2023-09-11T13:30:12Z,2023,unknown,missing,,older_year:2023,batch_1
22,-fceFgTuZ90,"Is 2023 a Bull Market, or Stock Market Bubble?",New Money,2023-08-06T13:18:14Z,2023,unknown,missing,,older_year:2023,batch_1
23,N0QI5-ov7E4,AMC STOCK: LOST IT ALL!,ZipTrader,2023-07-24T23:22:16Z,2023,unknown,missing,,older_year:2023,batch_1
24,JhSjuXYUmWg,*BUYING THIS NOW*,ZipTrader,2023-07-17T01:28:56Z,2023,unknown,missing,,older_year:2023,batch_1
25,B0iJB-H1SpM,SELLING EVERYTHING NOW!,ZipTrader,2023-07-03T00:48:14Z,2023,unknown,missing,,older_year:2023,batch_1
26,lo4frTUAzuI,Why I Keep Buying Quality Stocks,Joseph Carlson,2023-11-02T23:23:45Z,2023,unknown,missing,,older_year:2023,batch_2
27,e9KgMUxkDQk,My Two Stocks Keep Selling Off,Joseph Carlson,2023-10-16T17:28:55Z,2023,unknown,missing,,older_year:2023,batch_2
28,61O8hFBlTjU,Three Stocks I’m Buying Now,Joseph Carlson,2023-10-09T19:06:31Z,2023,unknown,missing,,older_year:2023,batch_2
29,3zQ6TUY8LOI,Stocks Continue Falling - What I’m Doing Now,Joseph Carlson,2023-10-03T20:31:11Z,2023,unknown,missing,,older_year:2023,batch_2
30,09vgrTwyD9E,Top 5 Generative AI Stocks to Buy Now (Taking on NVDA Stock),Ticker Symbol: YOU,2023-09-30T15:07:00Z,2023,unknown,missing,,older_year:2023,batch_2
31,YFc1ARpoe4g,You Might Want To Stop Investing RIGHT NOW,Sasha Yanshin,2023-09-29T13:32:09Z,2023,unknown,missing,,older_year:2023,batch_2
32,rk-udmYnA_0,"Why I Spent $70,000 On This Stock",Joseph Carlson,2023-09-26T21:27:24Z,2023,unknown,missing,,older_year:2023,batch_2
33,jE9BohnHZ94,GAME OVER: The Imminent Collapse of Unity Software (U Stock),Ticker Symbol: YOU,2023-09-22T16:04:32Z,2023,unknown,missing,,older_year:2023,batch_2
34,R6eKR9uY0nY,Top AI Chip Stocks I'm Buying Now (HUGE AI News),Ticker Symbol: YOU,2023-09-17T15:07:00Z,2023,unknown,missing,,older_year:2023,batch_2
35,mvApB6JVIDA,WARNING: Palantir is NOT the AI Stock You Think (PLTR Stock),Ticker Symbol: YOU,2023-09-09T15:55:36Z,2023,unknown,missing,,older_year:2023,batch_2
36,AQ0_c-hz9kE,Cathie Wood's Mistake Could Cost ARK Invest Everything,Ticker Symbol: YOU,2023-08-31T15:22:22Z,2023,unknown,missing,,older_year:2023,batch_2
37,4xQLFH_Ce4c,Big Short Investor Explains the Commercial Real Estate Crisis,New Money,2023-07-15T13:43:59Z,2023,unknown,missing,,older_year:2023,batch_2
38,BvjlyNfkGKw,The Stock Market Is About To Go Bonkers,Sasha Yanshin,2023-07-12T15:43:18Z,2023,unknown,missing,,older_year:2023,batch_2
39,ddIgq695m2w,Nvidia Stock is Getting Insane.,New Money,2023-07-09T15:00:33Z,2023,unknown,missing,,older_year:2023,batch_2
40,K50GBj4u-_w,TOP 5 AI STOCKS UNDER $10,ZipTrader,2023-06-21T22:50:28Z,2023,unknown,missing,,older_year:2023,batch_2
41,yT1qE1umd_w,The Stock Market Is About To Go Badaboom!,Sasha Yanshin,2023-06-13T15:42:53Z,2023,unknown,missing,,older_year:2023,batch_2
42,3jgI0Bc2HCQ,The Tesla Stock Trojan Horse,Sasha Yanshin,2023-06-09T20:18:44Z,2023,unknown,missing,,older_year:2023,batch_2
43,NIL2mrHXo78,Is This Literally The Best Investing Strategy that Exists?,New Money,2023-06-09T14:19:04Z,2023,unknown,missing,,older_year:2023,batch_2
44,-QyKRxUHeOQ,The Stock Market Is About To Go Bananas,Sasha Yanshin,2023-06-05T17:40:06Z,2023,unknown,missing,,older_year:2023,batch_2
45,h3nwj5RPCqc,Michael Burry Just Doubled Down on Stocks,New Money,2023-05-22T15:00:22Z,2023,unknown,missing,,older_year:2023,batch_2
46,lfB7fgJJD84,Charlie Munger's New Warning for the 2023 Stock Market,New Money,2023-05-18T16:45:09Z,2023,unknown,missing,,older_year:2023,batch_2
47,7YTlmXN5jUM,Escorted out of Tesla Investor Day 😢,HyperChange,2023-03-01T18:43:08Z,2023,unknown,missing,,older_year:2023,batch_2
48,m8n0tTz8Cr0,Magrathea: Sustainable Magnesium & Metal Without Mining 🌊☀️,HyperChange,2023-12-28T18:58:49Z,2023,unknown,missing,,older_year:2023,batch_2
