packet_rank,video_id,title,channel_title,upload_date,year,youtube_url,selected_reason,transcript_text,transcript_source,collected_at,collector_notes
1,58qhj_h_Ros,E5: Our Top 5 Stock Market & AI Predictions for 2024,Ticker Symbol: YOU,2023-12-31T16:53:24Z,2023,https://www.youtube.com/watch?v=58qhj_h_Ros,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
2,x3iXj2t2-_I,Top Ten Deep Value Stocks For 2024,Joseph Carlson,2023-12-18T22:36:32Z,2023,https://www.youtube.com/watch?v=x3iXj2t2-_I,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
3,pKrVtMakQGg,My 2024 Financial Position and Investing Goals Explained.,New Money,2023-12-18T13:38:30Z,2023,https://www.youtube.com/watch?v=pKrVtMakQGg,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
4,REKhKwqj-yg,Why Is The Stock Market Going Parabolic?,Sasha Yanshin,2023-12-14T19:04:15Z,2023,https://www.youtube.com/watch?v=REKhKwqj-yg,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
5,36FbQENSVYQ,Why is Nvidia stock worth $1T+?,HyperChange,2023-12-14T01:11:28Z,2023,https://www.youtube.com/watch?v=36FbQENSVYQ,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
6,9keYUadRY2g,The Stock Market Is About To Blow Up,Sasha Yanshin,2023-12-12T19:28:13Z,2023,https://www.youtube.com/watch?v=9keYUadRY2g,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
7,-cpUH288-fY,My Five Favorite Stocks For 2024,Joseph Carlson,2023-12-12T18:42:07Z,2023,https://www.youtube.com/watch?v=-cpUH288-fY,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
8,vjNMOrgGQw0,My Warning To Investors For 2024,Joseph Carlson,2023-12-05T22:32:30Z,2023,https://www.youtube.com/watch?v=vjNMOrgGQw0,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
9,DiKVtSzqRvs,"E3: Nvidia Stock & Sanctions, China Chip Breakthrough & Taiwan Risks",Ticker Symbol: YOU,2023-12-04T16:07:00Z,2023,https://www.youtube.com/watch?v=DiKVtSzqRvs,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
10,pcc6r6yWX_o,They Are Lying To You About The Stock Market Crash,Sasha Yanshin,2023-11-28T19:22:49Z,2023,https://www.youtube.com/watch?v=pcc6r6yWX_o,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
11,wxjdhoX0x8w,"I Just Spent $5,000 On This Undervalued Stock",Joseph Carlson,2023-11-20T21:17:14Z,2023,https://www.youtube.com/watch?v=wxjdhoX0x8w,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
12,nJQulJ_gBjo,This Breakthrough AI Chip is BIG Trouble for Apple & Intel Stocks,Ticker Symbol: YOU,2023-11-19T16:16:28Z,2023,https://www.youtube.com/watch?v=nJQulJ_gBjo,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
13,-EGq7bZ1YB0,3 Ways To Compound Your Portfolio Quickly,Joseph Carlson,2023-11-17T21:01:15Z,2023,https://www.youtube.com/watch?v=-EGq7bZ1YB0,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
14,_CooQVLitDk,The Stock Market Is About To Explode,Sasha Yanshin,2023-11-14T18:59:48Z,2023,https://www.youtube.com/watch?v=_CooQVLitDk,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
15,Jh4dZsFHPoc,I'm Investing In This HUGE AI Breakthrough (Get In Early),Ticker Symbol: YOU,2023-10-15T15:07:00Z,2023,https://www.youtube.com/watch?v=Jh4dZsFHPoc,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
16,lCfLy7lpm5Q,The Stock Market Is About To Go Nuts,Sasha Yanshin,2023-10-12T16:19:42Z,2023,https://www.youtube.com/watch?v=lCfLy7lpm5Q,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
17,iakz52LMBi4,IT'S OVER. Cathie Wood Just Destroyed ARK Invest Shareholders,Ticker Symbol: YOU,2023-10-05T16:03:42Z,2023,https://www.youtube.com/watch?v=iakz52LMBi4,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
18,Zg7FLvlKrLg,3 Penny Stocks To Buy | October 2023,ZipTrader,2023-10-03T20:20:52Z,2023,https://www.youtube.com/watch?v=Zg7FLvlKrLg,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
19,8o-x2vX2Izk,Guy Spier Explains How to Invest like Warren Buffett,New Money,2023-09-25T13:20:47Z,2023,https://www.youtube.com/watch?v=8o-x2vX2Izk,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
20,SfLP1CgLP30,10 Things I Wish I Knew Before I Started Stock Market Investing,New Money,2023-09-17T13:30:09Z,2023,https://www.youtube.com/watch?v=SfLP1CgLP30,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
21,f7CstK22Jtc,How Ozempic is Currently Breaking the Stock Market (and Denmark’s Economy),New Money,2023-09-11T13:30:12Z,2023,https://www.youtube.com/watch?v=f7CstK22Jtc,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
22,-fceFgTuZ90,"Is 2023 a Bull Market, or Stock Market Bubble?",New Money,2023-08-06T13:18:14Z,2023,https://www.youtube.com/watch?v=-fceFgTuZ90,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
23,N0QI5-ov7E4,AMC STOCK: LOST IT ALL!,ZipTrader,2023-07-24T23:22:16Z,2023,https://www.youtube.com/watch?v=N0QI5-ov7E4,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
24,JhSjuXYUmWg,*BUYING THIS NOW*,ZipTrader,2023-07-17T01:28:56Z,2023,https://www.youtube.com/watch?v=JhSjuXYUmWg,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
25,B0iJB-H1SpM,SELLING EVERYTHING NOW!,ZipTrader,2023-07-03T00:48:14Z,2023,https://www.youtube.com/watch?v=B0iJB-H1SpM,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
26,lo4frTUAzuI,Why I Keep Buying Quality Stocks,Joseph Carlson,2023-11-02T23:23:45Z,2023,https://www.youtube.com/watch?v=lo4frTUAzuI,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
27,e9KgMUxkDQk,My Two Stocks Keep Selling Off,Joseph Carlson,2023-10-16T17:28:55Z,2023,https://www.youtube.com/watch?v=e9KgMUxkDQk,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
28,61O8hFBlTjU,Three Stocks I’m Buying Now,Joseph Carlson,2023-10-09T19:06:31Z,2023,https://www.youtube.com/watch?v=61O8hFBlTjU,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
29,3zQ6TUY8LOI,Stocks Continue Falling - What I’m Doing Now,Joseph Carlson,2023-10-03T20:31:11Z,2023,https://www.youtube.com/watch?v=3zQ6TUY8LOI,older_year:2023,,manual_public_youtube_transcript_ui,,Fill transcript_text manually from YouTube public captions or auto-generated transcript.
