handle,channel_name,platform,initial_category,notes
realMeetKevin,,x,stock_picker,retail finance creator with stock/market content
iamtomnash,,x,stock_picker,stock-specific commentary and retail finance audience
jimcramer,,x,stock_picker,public market personality and stock-specific calls
unusual_whales,,x,news_attention,market attention/options/news account
StockMKTNewz,,x,news_attention,market news account
QuiverQuant,,x,news_attention,alternative data/news account
WatcherGuru,,x,news_attention,broad market/crypto attention account
DeItaone,,x,news_attention,fast market news account
zerohedge,,x,macro_commentary,macro/news narrative account
KobeissiLetter,,x,macro_commentary,macro/market commentary
TrendSpider,,x,analytical_control,charting/trading platform account
MarketRebels,,x,analytical_control,options/trading account
Gurgavin,,x,news_attention,stock market commentary/news
litcapital,,x,unknown,screen before inclusion
RampCapitalLLC,,x,unknown,screen before inclusion
,Financial Education,youtube,stock_picker,stock-pick-heavy retail finance channel
,Meet Kevin,youtube,stock_picker,retail finance and market commentary
,Tom Nash,youtube,stock_picker,stock-specific commentary
,ZipTrader,youtube,stock_picker,trading/watchlist content
,Stock Moe,youtube,stock_picker,retail stock-pick content
,Let's Talk Money! with Joseph Hogue,youtube,stock_picker,stock analysis and retail finance
,Chicken Genius Singapore,youtube,stock_picker,stock-specific content
,Joseph Carlson,youtube,stock_picker,portfolio and stock ownership content
,Everything Money,youtube,analytical_control,valuation-driven stock analysis
,Brian Feroldi,youtube,analytical_control,quality growth stock analysis
,The Plain Bagel,youtube,analytical_control,"education/control, not mainly stock picks"
,Ben Felix,youtube,analytical_control,"education/control, not mainly stock picks"
,Andrei Jikh,youtube,macro_commentary,"retail finance, sometimes stock/crypto"
,Graham Stephan,youtube,macro_commentary,"retail finance, less stock-pick focused"
