handle,display_name,category,priority,notes
realMeetKevin,realMeetKevin,stock_picker,high,Imported from existing creator taxonomy seed
iamtomnash,iamtomnash,stock_picker,high,Imported from existing creator taxonomy seed
jimcramer,jimcramer,stock_picker,high,Imported from existing creator taxonomy seed
unusual_whales,unusual_whales,news_attention,high,Imported from existing creator taxonomy seed
StockMKTNewz,StockMKTNewz,news_attention,high,Imported from existing creator taxonomy seed
QuiverQuant,QuiverQuant,news_attention,medium,Imported from existing creator taxonomy seed
WatcherGuru,WatcherGuru,news_attention,medium,Imported from existing creator taxonomy seed
DeItaone,DeItaone,news_attention,medium,Imported from existing creator taxonomy seed
zerohedge,zerohedge,macro_commentary,medium,Imported from existing creator taxonomy seed
KobeissiLetter,KobeissiLetter,macro_commentary,medium,Imported from existing creator taxonomy seed
