channel_name,channel_id,handle,channel_url,category,expected_role,verified_status,manual_review_notes
Financial Education,UCnMn36GT_H0X-w5_ckLtlgQ,@FinancialEducation,https://www.youtube.com/@FinancialEducation,stock_picker,primary_candidate,unverified,channel ID found in prior local raw YouTube metadata; research inclusion still unverified
Meet Kevin,,@MeetKevin,https://www.youtube.com/@MeetKevin,stock_picker,primary_candidate,unverified,handle URL checked directly; research inclusion still unverified
Tom Nash,,@TomNashTV,https://www.youtube.com/@TomNashTV,stock_picker,primary_candidate,unverified,handle URL checked directly; research inclusion still unverified
ZipTrader,,@ZipTrader,https://www.youtube.com/@ZipTrader,stock_picker,primary_candidate,unverified,handle URL checked directly; research inclusion still unverified
Stock Moe,,@StockMoe,https://www.youtube.com/@StockMoe,stock_picker,primary_candidate,unverified,handle URL checked directly; research inclusion still unverified
Let's Talk Money! with Joseph Hogue,,@josephhogue,https://www.youtube.com/@josephhogue,stock_picker,primary_candidate,unverified,handle URL checked directly; research inclusion still unverified
Chicken Genius Singapore,,@ChickenGeniusSingapore,https://www.youtube.com/@ChickenGeniusSingapore,stock_picker,primary_candidate,unverified,handle URL checked directly; research inclusion still unverified
Joseph Carlson,,@JosephCarlsonShow,https://www.youtube.com/@JosephCarlsonShow,stock_picker,primary_candidate,unverified,handle URL checked directly; research inclusion still unverified
The Stock Dork,,,,stock_picker,primary_candidate,unverified,stock-market-focused seed pending handle/channel ID verification
Rob Almasi,,,,unknown,manual_review,unverified,seed from original YouTube list pending category and channel identity verification
Brendan Guastaferro,,,,unknown,manual_review,unverified,seed from original YouTube list pending category and channel identity verification
Alpha Status Stocks,,,,stock_picker,primary_candidate,unverified,stock-market-focused seed pending handle/channel ID verification
Everything Money,,@EverythingMoney,https://www.youtube.com/@EverythingMoney,analytical_control,control_candidate,unverified,handle URL checked directly; research inclusion still unverified
Brian Feroldi,,,,analytical_control,control_candidate,unverified,channel identity pending because likely handle/channel branding needs manual confirmation
The Plain Bagel,,@ThePlainBagel,https://www.youtube.com/@ThePlainBagel,analytical_control,control_candidate,unverified,handle URL checked directly; research inclusion still unverified
Ben Felix,,@BenFelixCSI,https://www.youtube.com/@BenFelixCSI,analytical_control,control_candidate,unverified,handle URL checked directly; research inclusion still unverified
Andrei Jikh,,@AndreiJikh,https://www.youtube.com/@AndreiJikh,macro_commentary,control_candidate,unverified,handle URL checked directly; research inclusion still unverified
Graham Stephan,,@GrahamStephan,https://www.youtube.com/@GrahamStephan,macro_commentary,control_candidate,unverified,handle URL checked directly; research inclusion still unverified
